Date,EWA,EWC,EWG,EWH,EWI,EWJ,EWK,EWL,EWM,EWN,EWO,EWP,EWQ,EWS,EWT,EWU,EWW,EWY,EWZ,FXI,INDA,EFA
2017-06-01,17.2205,23.4584,27.0567,20.4401,23.601,49.0678,17.3914,31.0778,25.6094,26.8937,18.4467,28.5911,25.5262,19.1006,25.9624,28.0592,46.4002,61.711,29.607,35.9554,30.04,57.1891
2017-06-02,17.4387,23.4495,27.5237,20.5327,23.6913,50.0987,17.5621,31.3514,25.9132,27.0577,18.6363,28.8139,25.7478,19.2287,26.119,28.0189,46.2919,62.548,29.6395,35.9733,30.124,57.8172
2017-06-05,17.4465,23.4584,27.3781,20.38,23.365,49.9066,17.4333,30.9984,26.0572,26.8404,18.5073,28.6857,25.5174,19.1104,26.2754,27.9698,47.5834,62.402,29.3176,35.7682,30.142,57.4992
2017-06-06,17.2525,23.5825,27.1606,20.6106,23.4243,49.9432,17.3241,30.8818,26.0788,26.7239,18.6197,28.5388,25.3706,19.0937,26.2458,27.8971,47.3982,62.402,29.6653,35.9982,30.027,57.3329
2017-06-07,17.2525,23.3065,27.1771,20.5672,23.4078,49.9254,17.3055,30.7857,26.0474,26.8582,18.6891,28.6946,25.4231,19.069,26.2146,27.9147,47.5479,61.782,29.7312,35.8837,30.067,57.3515
2017-06-08,17.335,23.4128,27.1014,20.6785,23.6913,49.8066,17.2129,30.5004,26.1513,26.794,18.6109,28.8927,25.3026,19.141,26.3356,27.8077,47.4868,62.212,29.607,36.044,30.124,57.2478
2017-06-09,17.3175,23.6024,27.1694,20.6342,23.5922,49.3599,17.1943,30.5004,26.0954,26.7496,18.6803,28.7725,25.3026,19.1656,25.9911,27.5267,47.5055,61.892,29.053,35.7254,29.911,57.0335
2017-06-12,17.302,23.6629,27.0295,20.4401,23.4825,49.5154,17.0597,30.3769,26.119,26.5136,18.4897,28.5487,25.0703,19.1262,25.8126,27.399,47.7105,61.246,28.7234,35.4048,29.866,56.8193
2017-06-13,17.6792,23.8158,27.2131,20.6106,23.6748,49.7887,17.2041,30.6073,26.1513,26.6676,18.6109,28.737,25.3026,19.2858,25.9463,27.5591,47.8237,62.075,28.8161,35.608,29.967,57.2566
2017-06-14,17.847,23.5219,27.3169,20.5002,23.6068,49.761,17.2129,30.5465,26.2219,26.6953,18.4301,28.5822,25.2851,19.2385,25.8354,27.4855,48.2267,62.43,29.1227,35.4497,30.059,57.2135
2017-06-15,17.7112,23.4316,26.8674,20.3958,23.3573,49.2777,16.8978,30.3691,26.1444,26.3398,18.1271,28.1465,24.9663,19.0129,25.6856,27.2615,47.8789,61.4,28.8161,35.0405,29.694,56.6207
2017-06-16,17.7917,23.6361,27.1266,20.3879,23.5835,49.4788,17.1612,30.8298,26.1582,26.5777,18.2346,28.5083,25.2851,19.0375,25.8058,27.5591,48.4848,61.282,28.9708,35.139,29.811,57.104
2017-06-19,17.8547,23.7086,27.3169,20.6441,23.5563,49.6333,17.1797,30.9886,26.0954,26.7397,18.3695,28.6009,25.4309,19.1006,26.2019,27.6073,48.2434,61.646,29.1141,35.6368,29.967,57.3329
2017-06-20,17.5279,23.4247,27.0558,20.4598,23.2582,49.6481,17.0295,30.8239,25.7005,26.3852,18.048,28.1524,25.1996,18.937,26.1934,27.1564,47.544,60.927,28.0739,35.2386,29.726,56.8721
2017-06-21,17.3534,23.3185,27.0558,20.4076,23.5068,49.5768,16.89,30.8239,25.676,26.5037,18.1428,28.1712,25.2171,18.8641,26.4176,27.1308,47.346,60.89,28.1426,35.2037,29.834,56.8036
2017-06-22,17.397,23.5686,27.0286,20.4973,23.3854,49.6768,16.8315,30.9063,25.7093,26.4227,17.9688,28.0657,25.1996,18.937,26.4912,27.1053,47.7981,61.446,28.3155,35.4347,29.721,56.7938
2017-06-23,17.5202,23.6579,27.0383,20.4441,23.4116,49.6402,16.8646,31.0318,25.8063,26.5234,17.961,28.0223,25.289,18.9045,26.597,27.1868,48.202,61.983,28.264,35.4636,29.542,56.9337
2017-06-26,17.5357,23.7235,27.0732,20.6007,23.5641,49.5025,16.9261,31.1955,25.8945,26.6222,18.048,28.0746,25.3765,18.937,27.1344,27.2782,48.8128,62.293,29.0855,35.8728,29.834,57.0306
2017-06-27,17.4785,23.8217,27.1014,20.4973,23.5136,49.3847,16.97,31.3318,25.6838,26.6311,18.3089,28.3328,25.4377,18.8887,26.8365,27.2959,48.2464,61.711,28.5887,35.5154,29.33,57.0228
2017-06-28,17.847,24.2059,27.3383,20.4884,24.0234,49.6055,17.0821,31.4572,25.6838,26.7891,18.4584,28.8444,25.6554,19.1075,26.9042,27.5414,48.9202,62.093,29.0511,35.6946,29.515,57.5197
