Date,SPY,EFA,EEM,AGG,TLT,TIP,GLD,VNQ,USO
2017-06-01,213.433,57.1891,34.9621,99.676,100.96,103.365,120.72,67.1335,79.28
2017-06-02,214.152,57.8172,35.1398,99.9947,102.197,103.751,121.61,67.8246,78.88
2017-06-05,213.999,57.4992,35.0967,99.845,101.554,103.503,121.73,67.5336,78.4
2017-06-06,213.301,57.3329,35.1132,100.045,102.006,103.612,123.1,67.2062,79.76
2017-06-07,213.693,57.3515,35.0701,99.9248,101.624,103.365,122.45,67.6781,75.68
2017-06-08,213.807,57.2478,35.2808,99.835,101.34,103.266,121.65,67.5169,75.44
2017-06-09,213.482,57.0335,35.0104,99.7557,101.172,103.167,120.54,67.9907,75.92
2017-06-12,213.433,56.8193,34.8256,99.7557,101.138,102.959,120.36,68.5973,76.16
2017-06-13,214.486,57.2566,34.9941,99.7851,101.154,103.137,120.48,68.7496,76.8
2017-06-14,214.209,57.2135,34.9859,100.094,102.735,103.147,119.82,68.8479,73.84
2017-06-15,213.797,56.6207,34.6241,100.025,102.583,102.662,119.32,69.1988,73.44
2017-06-16,213.846,57.104,34.6854,100.094,102.779,102.751,119.34,69.021,73.92
2017-06-19,215.607,57.3329,35.028,99.9448,102.646,102.642,118.43,69.0288,72.96
2017-06-20,214.171,56.8721,34.6424,100.114,103.529,102.741,118.18,68.8656,71.6
2017-06-21,214.132,56.8036,34.7165,100.134,103.746,102.899,118.52,68.727,69.68
2017-06-22,214.028,56.7938,34.8943,100.174,103.986,103.216,118.92,68.7918,70.24
2017-06-23,214.277,56.9337,35.081,100.194,103.934,103.305,119.43,69.0308,70.88
2017-06-26,214.419,57.0306,35.4181,100.293,104.302,103.464,118.36,69.5242,71.44
2017-06-27,212.659,57.0228,35.004,99.9747,103.212,102.969,118.81,68.899,72.8
2017-06-28,214.602,57.5197,35.2753,100.015,102.872,103.058,118.9,69.0632,73.6
2017-06-29,212.678,56.9513,34.8264,99.835,102.016,102.672,118.32,68.2768,73.68
2017-06-30,213.09,56.9866,34.9868,99.7059,101.792,102.543,118.02,68.2768,76.0
2017-07-03,213.463,56.9161,35.19,99.5266,101.454,102.355,116.09,69.1458,76.96
2017-07-05,213.961,56.9161,35.1231,99.5764,101.481,102.503,116.52,68.1696,74.0
2017-07-06,212.008,56.6637,34.702,99.3972,100.58,102.236,116.47,66.8907,74.48
2017-07-07,213.367,56.6725,34.7678,99.3573,100.008,101.909,115.28,67.2682,72.8
2017-07-10,213.596,56.8124,35.0985,99.4071,100.151,101.879,115.47,66.6538,73.04
2017-07-11,213.443,56.9416,35.3842,99.4868,100.306,102.196,115.62,66.5781,74.16
2017-07-12,215.031,57.3984,36.0701,99.8051,101.023,102.503,116.03,67.3999,74.64
2017-07-13,215.376,57.5638,36.2478,99.686,100.361,102.464,115.82,67.5061,75.76
2017-07-14,216.431,57.9659,36.703,99.7951,100.495,102.454,116.77,68.1548,76.72
2017-07-17,216.401,57.8504,36.5355,99.835,100.785,102.652,117.29,68.7034,75.6
2017-07-18,216.516,57.9052,36.6435,100.055,101.694,102.929,118.11,68.553,76.32
2017-07-19,217.672,58.1586,36.9494,100.084,101.739,102.998,118.08,69.072,77.52
2017-07-20,217.751,58.3944,36.9053,100.114,102.025,102.761,118.24,68.7506,76.88
2017-07-21,217.579,58.1674,36.8806,100.293,102.479,102.909,119.26,68.7034,74.72
2017-07-24,217.523,58.0089,36.9923,100.194,102.061,102.909,119.31,68.5707,76.0
2017-07-25,218.047,58.0891,36.8989,99.835,100.722,102.543,118.92,68.6602,78.48
2017-07-26,218.057,58.4462,37.2031,100.025,100.863,102.81,119.88,69.1359,79.68
2017-07-27,217.839,58.3171,36.9996,99.8849,100.351,102.751,119.79,69.2175,80.48
2017-07-28,217.597,58.3758,36.9833,100.084,100.96,102.969,120.69,69.0308,81.36
2017-07-31,217.483,58.4991,37.0253,100.035,101.087,102.969,120.75,69.1202,82.24
2017-08-01,217.951,58.8229,37.1352,100.323,101.836,103.068,120.65,69.4318,80.72
2017-08-02,218.067,58.8473,37.1691,100.244,101.889,103.008,120.4,68.8017,81.12
2017-08-03,217.643,58.8826,37.017,100.443,102.927,103.295,120.59,68.6602,80.16
2017-08-04,218.037,58.9618,37.1527,100.283,102.051,103.147,119.65,68.8922,81.04
2017-08-07,218.449,58.9892,37.4053,100.273,102.181,103.266,119.51,68.8194,80.8
2017-08-08,217.895,58.6732,37.4137,100.174,101.818,103.345,119.86,68.4891,80.48
2017-08-09,217.885,58.5783,37.0756,100.273,102.372,103.533,121.31,68.2591,81.2
2017-08-10,214.811,57.7467,36.1985,100.373,103.23,103.781,122.21,67.7656,79.28
2017-08-11,215.137,57.642,36.2827,100.453,103.275,103.721,122.79,67.3508,79.92
2017-08-14,217.272,58.0608,36.6526,100.403,102.744,103.325,121.92,68.4724,77.76
2017-08-15,217.244,58.0177,36.6947,100.263,102.33,103.008,120.98,68.2689,78.0
2017-08-16,217.626,58.3494,37.0756,100.443,102.691,103.186,121.87,68.5373,76.56
2017-08-17,214.248,57.6949,36.6023,100.592,103.397,103.444,122.49,68.1126,76.96
2017-08-18,213.912,57.8504,36.9145,100.522,103.412,103.464,122.3,67.4226,79.76
2017-08-21,214.084,57.8338,37.05,100.602,103.681,103.503,122.76,68.146,77.68
2017-08-22,216.314,58.1155,37.4659,100.502,103.285,103.365,122.21,67.9485,78.16
2017-08-23,215.511,58.1224,37.6417,100.752,103.986,103.652,122.67,68.6474,79.04
2017-08-24,215.012,57.9923,37.7598,100.612,103.593,103.385,122.29,68.4312,77.68
2017-08-25,215.511,58.3396,37.9796,100.692,104.003,103.573,122.74,68.7604,78.0
2017-08-28,215.521,58.3396,37.845,100.732,103.942,103.642,124.69,68.2345,76.24
2017-08-29,215.788,58.1058,37.7781,100.871,104.258,103.8,124.42,68.1628,75.68
2017-08-30,216.803,58.0275,37.8358,100.851,104.226,103.771,124.36,68.5451,75.04
2017-08-31,218.106,58.4726,37.8945,100.99,104.532,104.048,125.82,68.9433,77.04
2017-09-01,218.42,58.5499,38.1739,100.762,103.746,103.8,126.06,69.1791,77.36
2017-09-05,216.853,58.1586,37.6766,101.16,105.37,104.504,127.46,68.9885,79.36
2017-09-06,217.588,58.5167,37.921,101.06,104.732,104.375,126.81,69.1713,80.32
2017-09-07,217.569,58.997,38.1995,101.309,105.806,104.82,128.13,69.6136,80.24
2017-09-08,217.311,59.0048,37.9466,101.18,105.585,104.84,127.97,69.6707,77.84
2017-09-11,219.628,59.4696,38.454,100.92,104.312,104.424,126.19,70.3117,78.56
2017-09-12,220.383,59.6515,38.4109,100.772,103.791,104.256,126.56,69.483,78.96
2017-09-13,220.479,59.3287,38.2086,100.672,103.362,104.048,125.61,69.3001,80.56
2017-09-14,220.412,59.4334,38.3092,100.732,103.801,104.226,126.16,69.8781,81.04
2017-09-15,220.699,59.4862,38.5374,100.712,103.847,104.167,125.53,70.0069,81.6
2017-09-18,221.148,59.5645,38.6739,100.662,103.247,104.117,124.36,69.6314,81.36
