Date,SPY,IWM,QQQ,EFA,EEM,AGG,TLT,TIP,LQD,HYG,GLD,SLV,USO,DBA,DBC,VNQ,IYR,UUP,FXE,FXY
2017-06-01,213.433,129.659,134.009,57.1891,34.9621,99.676,100.96,103.365,106.451,73.3546,120.72,16.38,79.28,19.44,14.081,67.1335,67.2176,22.6653,108.54,86.4
2017-06-02,214.152,130.513,135.558,57.8172,35.1398,99.9947,102.197,103.751,106.909,73.3953,121.61,16.59,78.88,19.381,14.013,67.8246,67.8813,22.5581,109.22,87.18
2017-06-05,213.999,129.679,135.529,57.4992,35.0967,99.845,101.554,103.503,106.641,73.3298,121.73,16.63,78.4,19.411,13.935,67.5336,67.6673,22.5749,108.93,87.12
2017-06-06,213.301,129.571,134.999,57.3329,35.1132,100.045,102.006,103.612,106.909,73.2147,123.1,16.76,79.76,19.333,14.033,67.2062,67.3291,22.5218,109.19,87.97
2017-06-07,213.693,129.679,135.519,57.3515,35.0701,99.9248,101.624,103.365,106.78,73.0658,122.45,16.65,75.68,19.508,13.838,67.6781,67.6082,22.5488,109.04,87.62
2017-06-08,213.807,131.456,135.657,57.2478,35.2808,99.835,101.34,103.266,106.631,73.1234,121.65,16.49,75.44,19.546,13.838,67.5169,67.4967,22.6299,108.55,87.45
2017-06-09,213.482,132.15,132.226,57.0335,35.0104,99.7557,101.172,103.167,106.521,73.179,120.54,16.28,75.92,19.615,13.916,67.9907,67.9297,22.7016,108.34,87.27
2017-06-12,213.433,131.921,131.53,56.8193,34.8256,99.7557,101.138,102.959,106.541,73.308,120.36,16.04,76.16,19.381,13.79,68.5973,68.3804,22.6653,108.45,87.6
2017-06-13,214.486,132.617,132.595,57.2566,34.9941,99.7851,101.154,103.137,106.671,73.441,120.48,15.95,76.8,19.313,13.848,68.7496,68.5252,22.6392,108.45,87.46
2017-06-14,214.209,131.813,132.007,57.2135,34.9859,100.094,102.735,103.147,107.367,73.4469,119.82,15.95,73.84,19.177,13.606,68.8479,68.7462,22.6205,108.57,87.77
2017-06-15,213.797,131.157,131.43,56.6207,34.6241,100.025,102.583,102.662,107.088,73.165,119.32,15.88,73.44,19.196,13.664,69.1988,68.9828,22.7557,107.84,86.75
2017-06-16,213.846,130.85,130.884,57.104,34.6854,100.094,102.779,102.751,107.188,73.041,119.34,15.79,73.92,19.235,13.722,69.021,68.9415,22.6746,108.41,86.8
2017-06-19,215.607,131.793,133.049,57.3329,35.028,99.9448,102.646,102.642,107.049,73.2643,118.43,15.61,72.96,19.06,13.634,69.0288,69.0597,22.7743,107.87,86.24
