Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2018-06-21,24.7432,48.4231,26.3504,24.9117,66.992,33.0371,45.6832,27.8315,19.9084,78.8064,51.8922
2018-06-22,25.1031,48.6352,26.8751,24.7931,67.2258,32.9304,46.057,28.0753,20.0473,79.1605,51.8049
2018-06-25,24.7131,47.6348,26.3347,24.5248,66.3717,32.2464,46.2896,28.0085,20.378,78.4325,50.6821
2018-06-26,24.8069,47.7134,26.6681,24.4437,66.6214,32.3761,46.0944,28.154,20.4026,78.1905,51.0349
2018-06-27,24.7311,47.2943,27.0258,24.1428,66.0834,31.9344,45.9968,28.0753,20.5015,77.5299,50.3822
2018-06-28,24.825,47.7671,26.9903,24.3536,66.1756,32.3256,45.9968,28.3554,20.4935,77.6311,50.7739
2018-06-29,24.9101,47.7104,27.1583,24.3536,66.3132,32.311,45.9712,28.4223,20.5241,77.7888,50.8653
2018-07-02,24.7764,48.0101,26.7573,24.4734,66.4639,32.5998,45.7,28.2601,20.6713,78.0318,50.9296
2018-07-03,24.7353,47.4217,26.925,24.2517,66.2518,32.2139,45.8095,28.4223,20.7301,78.2192,50.6821
2018-07-05,24.9495,48.1444,26.8971,24.3082,66.5739,32.6688,46.4435,28.797,20.8411,79.0275,50.9246
2018-07-06,25.074,48.905,27.0622,24.4258,66.8057,33.0512,46.5865,28.9179,21.0023,80.1671,51.3258
2018-07-09,25.2973,49.1847,27.4658,24.986,68.0442,33.3027,46.4051,28.6504,20.3549,80.7553,51.9451
2018-07-10,25.5116,49.1639,27.6701,24.8929,68.2593,33.3804,46.9583,28.79,20.5488,81.0617,52.0619
2018-07-11,25.0828,49.0971,27.0833,24.7742,67.1396,33.2509,46.8084,28.7025,20.7342,80.419,51.9356
2018-07-12,25.1423,49.8696,27.1293,24.8207,67.9283,33.776,46.7443,28.7724,20.7506,81.3127,52.2934
2018-07-13,25.129,49.7919,27.2731,24.7099,68.2791,33.7401,47.05,28.6769,20.7542,81.4614,52.4057
2018-07-16,24.9272,49.6446,26.9574,25.1483,68.0006,33.66,46.8262,28.5206,20.7342,80.9685,52.5315
2018-07-17,25.2534,49.6536,26.8505,25.176,68.2691,33.9109,47.2266,28.328,20.7185,81.4158,52.5794
2018-07-18,25.017,49.5132,26.8689,25.5817,69.0202,33.855,46.8439,28.2237,20.6115,81.4812,52.5509
2018-07-19,25.1073,49.1648,26.8751,25.1958,68.9924,33.7357,46.8696,28.4921,20.8015,81.0251,52.4297
2018-07-20,25.005,49.0025,26.7833,25.2413,68.9162,33.7449,47.1555,28.2415,20.6557,80.8653,52.2016
2018-07-23,24.8677,49.2047,26.6643,25.5886,68.4911,33.9152,46.8606,28.1638,20.5095,81.0339,52.1437
2018-07-24,25.1891,49.55,27.0006,25.6619,68.7805,34.1017,46.9505,28.0841,20.5799,81.7719,51.9835
2018-07-25,25.3871,49.9094,27.2254,25.7193,69.8228,34.5307,47.3074,28.3653,20.6392,82.8123,52.3763
2018-07-26,25.5329,48.025,27.5238,25.7093,70.3618,34.0003,47.5569,28.4597,20.8607,82.5812,52.0968
2018-07-27,25.4376,47.1141,27.4056,25.7638,70.3698,33.4182,47.62,28.1972,20.7939,81.9851,51.9551
2018-07-30,25.3917,46.3725,27.6304,25.7806,69.6761,32.8977,47.5648,28.1736,20.667,82.0317,51.5389
2018-07-31,25.6234,46.6791,27.5795,25.5975,71.2149,32.9852,47.7886,28.7183,20.8527,82.8897,51.7854
2018-08-01,25.3608,46.4879,27.1973,25.5975,70.2518,33.2843,47.3873,28.9109,20.7185,82.9085,51.524
2018-08-02,25.1936,46.7946,27.0474,25.6064,70.1577,33.7021,47.8695,28.7724,20.8211,83.214,51.8783
2018-08-03,25.4334,47.1141,26.9084,25.7559,70.2231,33.8235,48.4316,29.1469,21.0536,83.7089,52.0619
2018-08-06,25.4255,47.587,27.0076,25.8915,70.3261,34.0051,48.475,29.084,21.0701,83.8577,52.4107
2018-08-07,25.5116,47.6447,27.2083,26.0112,70.8245,34.1343,48.1812,29.024,21.0385,83.8675,52.6377
2018-08-08,25.4042,47.6059,27.0115,26.0735,70.5114,34.2273,47.8152,28.8402,20.9279,83.9955,52.6911
2018-08-09,25.5397,47.8657,26.7607,25.9191,70.124,34.2419,47.6723,28.8943,21.0229,83.9063,52.8947
