scope,seed,model,metric,M,delta,target_fro,actual_fro,value,size_distortion,rejections,M_effective,runtime_sec
seed,42,ols_n10,type1_error,5,,,,0.2,0.15000000000000002,1,5,0.8371303081512451
seed,42,ols_n10,power,5,0.2,0.2,0.20000000000000004,0.4,,2,5,0.05827617645263672
seed,42,ols_n10,power,5,0.5,0.5,0.5,0.8,,4,5,0.05793166160583496
seed,42,ols_n20,type1_error,5,,,,0.0,-0.05,0,5,1.187628984451294
seed,42,ols_n20,power,5,0.2,0.2,0.2000000000000001,0.0,,0,5,0.9418768882751465
seed,42,ols_n20,power,5,0.5,0.5,0.5,0.4,,2,5,0.5801472663879395
seed,42,lasso_n20,type1_error,5,,,,0.2,0.15000000000000002,1,5,1.3885056972503662
seed,42,lasso_n20,power,5,0.2,0.2,0.20000000000000007,0.2,,1,5,1.0129690170288086
seed,42,lasso_n20,power,5,0.5,0.5,0.5,0.0,,0,5,1.0986509323120117
seed,42,svd_n20,type1_error,5,,,,0.2,0.15000000000000002,1,5,0.8652291297912598
seed,42,svd_n20,power,5,0.2,0.2,0.2,0.2,,1,5,1.550264835357666
seed,42,svd_n20,power,5,0.5,0.5,0.5,0.6,,3,5,0.9252772331237793
