scope,seed,model,metric,M,delta,target_fro,actual_fro,value,size_distortion,rejections,M_effective,runtime_sec
seed,42,ols_n10,type1_error,20,,,,0.05,0.0,1,20,1.9473302364349365
seed,42,ols_n10,power,20,0.2,0.2,0.20000000000000004,0.05,,1,20,0.6235175132751465
seed,42,ols_n10,power,20,0.5,0.5,0.5,0.75,,15,20,0.6026897430419922
seed,42,ols_n10,power,20,1.0,1.0,1.0,1.0,,20,20,0.5869197845458984
seed,42,ols_n20,type1_error,20,,,,0.0,-0.05,0,20,63.58806777000427
seed,42,ols_n20,power,20,0.2,0.2,0.2000000000000001,0.0,,0,20,65.65286183357239
seed,42,ols_n20,power,20,0.5,0.5,0.5,0.35,,7,20,65.76827597618103
seed,42,ols_n20,power,20,1.0,1.0,0.8100000000000002,0.95,,19,20,66.85949611663818
seed,42,ols_n30,type1_error,20,,,,0.15,0.09999999999999999,3,20,110.78347539901733
seed,42,ols_n30,power,20,0.2,0.2,0.19999999999999984,0.05,,1,20,107.6481146812439
seed,42,ols_n30,power,20,0.5,0.5,0.49999999999999994,0.25,,5,20,102.61894106864929
seed,42,ols_n30,power,20,1.0,1.0,0.9999999999999999,0.95,,19,20,188.73389840126038
seed,42,lasso_n20,type1_error,20,,,,0.15,0.09999999999999999,3,20,48.20032525062561
seed,42,lasso_n20,power,20,0.2,0.2,0.20000000000000007,0.15,,3,20,31.630187034606934
seed,42,lasso_n20,power,20,0.5,0.5,0.5,0.5,,10,20,42.77889060974121
seed,42,lasso_n20,power,20,1.0,1.0,1.0,1.0,,20,20,44.97381854057312
seed,42,lasso_n30,type1_error,20,,,,0.1,0.05,2,20,65.99791502952576
seed,42,lasso_n30,power,20,0.2,0.2,0.2,0.0,,0,20,67.22642135620117
seed,42,lasso_n30,power,20,0.5,0.5,0.5,0.2,,4,20,65.6847472190857
seed,42,lasso_n30,power,20,1.0,1.0,0.9000000000000002,1.0,,20,20,58.227153062820435
seed,42,svd_n20,type1_error,20,,,,0.15,0.09999999999999999,3,20,120.4413812160492
seed,42,svd_n20,power,20,0.2,0.2,0.2,0.2,,4,20,111.130854845047
seed,42,svd_n20,power,20,0.5,0.5,0.5,0.45,,9,20,111.25059795379639
seed,42,svd_n20,power,20,1.0,1.0,1.0,1.0,,20,20,105.32702589035034
seed,42,svd_n30,type1_error,20,,,,0.4,0.35000000000000003,8,20,180.3651123046875
seed,42,svd_n30,power,20,0.2,0.2,0.2,0.2,,4,20,187.07732844352722
seed,42,svd_n30,power,20,0.5,0.5,0.5,0.55,,11,20,188.36168670654297
seed,42,svd_n30,power,20,1.0,1.0,1.0,1.0,,20,20,174.77638626098633
