scope,seed,model,metric,M,delta,target_fro,actual_fro,value_mean,value_std,size_distortion_mean,M_effective_mean,M_effective_min,runtime_sec_mean,seed_count,actual_fro_mean,skipped_count
aggregate,,ols_n10,type1_error,30,,,,0.03333333333333333,0.0,-0.01666666666666667,30.0,30.0,11.07923674583435,1,,
aggregate,,ols_n10,power,30,0.2,0.2,,0.13333333333333333,0.0,,30.0,,6.260928630828857,1,0.20000000000000004,0
aggregate,,ols_n10,power,30,0.5,0.5,,0.7,0.0,,30.0,,6.431589365005493,1,0.5,0
aggregate,,ols_n10,power,30,1.0,1.0,,1.0,0.0,,30.0,,6.4243175983428955,1,1.0,0
aggregate,,ols_n20,type1_error,30,,,,0.1,0.0,0.05,30.0,30.0,220.33470106124878,1,,
aggregate,,ols_n20,power,30,0.2,0.2,,0.03333333333333333,0.0,,30.0,,154.87961721420288,1,0.2000000000000001,0
aggregate,,ols_n20,power,30,0.5,0.5,,0.26666666666666666,0.0,,30.0,,159.89648151397705,1,0.5,0
aggregate,,ols_n20,power,30,1.0,1.0,,0.9333333333333333,0.0,,30.0,,243.00895738601685,1,0.8100000000000002,0
aggregate,,ols_n30,type1_error,30,,,,0.03333333333333333,0.0,-0.01666666666666667,30.0,30.0,434.893846988678,1,,
aggregate,,ols_n30,power,30,0.2,0.2,,0.1,0.0,,30.0,,427.444961309433,1,0.19999999999999984,0
aggregate,,ols_n30,power,30,0.5,0.5,,0.23333333333333334,0.0,,30.0,,305.67779564857483,1,0.49999999999999994,0
aggregate,,ols_n30,power,30,1.0,1.0,,1.0,0.0,,30.0,,241.45256662368774,1,0.9999999999999999,0
aggregate,,lasso_n20,type1_error,30,,,,0.03333333333333333,0.0,-0.01666666666666667,30.0,30.0,21.27094340324402,1,,
aggregate,,lasso_n20,power,30,0.2,0.2,,0.13333333333333333,0.0,,30.0,,20.82923913002014,1,0.20000000000000007,0
aggregate,,lasso_n20,power,30,0.5,0.5,,0.5,0.0,,30.0,,21.81106948852539,1,0.5,0
aggregate,,lasso_n20,power,30,1.0,1.0,,1.0,0.0,,30.0,,23.486819744110107,1,1.0,0
aggregate,,lasso_n30,type1_error,30,,,,0.06666666666666667,0.0,0.016666666666666663,30.0,30.0,34.643240213394165,1,,
aggregate,,lasso_n30,power,30,0.2,0.2,,0.1,0.0,,30.0,,34.38142728805542,1,0.2,0
aggregate,,lasso_n30,power,30,0.5,0.5,,0.3,0.0,,30.0,,33.45299220085144,1,0.5,0
aggregate,,lasso_n30,power,30,1.0,1.0,,0.9666666666666667,0.0,,30.0,,33.50621438026428,1,0.9000000000000002,0
aggregate,,svd_n20,type1_error,30,,,,0.16666666666666666,0.0,0.11666666666666665,30.0,30.0,144.30939149856567,1,,
aggregate,,svd_n20,power,30,0.2,0.2,,0.03333333333333333,0.0,,30.0,,141.85161089897156,1,0.2,0
aggregate,,svd_n20,power,30,0.5,0.5,,0.6333333333333333,0.0,,30.0,,143.15895438194275,1,0.5,0
aggregate,,svd_n20,power,30,1.0,1.0,,1.0,0.0,,30.0,,151.96078824996948,1,1.0,0
aggregate,,svd_n30,type1_error,30,,,,0.16666666666666666,0.0,0.11666666666666665,30.0,30.0,240.4162952899933,1,,
aggregate,,svd_n30,power,30,0.2,0.2,,0.23333333333333334,0.0,,30.0,,241.59686875343323,1,0.2,0
aggregate,,svd_n30,power,30,0.5,0.5,,0.43333333333333335,0.0,,30.0,,250.80243635177612,1,0.5,0
aggregate,,svd_n30,power,30,1.0,1.0,,1.0,0.0,,30.0,,245.04750895500183,1,1.0,0
