scope,seed,model,metric,M,delta,target_fro,actual_fro,value,size_distortion,rejections,M_effective,runtime_sec
seed,42,ols_n10,type1_error,30,,,,0.03333333333333333,-0.01666666666666667,1,30,11.07923674583435
seed,42,ols_n10,power,30,0.2,0.2,0.20000000000000004,0.13333333333333333,,4,30,6.260928630828857
seed,42,ols_n10,power,30,0.5,0.5,0.5,0.7,,21,30,6.431589365005493
seed,42,ols_n10,power,30,1.0,1.0,1.0,1.0,,30,30,6.4243175983428955
seed,42,ols_n20,type1_error,30,,,,0.1,0.05,3,30,220.33470106124878
seed,42,ols_n20,power,30,0.2,0.2,0.2000000000000001,0.03333333333333333,,1,30,154.87961721420288
seed,42,ols_n20,power,30,0.5,0.5,0.5,0.26666666666666666,,8,30,159.89648151397705
seed,42,ols_n20,power,30,1.0,1.0,0.8100000000000002,0.9333333333333333,,28,30,243.00895738601685
seed,42,ols_n30,type1_error,30,,,,0.03333333333333333,-0.01666666666666667,1,30,434.893846988678
seed,42,ols_n30,power,30,0.2,0.2,0.19999999999999984,0.1,,3,30,427.444961309433
seed,42,ols_n30,power,30,0.5,0.5,0.49999999999999994,0.23333333333333334,,7,30,305.67779564857483
seed,42,ols_n30,power,30,1.0,1.0,0.9999999999999999,1.0,,30,30,241.45256662368774
seed,42,lasso_n20,type1_error,30,,,,0.03333333333333333,-0.01666666666666667,1,30,21.27094340324402
seed,42,lasso_n20,power,30,0.2,0.2,0.20000000000000007,0.13333333333333333,,4,30,20.82923913002014
seed,42,lasso_n20,power,30,0.5,0.5,0.5,0.5,,15,30,21.81106948852539
seed,42,lasso_n20,power,30,1.0,1.0,1.0,1.0,,30,30,23.486819744110107
seed,42,lasso_n30,type1_error,30,,,,0.06666666666666667,0.016666666666666663,2,30,34.643240213394165
seed,42,lasso_n30,power,30,0.2,0.2,0.2,0.1,,3,30,34.38142728805542
seed,42,lasso_n30,power,30,0.5,0.5,0.5,0.3,,9,30,33.45299220085144
seed,42,lasso_n30,power,30,1.0,1.0,0.9000000000000002,0.9666666666666667,,29,30,33.50621438026428
seed,42,svd_n20,type1_error,30,,,,0.16666666666666666,0.11666666666666665,5,30,144.30939149856567
seed,42,svd_n20,power,30,0.2,0.2,0.2,0.03333333333333333,,1,30,141.85161089897156
seed,42,svd_n20,power,30,0.5,0.5,0.5,0.6333333333333333,,19,30,143.15895438194275
seed,42,svd_n20,power,30,1.0,1.0,1.0,1.0,,30,30,151.96078824996948
seed,42,svd_n30,type1_error,30,,,,0.16666666666666666,0.11666666666666665,5,30,240.4162952899933
seed,42,svd_n30,power,30,0.2,0.2,0.2,0.23333333333333334,,7,30,241.59686875343323
seed,42,svd_n30,power,30,0.5,0.5,0.5,0.43333333333333335,,13,30,250.80243635177612
seed,42,svd_n30,power,30,1.0,1.0,1.0,1.0,,30,30,245.04750895500183
