scope,seed,model,metric,M,delta,target_fro,actual_fro,value_mean,value_std,size_distortion_mean,rejections_mean,effective_iterations_mean,rejections_total,effective_iterations_total,mc_se_pooled,ci95_low,ci95_high,runtime_sec_mean,seed_count,target_fro_mean,actual_fro_mean,perturbation_types
aggregate,,baseline_ols_f_n20,type1_error,50,,,,0.02,0.0,-0.030000000000000002,1.0,50.0,1,50,0.01979898987322333,0.0,0.05880602015151773,0.9139728546142578,1,,,
aggregate,,baseline_ols_f_n20,type1_error,100,,,,0.05,0.0,0.0,5.0,100.0,5,100,0.021794494717703367,0.007282790353301406,0.0927172096466986,0.030344009399414062,1,,,
aggregate,,baseline_ols_f_n20,type1_error,300,,,,0.06,0.0,0.009999999999999995,18.0,300.0,18,300,0.013711309200802086,0.03312583396642791,0.08687416603357209,0.06879115104675293,1,,,
aggregate,,baseline_ols_f_n20,type1_error,500,,,,0.058,0.0,0.008,29.0,500.0,29,500,0.010453324829928513,0.03751148333334012,0.07848851666665989,0.10794401168823242,1,,,
aggregate,,baseline_ols_f_n20,type1_error,1000,,,,0.053,0.0,0.0029999999999999957,53.0,1000.0,53,1000,0.00708456067798138,0.039114261071156495,0.0668857389288435,0.21809601783752441,1,,,
aggregate,,baseline_ols_f_n20,type1_error,2000,,,,0.048,0.0,-0.0020000000000000018,96.0,2000.0,96,2000,0.0047799581588126895,0.03863128200872713,0.05736871799127287,0.4221839904785156,1,,,
aggregate,,baseline_ols_f_n20,power,500,0.05,0.05,,0.07,0.0,,35.0,500.0,,,,,,0.1062772274017334,1,0.05,0.050000000000000044,uniform_ones
aggregate,,baseline_ols_f_n20,power,500,0.1,0.1,,0.044,0.0,,22.0,500.0,,,,,,0.1250591278076172,1,0.1,0.10000000000000009,uniform_ones
aggregate,,baseline_ols_f_n20,power,500,0.15,0.15,,0.074,0.0,,37.0,500.0,,,,,,0.11027884483337402,1,0.15,0.1500000000000001,uniform_ones
aggregate,,baseline_ols_f_n20,power,500,0.2,0.2,,0.05,0.0,,25.0,500.0,,,,,,0.10872912406921387,1,0.2,0.20000000000000012,uniform_ones
aggregate,,baseline_ols_f_n20,power,500,0.3,0.3,,0.086,0.0,,43.0,500.0,,,,,,0.10717606544494629,1,0.3,0.3000000000000001,uniform_ones
aggregate,,baseline_ols_f_n20,power,500,0.5,0.5,,0.222,0.0,,111.0,500.0,,,,,,0.10795187950134277,1,0.5,0.5000000000000001,uniform_ones
aggregate,,baseline_ols_f_n30,type1_error,50,,,,0.02,0.0,-0.030000000000000002,1.0,50.0,1,50,0.01979898987322333,0.0,0.05880602015151773,0.01711273193359375,1,,,
aggregate,,baseline_ols_f_n30,type1_error,100,,,,0.11,0.0,0.06,11.0,100.0,11,100,0.03128897569432403,0.0486736076391249,0.1713263923608751,0.03147697448730469,1,,,
aggregate,,baseline_ols_f_n30,type1_error,300,,,,0.05333333333333334,0.0,0.003333333333333334,16.0,300.0,16,300,0.012972906239401265,0.027906437104106858,0.07876022956255982,0.08083200454711914,1,,,
aggregate,,baseline_ols_f_n30,type1_error,500,,,,0.058,0.0,0.008,29.0,500.0,29,500,0.010453324829928513,0.03751148333334012,0.07848851666665989,0.14179611206054688,1,,,
aggregate,,baseline_ols_f_n30,type1_error,1000,,,,0.046,0.0,-0.0040000000000000036,46.0,1000.0,46,1000,0.006624499981130651,0.03301598003698392,0.058984019963016075,0.27591490745544434,1,,,
aggregate,,baseline_ols_f_n30,type1_error,2000,,,,0.049,0.0,-0.0010000000000000009,98.0,2000.0,98,2000,0.0048269555622566076,0.03953916709797705,0.058460832902022954,0.5101480484008789,1,,,
aggregate,,baseline_ols_f_n30,power,500,0.05,0.05,,0.054,0.0,,27.0,500.0,,,,,,0.13269567489624023,1,0.05,0.05000000000000002,uniform_ones
aggregate,,baseline_ols_f_n30,power,500,0.1,0.1,,0.058,0.0,,29.0,500.0,,,,,,0.13321900367736816,1,0.1,0.09999999999999998,uniform_ones
