scope,seed,model,metric,M,delta,target_fro,actual_fro,value,size_distortion,rejections,effective_iterations,runtime_sec,perturbation_type
seed,42,baseline_ols_f_n20,type1_error,50,,,,0.02,-0.030000000000000002,1,50,0.9139728546142578,
seed,42,baseline_ols_f_n20,type1_error,100,,,,0.05,0.0,5,100,0.030344009399414062,
seed,42,baseline_ols_f_n20,type1_error,300,,,,0.06,0.009999999999999995,18,300,0.06879115104675293,
seed,42,baseline_ols_f_n20,type1_error,500,,,,0.058,0.008,29,500,0.10794401168823242,
seed,42,baseline_ols_f_n20,type1_error,1000,,,,0.053,0.0029999999999999957,53,1000,0.21809601783752441,
seed,42,baseline_ols_f_n20,type1_error,2000,,,,0.048,-0.0020000000000000018,96,2000,0.4221839904785156,
seed,42,baseline_ols_f_n20,power,500,0.05,0.05,0.050000000000000044,0.07,,35,500,0.1062772274017334,uniform_ones
seed,42,baseline_ols_f_n20,power,500,0.1,0.1,0.10000000000000009,0.044,,22,500,0.1250591278076172,uniform_ones
seed,42,baseline_ols_f_n20,power,500,0.15,0.15,0.1500000000000001,0.074,,37,500,0.11027884483337402,uniform_ones
seed,42,baseline_ols_f_n20,power,500,0.2,0.2,0.20000000000000012,0.05,,25,500,0.10872912406921387,uniform_ones
seed,42,baseline_ols_f_n20,power,500,0.3,0.3,0.3000000000000001,0.086,,43,500,0.10717606544494629,uniform_ones
seed,42,baseline_ols_f_n20,power,500,0.5,0.5,0.5000000000000001,0.222,,111,500,0.10795187950134277,uniform_ones
seed,42,baseline_ols_f_n30,type1_error,50,,,,0.02,-0.030000000000000002,1,50,0.01711273193359375,
seed,42,baseline_ols_f_n30,type1_error,100,,,,0.11,0.06,11,100,0.03147697448730469,
seed,42,baseline_ols_f_n30,type1_error,300,,,,0.05333333333333334,0.003333333333333334,16,300,0.08083200454711914,
seed,42,baseline_ols_f_n30,type1_error,500,,,,0.058,0.008,29,500,0.14179611206054688,
seed,42,baseline_ols_f_n30,type1_error,1000,,,,0.046,-0.0040000000000000036,46,1000,0.27591490745544434,
seed,42,baseline_ols_f_n30,type1_error,2000,,,,0.049,-0.0010000000000000009,98,2000,0.5101480484008789,
seed,42,baseline_ols_f_n30,power,500,0.05,0.05,0.05000000000000002,0.054,,27,500,0.13269567489624023,uniform_ones
seed,42,baseline_ols_f_n30,power,500,0.1,0.1,0.09999999999999998,0.058,,29,500,0.13321900367736816,uniform_ones
seed,42,baseline_ols_f_n30,power,500,0.15,0.15,0.15000000000000008,0.072,,36,500,0.13638997077941895,uniform_ones
seed,42,baseline_ols_f_n30,power,500,0.2,0.2,0.19999999999999987,0.078,,39,500,0.15463566780090332,uniform_ones
seed,42,baseline_ols_f_n30,power,500,0.3,0.3,0.3000000000000001,0.09,,45,500,0.1490030288696289,uniform_ones
seed,42,baseline_ols_f_n30,power,500,0.5,0.5,0.5,0.178,,89,500,0.13114213943481445,uniform_ones
seed,42,sparse_lasso_n20,type1_error,50,,,,0.06,0.009999999999999995,3,50,23.09387516975403,
seed,42,sparse_lasso_n20,type1_error,100,,,,0.05,0.0,5,100,42.38298487663269,
seed,42,sparse_lasso_n20,type1_error,300,,,,0.03666666666666667,-0.013333333333333336,11,300,125.63126587867737,
seed,42,sparse_lasso_n20,type1_error,500,,,,0.044,-0.006000000000000005,22,500,209.90676093101501,
seed,42,sparse_lasso_n20,type1_error,1000,,,,0.069,0.019000000000000003,69,1000,392.6230447292328,
seed,42,sparse_lasso_n20,type1_error,2000,,,,0.058,0.008,116,2000,796.1491153240204,
seed,42,sparse_lasso_n20,power,500,0.05,0.05,0.04999999999999997,0.076,,38,500,207.53527402877808,sparse
seed,42,sparse_lasso_n20,power,500,0.1,0.1,0.10000000000000003,0.054,,27,500,201.25865197181702,sparse
