scope,seed,model,metric,M,delta,target_fro,actual_fro,value_mean,value_std,size_distortion_mean,rejections_mean,effective_iterations_mean,runtime_sec_mean,seed_count,target_fro_mean,actual_fro_mean
aggregate,,baseline_ols_n5,type1_error,50,,,,0.04,0.0,-0.010000000000000002,2.0,50.0,4.6969380378723145,1,,
aggregate,,baseline_ols_n5,type1_error,100,,,,0.05,0.0,0.0,5.0,100.0,7.288779020309448,1,,
aggregate,,baseline_ols_n5,type1_error,300,,,,0.03,0.0,-0.020000000000000004,9.0,300.0,22.41665482521057,1,,
aggregate,,baseline_ols_n5,type1_error,500,,,,0.066,0.0,0.016,33.0,500.0,39.32817578315735,1,,
aggregate,,baseline_ols_n5,type1_error,1000,,,,0.042,0.0,-0.008,42.0,1000.0,66.34805202484131,1,,
aggregate,,baseline_ols_n5,type1_error,2000,,,,0.054,0.0,0.003999999999999997,108.0,2000.0,126.01747798919678,1,,
aggregate,,baseline_ols_n5,power,500,0.05,0.05,,0.064,0.0,,32.0,500.0,36.71126103401184,1,0.05,0.05000000000000003
aggregate,,baseline_ols_n5,power,500,0.1,0.1,,0.086,0.0,,43.0,500.0,35.42706608772278,1,0.1,0.10000000000000005
aggregate,,baseline_ols_n5,power,500,0.15,0.15,,0.288,0.0,,144.0,500.0,31.335264921188354,1,0.15,0.15000000000000002
aggregate,,baseline_ols_n5,power,500,0.2,0.2,,0.416,0.0,,208.0,500.0,31.330890893936157,1,0.2,0.20000000000000007
aggregate,,baseline_ols_n5,power,500,0.3,0.3,,0.906,0.0,,453.0,500.0,30.127718925476074,1,0.3,0.3
aggregate,,baseline_ols_n5,power,500,0.5,0.5,,1.0,0.0,,500.0,500.0,29.643194913864136,1,0.5,0.5
aggregate,,baseline_ols_n10,type1_error,50,,,,0.04,0.0,-0.010000000000000002,2.0,50.0,3.1853549480438232,1,,
aggregate,,baseline_ols_n10,type1_error,100,,,,0.03,0.0,-0.020000000000000004,3.0,100.0,6.030651092529297,1,,
aggregate,,baseline_ols_n10,type1_error,300,,,,0.043333333333333335,0.0,-0.006666666666666668,13.0,300.0,19.799466133117676,1,,
aggregate,,baseline_ols_n10,type1_error,500,,,,0.062,0.0,0.011999999999999997,31.0,500.0,33.53607511520386,1,,
aggregate,,baseline_ols_n10,type1_error,1000,,,,0.04,0.0,-0.010000000000000002,40.0,1000.0,61.55739998817444,1,,
aggregate,,baseline_ols_n10,type1_error,2000,,,,0.049,0.0,-0.0010000000000000009,98.0,2000.0,121.62647008895874,1,,
aggregate,,baseline_ols_n10,power,500,0.05,0.05,,0.074,0.0,,37.0,500.0,32.55093502998352,1,0.05,0.05000000000000004
aggregate,,baseline_ols_n10,power,500,0.1,0.1,,0.062,0.0,,31.0,500.0,32.234604835510254,1,0.1,0.10000000000000006
aggregate,,baseline_ols_n10,power,500,0.15,0.15,,0.158,0.0,,79.0,500.0,32.0824830532074,1,0.15,0.15000000000000002
aggregate,,baseline_ols_n10,power,500,0.2,0.2,,0.204,0.0,,102.0,500.0,32.32896423339844,1,0.2,0.2000000000000001
aggregate,,baseline_ols_n10,power,500,0.3,0.3,,0.542,0.0,,271.0,500.0,32.2040228843689,1,0.3,0.3
aggregate,,baseline_ols_n10,power,500,0.5,0.5,,0.996,0.0,,498.0,500.0,32.247801065444946,1,0.5,0.49999999999999994
