scope,seed,model,metric,M,delta,target_fro,actual_fro,value,size_distortion,rejections,effective_iterations,runtime_sec
seed,42,baseline_ols_n5,type1_error,50,,,,0.04,-0.010000000000000002,2,50,4.6969380378723145
seed,42,baseline_ols_n5,type1_error,100,,,,0.05,0.0,5,100,7.288779020309448
seed,42,baseline_ols_n5,type1_error,300,,,,0.03,-0.020000000000000004,9,300,22.41665482521057
seed,42,baseline_ols_n5,type1_error,500,,,,0.066,0.016,33,500,39.32817578315735
seed,42,baseline_ols_n5,type1_error,1000,,,,0.042,-0.008,42,1000,66.34805202484131
seed,42,baseline_ols_n5,type1_error,2000,,,,0.054,0.003999999999999997,108,2000,126.01747798919678
seed,42,baseline_ols_n5,power,500,0.05,0.05,0.05000000000000003,0.064,,32,500,36.71126103401184
seed,42,baseline_ols_n5,power,500,0.1,0.1,0.10000000000000005,0.086,,43,500,35.42706608772278
seed,42,baseline_ols_n5,power,500,0.15,0.15,0.15000000000000002,0.288,,144,500,31.335264921188354
seed,42,baseline_ols_n5,power,500,0.2,0.2,0.20000000000000007,0.416,,208,500,31.330890893936157
seed,42,baseline_ols_n5,power,500,0.3,0.3,0.3,0.906,,453,500,30.127718925476074
seed,42,baseline_ols_n5,power,500,0.5,0.5,0.5,1.0,,500,500,29.643194913864136
seed,42,baseline_ols_n10,type1_error,50,,,,0.04,-0.010000000000000002,2,50,3.1853549480438232
seed,42,baseline_ols_n10,type1_error,100,,,,0.03,-0.020000000000000004,3,100,6.030651092529297
seed,42,baseline_ols_n10,type1_error,300,,,,0.043333333333333335,-0.006666666666666668,13,300,19.799466133117676
seed,42,baseline_ols_n10,type1_error,500,,,,0.062,0.011999999999999997,31,500,33.53607511520386
seed,42,baseline_ols_n10,type1_error,1000,,,,0.04,-0.010000000000000002,40,1000,61.55739998817444
seed,42,baseline_ols_n10,type1_error,2000,,,,0.049,-0.0010000000000000009,98,2000,121.62647008895874
seed,42,baseline_ols_n10,power,500,0.05,0.05,0.05000000000000004,0.074,,37,500,32.55093502998352
seed,42,baseline_ols_n10,power,500,0.1,0.1,0.10000000000000006,0.062,,31,500,32.234604835510254
seed,42,baseline_ols_n10,power,500,0.15,0.15,0.15000000000000002,0.158,,79,500,32.0824830532074
seed,42,baseline_ols_n10,power,500,0.2,0.2,0.2000000000000001,0.204,,102,500,32.32896423339844
seed,42,baseline_ols_n10,power,500,0.3,0.3,0.3,0.542,,271,500,32.2040228843689
seed,42,baseline_ols_n10,power,500,0.5,0.5,0.49999999999999994,0.996,,498,500,32.247801065444946
