scope,seed,model,metric,M,delta,target_fro,actual_fro,value_mean,value_std,size_distortion_mean,rejections_mean,effective_iterations_mean,rejections_total,effective_iterations_total,mc_se_pooled,ci95_low,ci95_high,runtime_sec_mean,seed_count,target_fro_mean,actual_fro_mean
aggregate,,baseline_ols_n5,type1_error,50,,,,0.04,0.0,-0.010000000000000002,2.0,50.0,4,100,0.019595917942265423,0.0015920008331597735,0.07840799916684023,8.511583805084229,2,,
aggregate,,baseline_ols_n5,type1_error,100,,,,0.04,0.030000000000000002,-0.009999999999999998,4.0,100.0,8,200,0.013856406460551017,0.012841443337320006,0.06715855666268,14.970272660255432,2,,
aggregate,,baseline_ols_n5,type1_error,300,,,,0.04,0.0,-0.010000000000000002,12.0,300.0,24,600,0.008,0.02432,0.05568,48.99566841125488,2,,
aggregate,,baseline_ols_n5,type1_error,500,,,,0.053,0.009000000000000001,0.0029999999999999957,26.5,500.0,53,1000,0.00708456067798138,0.039114261071156495,0.0668857389288435,82.7213830947876,2,,
aggregate,,baseline_ols_n5,type1_error,1000,,,,0.043,0.007999999999999997,-0.007000000000000003,43.0,1000.0,86,2000,0.004536022486716748,0.034109395926035166,0.05189060407396483,150.45558941364288,2,,
aggregate,,baseline_ols_n5,type1_error,2000,,,,0.054,0.0005000000000000004,0.003999999999999997,108.0,2000.0,216,4000,0.0035736535926135875,0.046995638958477366,0.06100436104152263,301.68239891529083,2,,
aggregate,,baseline_ols_n5,power,500,0.05,0.05,,0.057999999999999996,0.006000000000000002,,29.0,500.0,,,,,,83.0789749622345,2,0.05,0.05000000000000003
aggregate,,baseline_ols_n5,power,500,0.1,0.1,,0.106,0.0040000000000000036,,53.0,500.0,,,,,,83.72206389904022,2,0.1,0.10000000000000003
aggregate,,baseline_ols_n5,power,500,0.15,0.15,,0.181,0.026999999999999996,,90.5,500.0,,,,,,80.99397695064545,2,0.15,0.15000000000000002
aggregate,,baseline_ols_n5,power,500,0.2,0.2,,0.353,0.037000000000000005,,176.5,500.0,,,,,,76.01589012145996,2,0.2,0.20000000000000007
aggregate,,baseline_ols_n5,power,500,0.3,0.3,,0.802,0.10200000000000004,,401.0,500.0,,,,,,75.6491869688034,2,0.3,0.3
aggregate,,baseline_ols_n5,power,500,0.5,0.5,,1.0,0.0,,500.0,500.0,,,,,,77.40443539619446,2,0.5,0.5
aggregate,,baseline_ols_n10,type1_error,50,,,,0.060000000000000005,0.04,0.01,3.0,50.0,6,100,0.023748684174075833,0.013452579018811368,0.10654742098118863,8.353850960731506,2,,
aggregate,,baseline_ols_n10,type1_error,100,,,,0.07500000000000001,0.0049999999999999975,0.025,7.5,100.0,15,200,0.018624580532189176,0.038495822156909214,0.11150417784309077,15.146020531654358,2,,
