scope,seed,model,metric,M,delta,target_fro,actual_fro,value,size_distortion,rejections,effective_iterations,runtime_sec
seed,42,baseline_ols_n5,type1_error,50,,,,0.04,-0.010000000000000002,2,50,9.45857286453247
seed,42,baseline_ols_n5,type1_error,100,,,,0.01,-0.04,1,100,16.472487211227417
seed,42,baseline_ols_n5,type1_error,300,,,,0.04,-0.010000000000000002,12,300,54.22472882270813
seed,42,baseline_ols_n5,type1_error,500,,,,0.044,-0.006000000000000005,22,500,91.22660303115845
seed,42,baseline_ols_n5,type1_error,1000,,,,0.035,-0.015,35,1000,165.44983100891113
seed,42,baseline_ols_n5,type1_error,2000,,,,0.0535,0.003499999999999996,107,2000,332.57150197029114
seed,42,baseline_ols_n5,power,500,0.05,0.05,0.05000000000000003,0.064,,32,500,91.91446900367737
seed,42,baseline_ols_n5,power,500,0.1,0.1,0.10000000000000005,0.11,,55,500,92.97554302215576
seed,42,baseline_ols_n5,power,500,0.15,0.15,0.15000000000000002,0.208,,104,500,87.72833585739136
seed,42,baseline_ols_n5,power,500,0.2,0.2,0.20000000000000007,0.39,,195,500,77.71821117401123
seed,42,baseline_ols_n5,power,500,0.3,0.3,0.3,0.904,,452,500,77.17138695716858
seed,42,baseline_ols_n5,power,500,0.5,0.5,0.5,1.0,,500,500,80.09372997283936
seed,42,baseline_ols_n10,type1_error,50,,,,0.1,0.05,5,50,8.730088949203491
seed,42,baseline_ols_n10,type1_error,100,,,,0.08,0.03,8,100,15.533066034317017
seed,42,baseline_ols_n10,type1_error,300,,,,0.04666666666666667,-0.003333333333333334,14,300,49.54667592048645
seed,42,baseline_ols_n10,type1_error,500,,,,0.056,0.005999999999999998,28,500,82.81257390975952
seed,42,baseline_ols_n10,type1_error,1000,,,,0.044,-0.006000000000000005,44,1000,147.9862847328186
seed,42,baseline_ols_n10,type1_error,2000,,,,0.0565,0.006499999999999999,113,2000,288.48587584495544
seed,42,baseline_ols_n10,power,500,0.05,0.05,0.05000000000000004,0.058,,29,500,80.00544619560242
seed,42,baseline_ols_n10,power,500,0.1,0.1,0.10000000000000006,0.086,,43,500,80.6234519481659
seed,42,baseline_ols_n10,power,500,0.15,0.15,0.15000000000000002,0.098,,49,500,80.50011992454529
seed,42,baseline_ols_n10,power,500,0.2,0.2,0.2000000000000001,0.204,,102,500,80.71302819252014
seed,42,baseline_ols_n10,power,500,0.3,0.3,0.3,0.512,,256,500,80.64803886413574
seed,42,baseline_ols_n10,power,500,0.5,0.5,0.49999999999999994,0.994,,497,500,81.18143796920776
seed,42,baseline_ols_n20,type1_error,50,,,,0.06,0.009999999999999995,3,50,10.064996004104614
seed,42,baseline_ols_n20,type1_error,100,,,,0.05,0.0,5,100,18.98856496810913
seed,42,baseline_ols_n20,type1_error,300,,,,0.043333333333333335,-0.006666666666666668,13,300,60.93612885475159
seed,42,baseline_ols_n20,type1_error,500,,,,0.044,-0.006000000000000005,22,500,103.77475619316101
seed,42,baseline_ols_n20,type1_error,1000,,,,0.041,-0.009000000000000001,41,1000,189.21297693252563
seed,42,baseline_ols_n20,type1_error,2000,,,,0.0435,-0.006500000000000006,87,2000,377.678582906723
seed,42,baseline_ols_n20,power,500,0.05,0.05,0.050000000000000044,0.042,,21,500,104.55999898910522
seed,42,baseline_ols_n20,power,500,0.1,0.1,0.10000000000000009,0.044,,22,500,104.69851183891296
seed,42,baseline_ols_n20,power,500,0.15,0.15,0.1500000000000001,0.076,,38,500,104.65070605278015
seed,42,baseline_ols_n20,power,500,0.2,0.2,0.20000000000000012,0.114,,57,500,104.87207984924316
seed,42,baseline_ols_n20,power,500,0.3,0.3,0.3000000000000001,0.148,,74,500,105.05087876319885
seed,42,baseline_ols_n20,power,500,0.5,0.5,0.5000000000000001,0.666,,333,500,104.8711371421814
seed,42,baseline_ols_f_n5,type1_error,50,,,,0.08,0.03,4,50,0.10965204238891602
seed,42,baseline_ols_f_n5,type1_error,100,,,,0.06,0.009999999999999995,6,100,0.6469480991363525
seed,42,baseline_ols_f_n5,type1_error,300,,,,0.06666666666666667,0.016666666666666663,20,300,0.10484600067138672
