model,metric,delta,value,size_distortion,rejections,effective_iterations,runtime_sec
baseline_ols,type1_error,,0.050000,0.000000,10,200,35.141
baseline_ols,power,0.10,0.080000,,16,200,30.951
baseline_ols,power,0.20,0.190000,,38,200,31.054
baseline_ols,power,0.30,0.715000,,143,200,31.894
baseline_ols,power,0.40,0.640000,,128,200,34.856
sparse_lasso,type1_error,,0.030000,-0.020000,6,200,390.487
sparse_lasso,power,0.10,0.345000,,69,200,388.431
sparse_lasso,power,0.20,1.000000,,200,200,392.701
sparse_lasso,power,0.30,1.000000,,200,200,385.865
sparse_lasso,power,0.40,1.000000,,200,200,387.639
lowrank_svd,type1_error,,0.085000,0.035000,17,200,67.621
lowrank_svd,power,0.10,0.945000,,189,200,71.202
lowrank_svd,power,0.20,0.990000,,198,200,73.100
lowrank_svd,power,0.30,1.000000,,200,200,70.774
lowrank_svd,power,0.40,1.000000,,200,200,65.788
