model,metric,delta,value,size_distortion,rejections,effective_iterations,runtime_sec
baseline_ols,type1_error,,0.150000,0.100000,3,20,0.639
baseline_ols,power,0.04,0.100000,,2,20,0.647
baseline_ols,power,0.08,0.150000,,3,20,0.594
baseline_ols,power,0.16,0.300000,,6,20,0.588
sparse_lasso,type1_error,,0.000000,-0.050000,0,20,4.429
sparse_lasso,power,0.04,0.000000,,0,20,4.407
sparse_lasso,power,0.08,0.100000,,2,20,4.406
sparse_lasso,power,0.16,0.950000,,19,20,4.430
lowrank_svd,type1_error,,0.150000,0.100000,3,20,1.233
lowrank_svd,power,0.04,0.200000,,4,20,1.224
lowrank_svd,power,0.08,0.700000,,14,20,1.207
lowrank_svd,power,0.16,1.000000,,20,20,1.245
