scope,seed,model,metric,M,delta,target_fro,actual_fro,value,size_distortion,rejections,effective_iterations,runtime_sec
seed,42,baseline_ols,type1_error,4,,,,0.5,0.45,2,4,0.6446969509124756
seed,42,baseline_ols,type1_error,6,,,,0.5,0.45,3,6,0.860893964767456
seed,42,baseline_ols,power,6,0.04,0.04,0.040000000000000015,0.16666666666666666,,1,6,0.7394931316375732
seed,42,baseline_ols,power,6,0.08,0.08,0.07999999999999997,0.16666666666666666,,1,6,0.6963157653808594
seed,42,sparse_lasso,type1_error,4,,,,0.75,0.7,3,4,1.3955323696136475
seed,42,sparse_lasso,type1_error,6,,,,0.0,-0.05,0,6,2.156543254852295
seed,42,sparse_lasso,power,6,0.04,0.04,0.04000000000000001,0.16666666666666666,,1,6,1.7803809642791748
seed,42,sparse_lasso,power,6,0.08,0.08,0.08000000000000002,0.0,,0,6,1.772582769393921
seed,42,lowrank_svd,type1_error,4,,,,0.5,0.45,2,4,1.4033243656158447
seed,42,lowrank_svd,type1_error,6,,,,0.6666666666666666,0.6166666666666666,4,6,2.071997880935669
seed,42,lowrank_svd,power,6,0.04,0.04,0.040000000000000015,0.5,,3,6,0.7785735130310059
seed,42,lowrank_svd,power,6,0.08,0.08,0.08,0.16666666666666666,,1,6,0.17044520378112793
seed,2026,baseline_ols,type1_error,4,,,,0.0,-0.05,0,4,0.5063891410827637
seed,2026,baseline_ols,type1_error,6,,,,0.3333333333333333,0.2833333333333333,2,6,0.7978413105010986
seed,2026,baseline_ols,power,6,0.04,0.04,0.040000000000000015,0.3333333333333333,,2,6,0.7099733352661133
seed,2026,baseline_ols,power,6,0.08,0.08,0.08000000000000002,0.16666666666666666,,1,6,0.763286828994751
seed,2026,sparse_lasso,type1_error,4,,,,0.5,0.45,2,4,1.3150444030761719
seed,2026,sparse_lasso,type1_error,6,,,,0.16666666666666666,0.11666666666666665,1,6,2.1539909839630127
seed,2026,sparse_lasso,power,6,0.04,0.04,0.04000000000000001,0.0,,0,6,1.6870307922363281
seed,2026,sparse_lasso,power,6,0.08,0.08,0.08,0.5,,3,6,1.8641247749328613
seed,2026,lowrank_svd,type1_error,4,,,,0.25,0.2,1,4,1.0187413692474365
seed,2026,lowrank_svd,type1_error,6,,,,0.3333333333333333,0.2833333333333333,2,6,1.8254382610321045
seed,2026,lowrank_svd,power,6,0.04,0.04,0.04,0.5,,3,6,1.488032579421997
seed,2026,lowrank_svd,power,6,0.08,0.08,0.08,0.3333333333333333,,2,6,0.22331476211547852
