scope,seed,model,metric,M,delta,target_fro,actual_fro,value,size_distortion,rejections,effective_iterations,runtime_sec
seed,42,baseline_ols,type1_error,4,,,,0.5,0.45,2,4,0.5044267177581787
seed,42,baseline_ols,type1_error,6,,,,0.5,0.45,3,6,0.7505612373352051
seed,42,baseline_ols,power,6,0.04,0.04,0.040000000000000015,0.16666666666666666,,1,6,0.6765730381011963
seed,42,baseline_ols,power,6,0.08,0.08,0.07999999999999997,0.16666666666666666,,1,6,0.6825971603393555
seed,42,sparse_lasso,type1_error,4,,,,0.25,0.2,1,4,1.4752776622772217
seed,42,sparse_lasso,type1_error,6,,,,0.3333333333333333,0.2833333333333333,2,6,2.0429670810699463
seed,42,sparse_lasso,power,6,0.04,0.04,0.04000000000000001,0.3333333333333333,,2,6,1.8452908992767334
seed,42,sparse_lasso,power,6,0.08,0.08,0.08000000000000002,0.16666666666666666,,1,6,1.8429391384124756
seed,42,lowrank_svd,type1_error,4,,,,0.0,-0.05,0,4,1.1093440055847168
seed,42,lowrank_svd,type1_error,6,,,,0.3333333333333333,0.2833333333333333,2,6,2.004021167755127
seed,42,lowrank_svd,power,6,0.04,0.04,0.040000000000000015,0.16666666666666666,,1,6,1.4905970096588135
seed,42,lowrank_svd,power,6,0.08,0.08,0.08,0.16666666666666666,,1,6,0.23723626136779785
seed,2026,baseline_ols,type1_error,4,,,,0.25,0.2,1,4,0.525810718536377
seed,2026,baseline_ols,type1_error,6,,,,0.0,-0.05,0,6,0.7178890705108643
seed,2026,baseline_ols,power,6,0.04,0.04,0.040000000000000015,0.16666666666666666,,1,6,0.6536438465118408
seed,2026,baseline_ols,power,6,0.08,0.08,0.08000000000000002,0.0,,0,6,0.6841073036193848
seed,2026,sparse_lasso,type1_error,4,,,,0.0,-0.05,0,4,1.5134592056274414
seed,2026,sparse_lasso,type1_error,6,,,,0.16666666666666666,0.11666666666666665,1,6,2.1737496852874756
seed,2026,sparse_lasso,power,6,0.04,0.04,0.04000000000000001,0.16666666666666666,,1,6,1.6669306755065918
seed,2026,sparse_lasso,power,6,0.08,0.08,0.08,0.3333333333333333,,2,6,1.8707783222198486
seed,2026,lowrank_svd,type1_error,4,,,,0.25,0.2,1,4,1.2029387950897217
seed,2026,lowrank_svd,type1_error,6,,,,0.16666666666666666,0.11666666666666665,1,6,1.9692089557647705
seed,2026,lowrank_svd,power,6,0.04,0.04,0.04,0.3333333333333333,,2,6,1.4987447261810303
seed,2026,lowrank_svd,power,6,0.08,0.08,0.08,0.3333333333333333,,2,6,0.2158963680267334
