scope,seed,model,metric,M,delta,target_fro,actual_fro,value_mean,value_std,size_distortion_mean,rejections_mean,effective_iterations_mean,runtime_sec_mean,seed_count,target_fro_mean,actual_fro_mean
aggregate,,baseline_ols,type1_error,4,,,,0.125,0.125,0.07500000000000001,0.5,4.0,0.2509571313858032,2,,
aggregate,,baseline_ols,type1_error,6,,,,0.16666666666666666,0.16666666666666666,0.11666666666666667,1.0,6.0,0.40199756622314453,2,,
aggregate,,baseline_ols,power,6,0.04,0.08,,0.25,0.08333333333333333,,1.5,6.0,0.22200381755828857,2,0.08,0.07999999999999999
aggregate,,baseline_ols,power,6,0.08,0.16,,0.25,0.08333333333333333,,1.5,6.0,0.18703985214233398,2,0.16,0.16000000000000003
aggregate,,sparse_lasso,type1_error,4,,,,0.125,0.125,0.07500000000000001,0.5,4.0,1.3371185064315796,2,,
aggregate,,sparse_lasso,type1_error,6,,,,0.16666666666666666,0.0,0.11666666666666665,1.0,6.0,1.9661283493041992,2,,
aggregate,,sparse_lasso,power,6,0.04,0.2,,0.25,0.08333333333333333,,1.5,6.0,1.9001505374908447,2,0.2,0.2
aggregate,,sparse_lasso,power,6,0.08,0.4,,0.6666666666666667,0.16666666666666669,,4.0,6.0,1.8850934505462646,2,0.4,0.4
aggregate,,lowrank_svd,type1_error,4,,,,0.5,0.25,0.44999999999999996,2.0,4.0,1.1404900550842285,2,,
aggregate,,lowrank_svd,type1_error,6,,,,0.41666666666666663,0.08333333333333334,0.3666666666666667,2.5,6.0,1.756089448928833,2,,
aggregate,,lowrank_svd,power,6,0.04,0.4,,0.3333333333333333,0.16666666666666669,,2.0,6.0,1.637590765953064,2,0.4,0.4
aggregate,,lowrank_svd,power,6,0.08,0.8,,0.8333333333333333,0.16666666666666669,,5.0,6.0,1.4797499179840088,2,0.8,0.8
