scope,seed,model,metric,M,delta,target_fro,actual_fro,value,size_distortion,rejections,effective_iterations,runtime_sec
seed,42,baseline_ols,type1_error,4,,,,0.25,0.2,1,4,0.21116900444030762
seed,42,baseline_ols,type1_error,6,,,,0.3333333333333333,0.2833333333333333,2,6,0.42163753509521484
seed,42,baseline_ols,power,6,0.04,0.08,0.07999999999999997,0.16666666666666666,,1,6,0.22977018356323242
seed,42,baseline_ols,power,6,0.08,0.16,0.16,0.3333333333333333,,2,6,0.15201735496520996
seed,42,sparse_lasso,type1_error,4,,,,0.0,-0.05,0,4,1.3563346862792969
seed,42,sparse_lasso,type1_error,6,,,,0.16666666666666666,0.11666666666666665,1,6,1.9406342506408691
seed,42,sparse_lasso,power,6,0.04,0.2,0.2,0.16666666666666666,,1,6,1.9605433940887451
seed,42,sparse_lasso,power,6,0.08,0.4,0.4,0.8333333333333334,,5,6,1.8563628196716309
seed,42,lowrank_svd,type1_error,4,,,,0.75,0.7,3,4,1.0598971843719482
seed,42,lowrank_svd,type1_error,6,,,,0.5,0.45,3,6,1.749028205871582
seed,42,lowrank_svd,power,6,0.04,0.4,0.4,0.5,,3,6,1.5723319053649902
seed,42,lowrank_svd,power,6,0.08,0.8,0.8,1.0,,6,6,1.6452059745788574
seed,2026,baseline_ols,type1_error,4,,,,0.0,-0.05,0,4,0.29074525833129883
seed,2026,baseline_ols,type1_error,6,,,,0.0,-0.05,0,6,0.3823575973510742
seed,2026,baseline_ols,power,6,0.04,0.08,0.08000000000000002,0.3333333333333333,,2,6,0.21423745155334473
seed,2026,baseline_ols,power,6,0.08,0.16,0.16000000000000003,0.16666666666666666,,1,6,0.222062349319458
seed,2026,sparse_lasso,type1_error,4,,,,0.25,0.2,1,4,1.3179023265838623
seed,2026,sparse_lasso,type1_error,6,,,,0.16666666666666666,0.11666666666666665,1,6,1.9916224479675293
seed,2026,sparse_lasso,power,6,0.04,0.2,0.2,0.3333333333333333,,2,6,1.8397576808929443
seed,2026,sparse_lasso,power,6,0.08,0.4,0.4,0.5,,3,6,1.9138240814208984
seed,2026,lowrank_svd,type1_error,4,,,,0.25,0.2,1,4,1.2210829257965088
seed,2026,lowrank_svd,type1_error,6,,,,0.3333333333333333,0.2833333333333333,2,6,1.763150691986084
seed,2026,lowrank_svd,power,6,0.04,0.4,0.4,0.16666666666666666,,1,6,1.7028496265411377
seed,2026,lowrank_svd,power,6,0.08,0.8,0.8,0.6666666666666666,,4,6,1.3142938613891602
