scope,seed,model,metric,M,delta,target_fro,actual_fro,value_mean,value_std,size_distortion_mean,rejections_mean,effective_iterations_mean,runtime_sec_mean,seed_count,target_fro_mean,actual_fro_mean
aggregate,,baseline_ols,type1_error,4,,,,0.125,0.125,0.07500000000000001,0.5,4.0,0.2729034423828125,2,,
aggregate,,baseline_ols,type1_error,6,,,,0.3333333333333333,0.16666666666666669,0.2833333333333333,2.0,6.0,0.3560671806335449,2,,
aggregate,,baseline_ols,power,6,0.04,0.08,,0.08333333333333333,0.08333333333333333,,0.5,6.0,0.208726167678833,2,0.08,0.07999999999999999
aggregate,,baseline_ols,power,6,0.08,0.16,,0.16666666666666666,0.16666666666666666,,1.0,6.0,0.23857450485229492,2,0.16,0.16000000000000003
aggregate,,sparse_lasso,type1_error,4,,,,0.125,0.125,0.07500000000000001,0.5,4.0,1.4104206562042236,2,,
aggregate,,sparse_lasso,type1_error,6,,,,0.16666666666666666,0.0,0.11666666666666665,1.0,6.0,1.972951054573059,2,,
aggregate,,sparse_lasso,power,6,0.04,0.2,,0.25,0.25,,1.5,6.0,2.050058603286743,2,0.2,0.2
aggregate,,sparse_lasso,power,6,0.08,0.4,,0.5,0.33333333333333337,,3.0,6.0,1.755969524383545,2,0.4,0.4
aggregate,,lowrank_svd,type1_error,4,,,,0.375,0.125,0.325,1.5,4.0,1.1316044330596924,2,,
aggregate,,lowrank_svd,type1_error,6,,,,0.16666666666666666,0.0,0.11666666666666665,1.0,6.0,1.83274507522583,2,,
aggregate,,lowrank_svd,power,6,0.04,0.4,,0.41666666666666663,0.08333333333333334,,2.5,6.0,1.4704052209854126,2,0.4,0.4
aggregate,,lowrank_svd,power,6,0.08,0.8,,1.0,0.0,,6.0,6.0,1.4494003057479858,2,0.8,0.8
