scope,seed,model,metric,M,delta,target_fro,actual_fro,value,size_distortion,rejections,effective_iterations,runtime_sec
seed,42,baseline_ols,type1_error,4,,,,0.25,0.2,1,4,0.2600431442260742
seed,42,baseline_ols,type1_error,6,,,,0.16666666666666666,0.11666666666666665,1,6,0.3817143440246582
seed,42,baseline_ols,power,6,0.04,0.08,0.07999999999999997,0.16666666666666666,,1,6,0.22819757461547852
seed,42,baseline_ols,power,6,0.08,0.16,0.16,0.3333333333333333,,2,6,0.214799165725708
seed,42,sparse_lasso,type1_error,4,,,,0.25,0.2,1,4,1.4287285804748535
seed,42,sparse_lasso,type1_error,6,,,,0.16666666666666666,0.11666666666666665,1,6,1.971886157989502
seed,42,sparse_lasso,power,6,0.04,0.2,0.2,0.5,,3,6,2.0887300968170166
seed,42,sparse_lasso,power,6,0.08,0.4,0.4,0.8333333333333334,,5,6,1.6944880485534668
seed,42,lowrank_svd,type1_error,4,,,,0.5,0.45,2,4,1.1825993061065674
seed,42,lowrank_svd,type1_error,6,,,,0.16666666666666666,0.11666666666666665,1,6,1.8868513107299805
seed,42,lowrank_svd,power,6,0.04,0.4,0.4,0.5,,3,6,1.6509923934936523
seed,42,lowrank_svd,power,6,0.08,0.8,0.8,1.0,,6,6,1.3824670314788818
seed,2026,baseline_ols,type1_error,4,,,,0.0,-0.05,0,4,0.2857637405395508
seed,2026,baseline_ols,type1_error,6,,,,0.5,0.45,3,6,0.33042001724243164
seed,2026,baseline_ols,power,6,0.04,0.08,0.08000000000000002,0.0,,0,6,0.1892547607421875
seed,2026,baseline_ols,power,6,0.08,0.16,0.16000000000000003,0.0,,0,6,0.26234984397888184
seed,2026,sparse_lasso,type1_error,4,,,,0.0,-0.05,0,4,1.3921127319335938
seed,2026,sparse_lasso,type1_error,6,,,,0.16666666666666666,0.11666666666666665,1,6,1.9740159511566162
seed,2026,sparse_lasso,power,6,0.04,0.2,0.2,0.0,,0,6,2.0113871097564697
seed,2026,sparse_lasso,power,6,0.08,0.4,0.4,0.16666666666666666,,1,6,1.817451000213623
seed,2026,lowrank_svd,type1_error,4,,,,0.25,0.2,1,4,1.0806095600128174
seed,2026,lowrank_svd,type1_error,6,,,,0.16666666666666666,0.11666666666666665,1,6,1.7786388397216797
seed,2026,lowrank_svd,power,6,0.04,0.4,0.4,0.3333333333333333,,2,6,1.2898180484771729
seed,2026,lowrank_svd,power,6,0.08,0.8,0.8,1.0,,6,6,1.5163335800170898
