scope,seed,model,metric,M,delta,target_fro,actual_fro,value_mean,value_std,size_distortion_mean,rejections_mean,effective_iterations_mean,runtime_sec_mean,seed_count,target_fro_mean,actual_fro_mean
aggregate,,baseline_ols,type1_error,4,,,,0.25,0.0,0.2,1.0,4.0,0.23701894283294678,2,,
aggregate,,baseline_ols,type1_error,6,,,,0.3333333333333333,0.0,0.2833333333333333,2.0,6.0,0.3848612308502197,2,,
aggregate,,baseline_ols,power,6,0.04,0.08,,0.16666666666666666,0.16666666666666666,,1.0,6.0,0.21491646766662598,2,0.08,0.07999999999999999
aggregate,,baseline_ols,power,6,0.08,0.16,,0.16666666666666666,0.16666666666666666,,1.0,6.0,0.2374500036239624,2,0.16,0.16000000000000003
aggregate,,sparse_lasso,type1_error,4,,,,0.25,0.0,0.2,1.0,4.0,1.2904808521270752,2,,
aggregate,,sparse_lasso,type1_error,6,,,,0.08333333333333333,0.08333333333333333,0.033333333333333326,0.5,6.0,1.8711131811141968,2,,
aggregate,,sparse_lasso,power,6,0.04,0.2,,0.16666666666666666,0.16666666666666666,,1.0,6.0,1.8363312482833862,2,0.2,0.2
aggregate,,sparse_lasso,power,6,0.08,0.4,,0.25,0.08333333333333333,,1.5,6.0,1.885636329650879,2,0.4,0.4
aggregate,,lowrank_svd,type1_error,4,,,,0.5,0.0,0.45,2.0,4.0,1.1817822456359863,2,,
aggregate,,lowrank_svd,type1_error,6,,,,0.3333333333333333,0.16666666666666669,0.2833333333333333,2.0,6.0,1.838346004486084,2,,
aggregate,,lowrank_svd,power,6,0.04,0.4,,0.3333333333333333,0.0,,2.0,6.0,1.5696443319320679,2,0.4,0.4
aggregate,,lowrank_svd,power,6,0.08,0.8,,0.9166666666666667,0.08333333333333331,,5.5,6.0,1.1127469539642334,2,0.8,0.8
