scope,seed,model,metric,M,delta,target_fro,actual_fro,value,size_distortion,rejections,effective_iterations,runtime_sec
seed,42,baseline_ols,type1_error,4,,,,0.25,0.2,1,4,0.30716705322265625
seed,42,baseline_ols,type1_error,6,,,,0.3333333333333333,0.2833333333333333,2,6,0.38248682022094727
seed,42,baseline_ols,power,6,0.04,0.08,0.07999999999999997,0.0,,0,6,0.2003335952758789
seed,42,baseline_ols,power,6,0.08,0.16,0.16,0.3333333333333333,,2,6,0.2474687099456787
seed,42,sparse_lasso,type1_error,4,,,,0.25,0.2,1,4,1.277709722518921
seed,42,sparse_lasso,type1_error,6,,,,0.0,-0.05,0,6,1.8075122833251953
seed,42,sparse_lasso,power,6,0.04,0.2,0.2,0.3333333333333333,,2,6,1.7719686031341553
seed,42,sparse_lasso,power,6,0.08,0.4,0.4,0.3333333333333333,,2,6,1.981156826019287
seed,42,lowrank_svd,type1_error,4,,,,0.5,0.45,2,4,1.298647403717041
seed,42,lowrank_svd,type1_error,6,,,,0.16666666666666666,0.11666666666666665,1,6,1.7838504314422607
seed,42,lowrank_svd,power,6,0.04,0.4,0.4,0.3333333333333333,,2,6,1.4859778881072998
seed,42,lowrank_svd,power,6,0.08,0.8,0.8,1.0,,6,6,1.0787088871002197
seed,2026,baseline_ols,type1_error,4,,,,0.25,0.2,1,4,0.1668708324432373
seed,2026,baseline_ols,type1_error,6,,,,0.3333333333333333,0.2833333333333333,2,6,0.3872356414794922
seed,2026,baseline_ols,power,6,0.04,0.08,0.08000000000000002,0.3333333333333333,,2,6,0.22949934005737305
seed,2026,baseline_ols,power,6,0.08,0.16,0.16000000000000003,0.0,,0,6,0.2274312973022461
seed,2026,sparse_lasso,type1_error,4,,,,0.25,0.2,1,4,1.3032519817352295
seed,2026,sparse_lasso,type1_error,6,,,,0.16666666666666666,0.11666666666666665,1,6,1.9347140789031982
seed,2026,sparse_lasso,power,6,0.04,0.2,0.2,0.0,,0,6,1.9006938934326172
seed,2026,sparse_lasso,power,6,0.08,0.4,0.4,0.16666666666666666,,1,6,1.7901158332824707
seed,2026,lowrank_svd,type1_error,4,,,,0.5,0.45,2,4,1.0649170875549316
seed,2026,lowrank_svd,type1_error,6,,,,0.5,0.45,3,6,1.8928415775299072
seed,2026,lowrank_svd,power,6,0.04,0.4,0.4,0.3333333333333333,,2,6,1.653310775756836
seed,2026,lowrank_svd,power,6,0.08,0.8,0.8,0.8333333333333334,,5,6,1.146785020828247
