scope,seed,model,metric,M,delta,target_fro,actual_fro,value_mean,value_std,size_distortion_mean,rejections_mean,effective_iterations_mean,runtime_sec_mean,seed_count,target_fro_mean,actual_fro_mean
aggregate,,baseline_ols,type1_error,4,,,,0.25,0.0,0.2,1.0,4.0,0.17654037475585938,2,,
aggregate,,baseline_ols,type1_error,6,,,,0.3333333333333333,0.0,0.2833333333333333,2.0,6.0,0.38024580478668213,2,,
aggregate,,baseline_ols,power,6,0.04,0.08,,0.16666666666666666,0.0,,1.0,6.0,0.20961594581604004,2,0.08,0.07999999999999999
aggregate,,baseline_ols,power,6,0.08,0.16,,0.25,0.08333333333333333,,1.5,6.0,0.20520544052124023,2,0.16,0.16000000000000003
aggregate,,sparse_lasso,type1_error,4,,,,0.25,0.0,0.2,1.0,4.0,1.2636255025863647,2,,
aggregate,,sparse_lasso,type1_error,6,,,,0.16666666666666666,0.16666666666666666,0.11666666666666667,1.0,6.0,1.9558100700378418,2,,
aggregate,,sparse_lasso,power,6,0.04,0.2,,0.41666666666666663,0.08333333333333334,,2.5,6.0,1.847334384918213,2,0.2,0.2
aggregate,,sparse_lasso,power,6,0.08,0.4,,0.5,0.16666666666666666,,3.0,6.0,1.919706106185913,2,0.4,0.4
aggregate,,lowrank_svd,type1_error,4,,,,0.625,0.125,0.575,2.5,4.0,1.0625985860824585,2,,
aggregate,,lowrank_svd,type1_error,6,,,,0.5,0.33333333333333337,0.45,3.0,6.0,1.7803891897201538,2,,
aggregate,,lowrank_svd,power,6,0.04,0.4,,0.3333333333333333,0.16666666666666669,,2.0,6.0,1.5412801504135132,2,0.4,0.4
aggregate,,lowrank_svd,power,6,0.08,0.8,,1.0,0.0,,6.0,6.0,1.444067120552063,2,0.8,0.8
