scope,seed,model,metric,M,delta,target_fro,actual_fro,value,size_distortion,rejections,effective_iterations,runtime_sec
seed,42,baseline_ols,type1_error,4,,,,0.25,0.2,1,4,0.1547086238861084
seed,42,baseline_ols,type1_error,6,,,,0.3333333333333333,0.2833333333333333,2,6,0.34445977210998535
seed,42,baseline_ols,power,6,0.04,0.08,0.07999999999999997,0.16666666666666666,,1,6,0.2056117057800293
seed,42,baseline_ols,power,6,0.08,0.16,0.16,0.16666666666666666,,1,6,0.22666168212890625
seed,42,sparse_lasso,type1_error,4,,,,0.25,0.2,1,4,1.208479642868042
seed,42,sparse_lasso,type1_error,6,,,,0.3333333333333333,0.2833333333333333,2,6,1.8719122409820557
seed,42,sparse_lasso,power,6,0.04,0.2,0.2,0.3333333333333333,,2,6,1.8313398361206055
seed,42,sparse_lasso,power,6,0.08,0.4,0.4,0.3333333333333333,,2,6,2.0154495239257812
seed,42,lowrank_svd,type1_error,4,,,,0.5,0.45,2,4,1.057250738143921
seed,42,lowrank_svd,type1_error,6,,,,0.8333333333333334,0.7833333333333333,5,6,1.745708703994751
seed,42,lowrank_svd,power,6,0.04,0.4,0.4,0.16666666666666666,,1,6,1.6478009223937988
seed,42,lowrank_svd,power,6,0.08,0.8,0.8,1.0,,6,6,1.4412715435028076
seed,2026,baseline_ols,type1_error,4,,,,0.25,0.2,1,4,0.19837212562561035
seed,2026,baseline_ols,type1_error,6,,,,0.3333333333333333,0.2833333333333333,2,6,0.4160318374633789
seed,2026,baseline_ols,power,6,0.04,0.08,0.08000000000000002,0.16666666666666666,,1,6,0.21362018585205078
seed,2026,baseline_ols,power,6,0.08,0.16,0.16000000000000003,0.3333333333333333,,2,6,0.18374919891357422
seed,2026,sparse_lasso,type1_error,4,,,,0.25,0.2,1,4,1.3187713623046875
seed,2026,sparse_lasso,type1_error,6,,,,0.0,-0.05,0,6,2.039707899093628
seed,2026,sparse_lasso,power,6,0.04,0.2,0.2,0.5,,3,6,1.8633289337158203
seed,2026,sparse_lasso,power,6,0.08,0.4,0.4,0.6666666666666666,,4,6,1.823962688446045
seed,2026,lowrank_svd,type1_error,4,,,,0.75,0.7,3,4,1.067946434020996
seed,2026,lowrank_svd,type1_error,6,,,,0.16666666666666666,0.11666666666666665,1,6,1.8150696754455566
seed,2026,lowrank_svd,power,6,0.04,0.4,0.4,0.5,,3,6,1.4347593784332275
seed,2026,lowrank_svd,power,6,0.08,0.8,0.8,1.0,,6,6,1.4468626976013184
