scope,seed,model,metric,M,delta,target_fro,actual_fro,value_mean,value_std,size_distortion_mean,rejections_mean,effective_iterations_mean,runtime_sec_mean,seed_count,target_fro_mean,actual_fro_mean
aggregate,,baseline_ols,type1_error,4,,,,0.125,0.125,0.07500000000000001,0.5,4.0,0.13492631912231445,2,,
aggregate,,baseline_ols,type1_error,6,,,,0.08333333333333333,0.08333333333333333,0.033333333333333326,0.5,6.0,0.4209033250808716,2,,
aggregate,,baseline_ols,power,6,0.04,0.08,,0.0,0.0,,0.0,6.0,0.21057140827178955,2,0.08,0.07999999999999999
aggregate,,baseline_ols,power,6,0.08,0.16,,0.25,0.08333333333333333,,1.5,6.0,0.20968425273895264,2,0.16,0.16000000000000003
aggregate,,sparse_lasso,type1_error,4,,,,0.25,0.0,0.2,1.0,4.0,1.3040378093719482,2,,
aggregate,,sparse_lasso,type1_error,6,,,,0.16666666666666666,0.0,0.11666666666666665,1.0,6.0,1.9789735078811646,2,,
aggregate,,sparse_lasso,power,6,0.04,0.2,,0.08333333333333333,0.08333333333333333,,0.5,6.0,1.8218693733215332,2,0.2,0.2
aggregate,,sparse_lasso,power,6,0.08,0.4,,0.41666666666666663,0.08333333333333334,,2.5,6.0,1.8924639225006104,2,0.4,0.4
aggregate,,lowrank_svd,type1_error,4,,,,0.375,0.125,0.325,1.5,4.0,1.0992666482925415,2,,
aggregate,,lowrank_svd,type1_error,6,,,,0.25,0.08333333333333333,0.19999999999999998,1.5,6.0,1.7976336479187012,2,,
aggregate,,lowrank_svd,power,6,0.04,0.4,,0.5833333333333333,0.08333333333333331,,3.5,6.0,1.639651894569397,2,0.4,0.4
aggregate,,lowrank_svd,power,6,0.08,0.8,,0.8333333333333333,0.16666666666666669,,5.0,6.0,1.3204903602600098,2,0.8,0.8
