scope,seed,model,metric,M,delta,target_fro,actual_fro,value,size_distortion,rejections,effective_iterations,runtime_sec
seed,42,baseline_ols,type1_error,4,,,,0.0,-0.05,0,4,0.06523418426513672
seed,42,baseline_ols,type1_error,6,,,,0.16666666666666666,0.11666666666666665,1,6,0.4487628936767578
seed,42,baseline_ols,power,6,0.04,0.08,0.07999999999999997,0.0,,0,6,0.18746590614318848
seed,42,baseline_ols,power,6,0.08,0.16,0.16,0.3333333333333333,,2,6,0.21903038024902344
seed,42,sparse_lasso,type1_error,4,,,,0.25,0.2,1,4,1.2846252918243408
seed,42,sparse_lasso,type1_error,6,,,,0.16666666666666666,0.11666666666666665,1,6,1.9111850261688232
seed,42,sparse_lasso,power,6,0.04,0.2,0.2,0.16666666666666666,,1,6,1.8548765182495117
seed,42,sparse_lasso,power,6,0.08,0.4,0.4,0.5,,3,6,1.867579460144043
seed,42,lowrank_svd,type1_error,4,,,,0.5,0.45,2,4,1.1150941848754883
seed,42,lowrank_svd,type1_error,6,,,,0.3333333333333333,0.2833333333333333,2,6,1.751060962677002
seed,42,lowrank_svd,power,6,0.04,0.4,0.4,0.5,,3,6,1.6885871887207031
seed,42,lowrank_svd,power,6,0.08,0.8,0.8,0.6666666666666666,,4,6,1.3428564071655273
seed,2026,baseline_ols,type1_error,4,,,,0.25,0.2,1,4,0.2046184539794922
seed,2026,baseline_ols,type1_error,6,,,,0.0,-0.05,0,6,0.39304375648498535
seed,2026,baseline_ols,power,6,0.04,0.08,0.08000000000000002,0.0,,0,6,0.23367691040039062
seed,2026,baseline_ols,power,6,0.08,0.16,0.16000000000000003,0.16666666666666666,,1,6,0.20033812522888184
seed,2026,sparse_lasso,type1_error,4,,,,0.25,0.2,1,4,1.3234503269195557
seed,2026,sparse_lasso,type1_error,6,,,,0.16666666666666666,0.11666666666666665,1,6,2.046761989593506
seed,2026,sparse_lasso,power,6,0.04,0.2,0.2,0.0,,0,6,1.7888622283935547
seed,2026,sparse_lasso,power,6,0.08,0.4,0.4,0.3333333333333333,,2,6,1.9173483848571777
seed,2026,lowrank_svd,type1_error,4,,,,0.25,0.2,1,4,1.0834391117095947
seed,2026,lowrank_svd,type1_error,6,,,,0.16666666666666666,0.11666666666666665,1,6,1.8442063331604004
seed,2026,lowrank_svd,power,6,0.04,0.4,0.4,0.6666666666666666,,4,6,1.5907166004180908
seed,2026,lowrank_svd,power,6,0.08,0.8,0.8,1.0,,6,6,1.2981243133544922
