scope,seed,model,metric,M,delta,target_fro,actual_fro,value_mean,value_std,size_distortion_mean,rejections_mean,effective_iterations_mean,runtime_sec_mean,seed_count,target_fro_mean,actual_fro_mean
aggregate,,baseline_ols,type1_error,50,,,,0.24,0.0,0.19,12.0,50.0,3.8071019649505615,1,,
aggregate,,baseline_ols,type1_error,100,,,,0.23,0.0,0.18,23.0,100.0,8.422711610794067,1,,
aggregate,,baseline_ols,type1_error,300,,,,0.20333333333333334,0.0,0.15333333333333332,61.0,300.0,25.60820984840393,1,,
aggregate,,baseline_ols,power,300,0.04,0.08,,0.2,0.0,,60.0,300.0,12.728238582611084,1,0.08,0.07999999999999997
aggregate,,baseline_ols,power,300,0.08,0.16,,0.29333333333333333,0.0,,88.0,300.0,12.545464754104614,1,0.16,0.16
aggregate,,baseline_ols,power,300,0.12,0.24,,0.33666666666666667,0.0,,101.0,300.0,13.14621376991272,1,0.24,0.23999999999999996
aggregate,,baseline_ols,power,300,0.16,0.32,,0.43666666666666665,0.0,,131.0,300.0,12.603799819946289,1,0.32,0.32
aggregate,,sparse_lasso,type1_error,50,,,,0.08,0.0,0.03,4.0,50.0,533.1336314678192,1,,
aggregate,,sparse_lasso,type1_error,100,,,,0.03,0.0,-0.020000000000000004,3.0,100.0,1011.3078191280365,1,,
aggregate,,sparse_lasso,type1_error,300,,,,0.056666666666666664,0.0,0.006666666666666661,17.0,300.0,3037.868614435196,1,,
aggregate,,sparse_lasso,power,300,0.04,0.2,,0.08,0.0,,24.0,300.0,3031.075588464737,1,0.2,0.2
aggregate,,sparse_lasso,power,300,0.08,0.4,,0.25,0.0,,75.0,300.0,3056.7235453128815,1,0.4,0.4
aggregate,,sparse_lasso,power,300,0.12,0.6,,0.6133333333333333,0.0,,184.0,300.0,3112.689526081085,1,0.6,0.6000000000000001
aggregate,,sparse_lasso,power,300,0.16,0.8,,0.9266666666666666,0.0,,278.0,300.0,3044.3725991249084,1,0.8,0.7200000000000002
aggregate,,lowrank_svd,type1_error,50,,,,0.12,0.0,0.06999999999999999,6.0,50.0,833.6195883750916,1,,
aggregate,,lowrank_svd,type1_error,100,,,,0.02,0.0,-0.030000000000000002,2.0,100.0,1584.0870666503906,1,,
aggregate,,lowrank_svd,type1_error,300,,,,0.05,0.0,0.0,15.0,300.0,4730.120650053024,1,,
aggregate,,lowrank_svd,power,300,0.04,0.4,,0.15333333333333332,0.0,,46.0,300.0,4648.461997509003,1,0.4,0.4
aggregate,,lowrank_svd,power,300,0.08,0.8,,0.8966666666666666,0.0,,269.0,300.0,4724.265464305878,1,0.8,0.8
aggregate,,lowrank_svd,power,300,0.12,1.2,,0.9433333333333334,0.0,,283.0,300.0,580.687260389328,1,1.2,0.8748000000000002
aggregate,,lowrank_svd,power,300,0.16,1.6,,0.9333333333333333,0.0,,280.0,300.0,291.6426544189453,1,1.6,0.8503056000000004
