scope,seed,model,metric,M,delta,target_fro,actual_fro,value,size_distortion,rejections,effective_iterations,runtime_sec
seed,42,baseline_ols,type1_error,50,,,,0.24,0.19,12,50,3.8071019649505615
seed,42,baseline_ols,type1_error,100,,,,0.23,0.18,23,100,8.422711610794067
seed,42,baseline_ols,type1_error,300,,,,0.20333333333333334,0.15333333333333332,61,300,25.60820984840393
seed,42,baseline_ols,power,300,0.04,0.08,0.07999999999999997,0.2,,60,300,12.728238582611084
seed,42,baseline_ols,power,300,0.08,0.16,0.16,0.29333333333333333,,88,300,12.545464754104614
seed,42,baseline_ols,power,300,0.12,0.24,0.23999999999999996,0.33666666666666667,,101,300,13.14621376991272
seed,42,baseline_ols,power,300,0.16,0.32,0.32,0.43666666666666665,,131,300,12.603799819946289
seed,42,sparse_lasso,type1_error,50,,,,0.08,0.03,4,50,533.1336314678192
seed,42,sparse_lasso,type1_error,100,,,,0.03,-0.020000000000000004,3,100,1011.3078191280365
seed,42,sparse_lasso,type1_error,300,,,,0.056666666666666664,0.006666666666666661,17,300,3037.868614435196
seed,42,sparse_lasso,power,300,0.04,0.2,0.2,0.08,,24,300,3031.075588464737
seed,42,sparse_lasso,power,300,0.08,0.4,0.4,0.25,,75,300,3056.7235453128815
seed,42,sparse_lasso,power,300,0.12,0.6,0.6000000000000001,0.6133333333333333,,184,300,3112.689526081085
seed,42,sparse_lasso,power,300,0.16,0.8,0.7200000000000002,0.9266666666666666,,278,300,3044.3725991249084
seed,42,lowrank_svd,type1_error,50,,,,0.12,0.06999999999999999,6,50,833.6195883750916
seed,42,lowrank_svd,type1_error,100,,,,0.02,-0.030000000000000002,2,100,1584.0870666503906
seed,42,lowrank_svd,type1_error,300,,,,0.05,0.0,15,300,4730.120650053024
seed,42,lowrank_svd,power,300,0.04,0.4,0.4,0.15333333333333332,,46,300,4648.461997509003
seed,42,lowrank_svd,power,300,0.08,0.8,0.8,0.8966666666666666,,269,300,4724.265464305878
seed,42,lowrank_svd,power,300,0.12,1.2,0.8748000000000002,0.9433333333333334,,283,300,580.687260389328
seed,42,lowrank_svd,power,300,0.16,1.6,0.8503056000000004,0.9333333333333333,,280,300,291.6426544189453
