scope,seed,model,metric,M,delta,target_fro,actual_fro,value_mean,value_std,size_distortion_mean,rejections_mean,effective_iterations_mean,runtime_sec_mean,seed_count,target_fro_mean,actual_fro_mean
aggregate,,baseline_ols,type1_error,30,,,,0.0,0.0,-0.05,0.0,30.0,18.768973350524902,1,,
aggregate,,baseline_ols,type1_error,50,,,,0.04,0.0,-0.010000000000000002,2.0,50.0,30.403833150863647,1,,
aggregate,,baseline_ols,type1_error,100,,,,0.03,0.0,-0.020000000000000004,3.0,100.0,60.525744915008545,1,,
aggregate,,baseline_ols,type1_error,150,,,,0.02666666666666667,0.0,-0.023333333333333334,4.0,150.0,90.84291911125183,1,,
aggregate,,baseline_ols,type1_error,200,,,,0.04,0.0,-0.010000000000000002,8.0,200.0,125.07334089279175,1,,
aggregate,,baseline_ols,type1_error,300,,,,0.06333333333333334,0.0,0.013333333333333336,19.0,300.0,185.06737184524536,1,,
aggregate,,baseline_ols,power,300,0.04,0.08,,0.07666666666666666,0.0,,23.0,300.0,182.69336414337158,1,0.08,0.07999999999999997
aggregate,,baseline_ols,power,300,0.08,0.16,,0.09,0.0,,27.0,300.0,181.85675930976868,1,0.16,0.16
aggregate,,baseline_ols,power,300,0.12,0.24,,0.18333333333333332,0.0,,55.0,300.0,179.76074075698853,1,0.24,0.23999999999999996
aggregate,,baseline_ols,power,300,0.16,0.32,,0.36333333333333334,0.0,,109.0,300.0,181.08559823036194,1,0.32,0.32
aggregate,,baseline_ols_f,type1_error,30,,,,0.06666666666666667,0.0,0.016666666666666663,2.0,30.0,0.06340193748474121,1,,
aggregate,,baseline_ols_f,type1_error,50,,,,0.04,0.0,-0.010000000000000002,2.0,50.0,0.1046595573425293,1,,
aggregate,,baseline_ols_f,type1_error,100,,,,0.02,0.0,-0.030000000000000002,2.0,100.0,0.2020890712738037,1,,
aggregate,,baseline_ols_f,type1_error,150,,,,0.06,0.0,0.009999999999999995,9.0,150.0,0.311281681060791,1,,
aggregate,,baseline_ols_f,type1_error,200,,,,0.06,0.0,0.009999999999999995,12.0,200.0,0.40509581565856934,1,,
aggregate,,baseline_ols_f,type1_error,300,,,,0.043333333333333335,0.0,-0.006666666666666668,13.0,300.0,0.6408941745758057,1,,
aggregate,,baseline_ols_f,power,300,0.04,0.08,,0.06,0.0,,18.0,300.0,0.607393741607666,1,0.08,0.07999999999999997
aggregate,,baseline_ols_f,power,300,0.08,0.16,,0.10333333333333333,0.0,,31.0,300.0,0.6010568141937256,1,0.16,0.16
aggregate,,baseline_ols_f,power,300,0.12,0.24,,0.19666666666666666,0.0,,59.0,300.0,0.6128232479095459,1,0.24,0.23999999999999996
aggregate,,baseline_ols_f,power,300,0.16,0.32,,0.3566666666666667,0.0,,107.0,300.0,0.649075984954834,1,0.32,0.32
aggregate,,sparse_lasso,type1_error,30,,,,0.1,0.0,0.05,3.0,30.0,80.093435049057,1,,
aggregate,,sparse_lasso,type1_error,50,,,,0.0,0.0,-0.05,0.0,50.0,125.55451226234436,1,,
aggregate,,sparse_lasso,type1_error,100,,,,0.05,0.0,0.0,5.0,100.0,250.96640181541443,1,,
aggregate,,sparse_lasso,type1_error,150,,,,0.02666666666666667,0.0,-0.023333333333333334,4.0,150.0,329.06195306777954,1,,
aggregate,,sparse_lasso,type1_error,200,,,,0.06,0.0,0.009999999999999995,12.0,200.0,441.2365791797638,1,,
aggregate,,sparse_lasso,type1_error,300,,,,0.08,0.0,0.03,24.0,300.0,653.8010325431824,1,,
aggregate,,sparse_lasso,power,300,0.04,0.2,,0.07,0.0,,21.0,300.0,723.6402888298035,1,0.2,0.2
aggregate,,sparse_lasso,power,300,0.08,0.4,,0.22333333333333333,0.0,,67.0,300.0,722.7450039386749,1,0.4,0.4
aggregate,,sparse_lasso,power,300,0.12,0.6,,0.6666666666666666,0.0,,200.0,300.0,696.3546903133392,1,0.6,0.6000000000000001
aggregate,,sparse_lasso,power,300,0.16,0.8,,0.8933333333333333,0.0,,268.0,300.0,699.7750356197357,1,0.8,0.7200000000000002
aggregate,,lowrank_svd,type1_error,30,,,,0.13333333333333333,0.0,0.08333333333333333,4.0,30.0,74.83668327331543,1,,
aggregate,,lowrank_svd,type1_error,50,,,,0.08,0.0,0.03,4.0,50.0,29.086721658706665,1,,
aggregate,,lowrank_svd,type1_error,100,,,,0.05,0.0,0.0,5.0,100.0,143.48865127563477,1,,
aggregate,,lowrank_svd,type1_error,150,,,,0.07333333333333333,0.0,0.02333333333333333,11.0,150.0,276.84587574005127,1,,
aggregate,,lowrank_svd,type1_error,200,,,,0.11,0.0,0.06,22.0,200.0,350.17985796928406,1,,
aggregate,,lowrank_svd,type1_error,300,,,,0.06666666666666667,0.0,0.016666666666666663,20.0,300.0,483.8400990962982,1,,
aggregate,,lowrank_svd,power,300,0.04,0.4,,0.17666666666666667,0.0,,53.0,300.0,655.8645656108856,1,0.4,0.4
aggregate,,lowrank_svd,power,300,0.08,0.8,,0.88,0.0,,264.0,300.0,727.5204980373383,1,0.8,0.8
aggregate,,lowrank_svd,power,300,0.12,1.2,,0.95,0.0,,285.0,300.0,722.1984977722168,1,1.2,0.8748000000000002
aggregate,,lowrank_svd,power,300,0.16,1.6,,0.9666666666666667,0.0,,290.0,300.0,716.4620990753174,1,1.6,0.8503056000000004
