scope,seed,model,metric,M,delta,target_fro,actual_fro,value,size_distortion,rejections,effective_iterations,runtime_sec
seed,42,baseline_ols,type1_error,30,,,,0.0,-0.05,0,30,18.768973350524902
seed,42,baseline_ols,type1_error,50,,,,0.04,-0.010000000000000002,2,50,30.403833150863647
seed,42,baseline_ols,type1_error,100,,,,0.03,-0.020000000000000004,3,100,60.525744915008545
seed,42,baseline_ols,type1_error,150,,,,0.02666666666666667,-0.023333333333333334,4,150,90.84291911125183
seed,42,baseline_ols,type1_error,200,,,,0.04,-0.010000000000000002,8,200,125.07334089279175
seed,42,baseline_ols,type1_error,300,,,,0.06333333333333334,0.013333333333333336,19,300,185.06737184524536
seed,42,baseline_ols,power,300,0.04,0.08,0.07999999999999997,0.07666666666666666,,23,300,182.69336414337158
seed,42,baseline_ols,power,300,0.08,0.16,0.16,0.09,,27,300,181.85675930976868
seed,42,baseline_ols,power,300,0.12,0.24,0.23999999999999996,0.18333333333333332,,55,300,179.76074075698853
seed,42,baseline_ols,power,300,0.16,0.32,0.32,0.36333333333333334,,109,300,181.08559823036194
seed,42,baseline_ols_f,type1_error,30,,,,0.06666666666666667,0.016666666666666663,2,30,0.06340193748474121
seed,42,baseline_ols_f,type1_error,50,,,,0.04,-0.010000000000000002,2,50,0.1046595573425293
seed,42,baseline_ols_f,type1_error,100,,,,0.02,-0.030000000000000002,2,100,0.2020890712738037
seed,42,baseline_ols_f,type1_error,150,,,,0.06,0.009999999999999995,9,150,0.311281681060791
seed,42,baseline_ols_f,type1_error,200,,,,0.06,0.009999999999999995,12,200,0.40509581565856934
seed,42,baseline_ols_f,type1_error,300,,,,0.043333333333333335,-0.006666666666666668,13,300,0.6408941745758057
seed,42,baseline_ols_f,power,300,0.04,0.08,0.07999999999999997,0.06,,18,300,0.607393741607666
seed,42,baseline_ols_f,power,300,0.08,0.16,0.16,0.10333333333333333,,31,300,0.6010568141937256
seed,42,baseline_ols_f,power,300,0.12,0.24,0.23999999999999996,0.19666666666666666,,59,300,0.6128232479095459
seed,42,baseline_ols_f,power,300,0.16,0.32,0.32,0.3566666666666667,,107,300,0.649075984954834
seed,42,sparse_lasso,type1_error,30,,,,0.1,0.05,3,30,80.093435049057
seed,42,sparse_lasso,type1_error,50,,,,0.0,-0.05,0,50,125.55451226234436
seed,42,sparse_lasso,type1_error,100,,,,0.05,0.0,5,100,250.96640181541443
seed,42,sparse_lasso,type1_error,150,,,,0.02666666666666667,-0.023333333333333334,4,150,329.06195306777954
seed,42,sparse_lasso,type1_error,200,,,,0.06,0.009999999999999995,12,200,441.2365791797638
seed,42,sparse_lasso,type1_error,300,,,,0.08,0.03,24,300,653.8010325431824
seed,42,sparse_lasso,power,300,0.04,0.2,0.2,0.07,,21,300,723.6402888298035
seed,42,sparse_lasso,power,300,0.08,0.4,0.4,0.22333333333333333,,67,300,722.7450039386749
seed,42,sparse_lasso,power,300,0.12,0.6,0.6000000000000001,0.6666666666666666,,200,300,696.3546903133392
seed,42,sparse_lasso,power,300,0.16,0.8,0.7200000000000002,0.8933333333333333,,268,300,699.7750356197357
seed,42,lowrank_svd,type1_error,30,,,,0.13333333333333333,0.08333333333333333,4,30,74.83668327331543
seed,42,lowrank_svd,type1_error,50,,,,0.08,0.03,4,50,29.086721658706665
seed,42,lowrank_svd,type1_error,100,,,,0.05,0.0,5,100,143.48865127563477
seed,42,lowrank_svd,type1_error,150,,,,0.07333333333333333,0.02333333333333333,11,150,276.84587574005127
seed,42,lowrank_svd,type1_error,200,,,,0.11,0.06,22,200,350.17985796928406
seed,42,lowrank_svd,type1_error,300,,,,0.06666666666666667,0.016666666666666663,20,300,483.8400990962982
seed,42,lowrank_svd,power,300,0.04,0.4,0.4,0.17666666666666667,,53,300,655.8645656108856
seed,42,lowrank_svd,power,300,0.08,0.8,0.8,0.88,,264,300,727.5204980373383
seed,42,lowrank_svd,power,300,0.12,1.2,0.8748000000000002,0.95,,285,300,722.1984977722168
seed,42,lowrank_svd,power,300,0.16,1.6,0.8503056000000004,0.9666666666666667,,290,300,716.4620990753174
