scope,seed,model,metric,M,delta,target_fro,actual_fro,value,size_distortion,rejections,effective_iterations,runtime_sec
seed,42,baseline_ols,type1_error,100,,,,0.05,0.0,5,100,31.4669930934906
seed,42,baseline_ols,type1_error,300,,,,0.056666666666666664,0.006666666666666661,17,300,91.18310403823853
seed,42,baseline_ols,type1_error,500,,,,0.064,0.013999999999999999,32,500,143.99741673469543
seed,42,baseline_ols,type1_error,1000,,,,0.057,0.006999999999999999,57,1000,285.2055594921112
seed,42,baseline_ols,type1_error,2000,,,,0.053,0.0029999999999999957,106,2000,558.3005774021149
seed,42,baseline_ols,power,300,0.1,0.1,0.1,0.08,,24,300,87.32938122749329
seed,42,baseline_ols,power,300,0.2,0.2,0.2,0.10666666666666667,,32,300,88.33547806739807
seed,42,baseline_ols,power,300,0.4,0.4,0.4,0.5366666666666666,,161,300,86.68894338607788
seed,42,baseline_ols,power,300,0.8,0.8,0.8,0.9966666666666667,,299,300,86.53087329864502
seed,42,baseline_ols,power,300,1.2,1.2,0.8748000000000001,1.0,,300,300,87.20289254188538
seed,42,baseline_ols_f,type1_error,100,,,,0.04,-0.010000000000000002,4,100,0.1091923713684082
seed,42,baseline_ols_f,type1_error,300,,,,0.04,-0.010000000000000002,12,300,0.3283050060272217
seed,42,baseline_ols_f,type1_error,500,,,,0.07,0.020000000000000004,35,500,0.4838862419128418
seed,42,baseline_ols_f,type1_error,1000,,,,0.05,0.0,50,1000,0.943687915802002
seed,42,baseline_ols_f,type1_error,2000,,,,0.0525,0.0024999999999999953,105,2000,1.9148001670837402
seed,42,baseline_ols_f,power,300,0.1,0.1,0.1,0.06,,18,300,0.29949498176574707
seed,42,baseline_ols_f,power,300,0.2,0.2,0.2,0.17333333333333334,,52,300,0.30271029472351074
seed,42,baseline_ols_f,power,300,0.4,0.4,0.4,0.5566666666666666,,167,300,0.30161190032958984
seed,42,baseline_ols_f,power,300,0.8,0.8,0.8,1.0,,300,300,0.2940640449523926
seed,42,baseline_ols_f,power,300,1.2,1.2,0.8748000000000001,1.0,,300,300,0.3042929172515869
seed,42,sparse_lasso,type1_error,100,,,,0.05,0.0,5,100,159.06754302978516
seed,42,sparse_lasso,type1_error,300,,,,0.04666666666666667,-0.003333333333333334,14,300,481.30654764175415
seed,42,sparse_lasso,type1_error,500,,,,0.068,0.018000000000000002,34,500,763.7693862915039
seed,42,sparse_lasso,type1_error,1000,,,,0.055,0.0049999999999999975,55,1000,1519.6461071968079
seed,42,sparse_lasso,type1_error,2000,,,,0.048,-0.0020000000000000018,96,2000,3034.445513486862
seed,42,sparse_lasso,power,300,0.1,0.1,0.1,0.06,,18,300,480.30666422843933
seed,42,sparse_lasso,power,300,0.2,0.2,0.2,0.1,,30,300,484.6144452095032
seed,42,sparse_lasso,power,300,0.4,0.4,0.4,0.17666666666666667,,53,300,483.3956489562988
seed,42,sparse_lasso,power,300,0.8,0.8,0.7200000000000002,0.9166666666666666,,275,300,482.0101857185364
seed,42,sparse_lasso,power,300,1.2,1.2,0.708588,0.9366666666666666,,281,300,479.7846944332123
seed,42,lowrank_svd,type1_error,100,,,,0.08,0.03,8,100,41.56234526634216
seed,42,lowrank_svd,type1_error,300,,,,0.08666666666666667,0.03666666666666667,26,300,121.1597912311554
seed,42,lowrank_svd,type1_error,500,,,,0.052,0.001999999999999995,26,500,194.47382497787476
seed,42,lowrank_svd,type1_error,1000,,,,0.074,0.023999999999999994,74,1000,386.20542907714844
seed,42,lowrank_svd,type1_error,2000,,,,0.0735,0.023499999999999993,147,2000,770.555942773819
seed,42,lowrank_svd,power,300,0.1,0.1,0.1,0.10333333333333333,,31,300,119.74975061416626
seed,42,lowrank_svd,power,300,0.2,0.2,0.2,0.09333333333333334,,28,300,119.22895336151123
seed,42,lowrank_svd,power,300,0.4,0.4,0.4,0.15,,45,300,119.02176403999329
seed,42,lowrank_svd,power,300,0.8,0.8,0.8,0.8933333333333333,,268,300,120.03065085411072
seed,42,lowrank_svd,power,300,1.2,1.2,0.8748000000000002,0.97,,291,300,120.74572324752808
