scope,seed,model,metric,M,delta,target_fro,actual_fro,value_mean,value_std,size_distortion_mean,rejections_mean,effective_iterations_mean,runtime_sec_mean,seed_count,target_fro_mean,actual_fro_mean
aggregate,,baseline_ols,type1_error,50,,,,0.04,0.0,-0.010000000000000002,2.0,50.0,31.62133526802063,1,,
aggregate,,baseline_ols,type1_error,100,,,,0.05,0.0,0.0,5.0,100.0,61.10602045059204,1,,
aggregate,,baseline_ols,type1_error,300,,,,0.04,0.0,-0.010000000000000002,12.0,300.0,179.40701580047607,1,,
aggregate,,baseline_ols,type1_error,500,,,,0.056,0.0,0.005999999999999998,28.0,500.0,274.36814737319946,1,,
aggregate,,baseline_ols,type1_error,1000,,,,0.046,0.0,-0.0040000000000000036,46.0,1000.0,550.358252286911,1,,
aggregate,,baseline_ols,type1_error,2000,,,,0.049,0.0,-0.0010000000000000009,98.0,2000.0,1090.0184271335602,1,,
aggregate,,baseline_ols,power,300,0.05,0.05,,0.06666666666666667,0.0,,20.0,300.0,167.36898136138916,1,0.05,0.050000000000000024
aggregate,,baseline_ols,power,300,0.1,0.1,,0.09,0.0,,27.0,300.0,168.15384459495544,1,0.1,0.1
aggregate,,baseline_ols,power,300,0.15,0.15,,0.16333333333333333,0.0,,49.0,300.0,169.03149485588074,1,0.15,0.15
aggregate,,baseline_ols,power,300,0.2,0.2,,0.29333333333333333,0.0,,88.0,300.0,169.11174702644348,1,0.2,0.2
aggregate,,baseline_ols,power,300,0.3,0.3,,0.6966666666666667,0.0,,209.0,300.0,165.3647620677948,1,0.3,0.30000000000000004
aggregate,,baseline_ols,power,300,0.5,0.5,,0.9966666666666667,0.0,,299.0,300.0,166.63977122306824,1,0.5,0.5
aggregate,,baseline_ols_f,type1_error,50,,,,0.02,0.0,-0.030000000000000002,1.0,50.0,0.5522809028625488,1,,
aggregate,,baseline_ols_f,type1_error,100,,,,0.03,0.0,-0.020000000000000004,3.0,100.0,0.34948301315307617,1,,
aggregate,,baseline_ols_f,type1_error,300,,,,0.04,0.0,-0.010000000000000002,12.0,300.0,0.45961523056030273,1,,
aggregate,,baseline_ols_f,type1_error,500,,,,0.052,0.0,0.001999999999999995,26.0,500.0,0.7540745735168457,1,,
aggregate,,baseline_ols_f,type1_error,1000,,,,0.055,0.0,0.0049999999999999975,55.0,1000.0,1.437645673751831,1,,
aggregate,,baseline_ols_f,type1_error,2000,,,,0.057,0.0,0.006999999999999999,114.0,2000.0,2.872739791870117,1,,
aggregate,,baseline_ols_f,power,300,0.05,0.05,,0.03666666666666667,0.0,,11.0,300.0,0.4590115547180176,1,0.05,0.050000000000000024
aggregate,,baseline_ols_f,power,300,0.1,0.1,,0.11666666666666667,0.0,,35.0,300.0,0.4546825885772705,1,0.1,0.1
aggregate,,baseline_ols_f,power,300,0.15,0.15,,0.22,0.0,,66.0,300.0,0.44907355308532715,1,0.15,0.15
aggregate,,baseline_ols_f,power,300,0.2,0.2,,0.37,0.0,,111.0,300.0,0.4488856792449951,1,0.2,0.2
aggregate,,baseline_ols_f,power,300,0.3,0.3,,0.7733333333333333,0.0,,232.0,300.0,0.4635159969329834,1,0.3,0.30000000000000004
aggregate,,baseline_ols_f,power,300,0.5,0.5,,1.0,0.0,,300.0,300.0,0.44756054878234863,1,0.5,0.5
aggregate,,sparse_lasso,type1_error,50,,,,0.06,0.0,0.009999999999999995,3.0,50.0,94.67378234863281,1,,
aggregate,,sparse_lasso,type1_error,100,,,,0.05,0.0,0.0,5.0,100.0,189.47404265403748,1,,
aggregate,,sparse_lasso,type1_error,300,,,,0.06,0.0,0.009999999999999995,18.0,300.0,568.6020238399506,1,,
aggregate,,sparse_lasso,type1_error,500,,,,0.048,0.0,-0.0020000000000000018,24.0,500.0,916.9628398418427,1,,
