scope,seed,model,metric,M,delta,target_fro,actual_fro,value,size_distortion,rejections,effective_iterations,runtime_sec
seed,42,baseline_ols,type1_error,50,,,,0.04,-0.010000000000000002,2,50,31.62133526802063
seed,42,baseline_ols,type1_error,100,,,,0.05,0.0,5,100,61.10602045059204
seed,42,baseline_ols,type1_error,300,,,,0.04,-0.010000000000000002,12,300,179.40701580047607
seed,42,baseline_ols,type1_error,500,,,,0.056,0.005999999999999998,28,500,274.36814737319946
seed,42,baseline_ols,type1_error,1000,,,,0.046,-0.0040000000000000036,46,1000,550.358252286911
seed,42,baseline_ols,type1_error,2000,,,,0.049,-0.0010000000000000009,98,2000,1090.0184271335602
seed,42,baseline_ols,power,300,0.05,0.05,0.050000000000000024,0.06666666666666667,,20,300,167.36898136138916
seed,42,baseline_ols,power,300,0.1,0.1,0.1,0.09,,27,300,168.15384459495544
seed,42,baseline_ols,power,300,0.15,0.15,0.15,0.16333333333333333,,49,300,169.03149485588074
seed,42,baseline_ols,power,300,0.2,0.2,0.2,0.29333333333333333,,88,300,169.11174702644348
seed,42,baseline_ols,power,300,0.3,0.3,0.30000000000000004,0.6966666666666667,,209,300,165.3647620677948
seed,42,baseline_ols,power,300,0.5,0.5,0.5,0.9966666666666667,,299,300,166.63977122306824
seed,42,baseline_ols_f,type1_error,50,,,,0.02,-0.030000000000000002,1,50,0.5522809028625488
seed,42,baseline_ols_f,type1_error,100,,,,0.03,-0.020000000000000004,3,100,0.34948301315307617
seed,42,baseline_ols_f,type1_error,300,,,,0.04,-0.010000000000000002,12,300,0.45961523056030273
seed,42,baseline_ols_f,type1_error,500,,,,0.052,0.001999999999999995,26,500,0.7540745735168457
seed,42,baseline_ols_f,type1_error,1000,,,,0.055,0.0049999999999999975,55,1000,1.437645673751831
seed,42,baseline_ols_f,type1_error,2000,,,,0.057,0.006999999999999999,114,2000,2.872739791870117
seed,42,baseline_ols_f,power,300,0.05,0.05,0.050000000000000024,0.03666666666666667,,11,300,0.4590115547180176
seed,42,baseline_ols_f,power,300,0.1,0.1,0.1,0.11666666666666667,,35,300,0.4546825885772705
seed,42,baseline_ols_f,power,300,0.15,0.15,0.15,0.22,,66,300,0.44907355308532715
seed,42,baseline_ols_f,power,300,0.2,0.2,0.2,0.37,,111,300,0.4488856792449951
seed,42,baseline_ols_f,power,300,0.3,0.3,0.30000000000000004,0.7733333333333333,,232,300,0.4635159969329834
seed,42,baseline_ols_f,power,300,0.5,0.5,0.5,1.0,,300,300,0.44756054878234863
seed,42,sparse_lasso,type1_error,50,,,,0.06,0.009999999999999995,3,50,94.67378234863281
seed,42,sparse_lasso,type1_error,100,,,,0.05,0.0,5,100,189.47404265403748
seed,42,sparse_lasso,type1_error,300,,,,0.06,0.009999999999999995,18,300,568.6020238399506
seed,42,sparse_lasso,type1_error,500,,,,0.048,-0.0020000000000000018,24,500,916.9628398418427
seed,42,sparse_lasso,type1_error,1000,,,,0.056,0.005999999999999998,56,1000,1831.8129620552063
seed,42,sparse_lasso,type1_error,2000,,,,0.0495,-0.0005000000000000004,99,2000,3656.473436832428
seed,42,sparse_lasso,power,300,0.05,0.05,0.05000000000000001,0.04,,12,300,575.2828171253204
seed,42,sparse_lasso,power,300,0.1,0.1,0.1,0.08666666666666667,,26,300,574.6015529632568
seed,42,sparse_lasso,power,300,0.15,0.15,0.15000000000000005,0.08666666666666667,,26,300,571.1786262989044
seed,42,sparse_lasso,power,300,0.2,0.2,0.2,0.15666666666666668,,47,300,569.8811926841736
seed,42,sparse_lasso,power,300,0.3,0.3,0.30000000000000004,0.3433333333333333,,103,300,566.5685360431671
seed,42,sparse_lasso,power,300,0.5,0.5,0.5000000000000001,0.94,,282,300,566.0505001544952
seed,42,lowrank_svd,type1_error,50,,,,0.08,0.03,4,50,35.8830144405365
seed,42,lowrank_svd,type1_error,100,,,,0.03,-0.020000000000000004,3,100,70.9942238330841
seed,42,lowrank_svd,type1_error,300,,,,0.056666666666666664,0.006666666666666661,17,300,212.7615511417389
seed,42,lowrank_svd,type1_error,500,,,,0.046,-0.0040000000000000036,23,500,346.51487851142883
seed,42,lowrank_svd,type1_error,1000,,,,0.059,0.008999999999999994,59,1000,693.3082764148712
seed,42,lowrank_svd,type1_error,2000,,,,0.0585,0.0085,117,2000,1395.0818104743958
seed,42,lowrank_svd,power,300,0.05,0.05,0.05000000000000002,0.056666666666666664,,17,300,215.49052047729492
seed,42,lowrank_svd,power,300,0.1,0.1,0.1,0.056666666666666664,,17,300,218.78690361976624
seed,42,lowrank_svd,power,300,0.15,0.15,0.15,0.043333333333333335,,13,300,219.6746325492859
seed,42,lowrank_svd,power,300,0.2,0.2,0.2,0.08333333333333333,,25,300,214.19053268432617
seed,42,lowrank_svd,power,300,0.3,0.3,0.3,0.14333333333333334,,43,300,214.51985335350037
seed,42,lowrank_svd,power,300,0.5,0.5,0.5,0.6233333333333333,,187,300,214.5856955051422
