scope,seed,model,metric,M,delta,target_fro,actual_fro,value,size_distortion,rejections,effective_iterations,runtime_sec
seed,42,baseline_ols,power,300,0.05,0.05,0.050000000000000024,0.06666666666666667,,20,300,178.93604016304016
seed,42,baseline_ols,power,300,0.1,0.1,0.1,0.06666666666666667,,20,300,169.92940092086792
seed,42,baseline_ols,power,300,0.15,0.15,0.15,0.18666666666666668,,56,300,171.1873745918274
seed,42,baseline_ols,power,300,0.2,0.2,0.2,0.31333333333333335,,94,300,168.46654868125916
seed,42,baseline_ols,power,300,0.3,0.3,0.30000000000000004,0.7,,210,300,170.8659200668335
seed,42,baseline_ols,power,300,0.5,0.5,0.5,1.0,,300,300,169.125629901886
seed,42,baseline_ols,power,300,0.8,0.8,0.8,1.0,,300,300,170.15310788154602
seed,42,baseline_ols,power,300,1.0,1.0,0.9,1.0,,300,300,168.63645815849304
seed,42,baseline_ols_f,power,300,0.05,0.05,0.050000000000000024,0.056666666666666664,,17,300,0.9927723407745361
seed,42,baseline_ols_f,power,300,0.1,0.1,0.1,0.10333333333333333,,31,300,0.4934842586517334
seed,42,baseline_ols_f,power,300,0.15,0.15,0.15,0.22666666666666666,,68,300,0.4674711227416992
seed,42,baseline_ols_f,power,300,0.2,0.2,0.2,0.3333333333333333,,100,300,0.4863135814666748
seed,42,baseline_ols_f,power,300,0.3,0.3,0.30000000000000004,0.8033333333333333,,241,300,0.4699993133544922
seed,42,baseline_ols_f,power,300,0.5,0.5,0.5,1.0,,300,300,0.4749457836151123
seed,42,baseline_ols_f,power,300,0.8,0.8,0.8,1.0,,300,300,0.48171401023864746
seed,42,baseline_ols_f,power,300,1.0,1.0,0.9,1.0,,300,300,0.4733738899230957
seed,42,sparse_lasso,power,300,0.05,0.05,0.05000000000000001,0.05,,15,300,577.6451416015625
seed,42,sparse_lasso,power,300,0.1,0.1,0.1,0.08333333333333333,,25,300,577.27485871315
seed,42,sparse_lasso,power,300,0.15,0.15,0.15000000000000005,0.07,,21,300,571.4603147506714
seed,42,sparse_lasso,power,300,0.2,0.2,0.2,0.14,,42,300,570.3542904853821
seed,42,sparse_lasso,power,300,0.3,0.3,0.30000000000000004,0.36666666666666664,,110,300,571.506749868393
seed,42,sparse_lasso,power,300,0.5,0.5,0.5000000000000001,0.9433333333333334,,283,300,577.8003780841827
seed,42,sparse_lasso,power,300,0.8,0.8,0.7200000000000002,1.0,,300,300,582.1948606967926
seed,42,sparse_lasso,power,300,1.0,1.0,0.7290000000000002,1.0,,300,300,583.3020133972168
seed,42,lowrank_svd,power,300,0.05,0.05,0.05000000000000002,0.07333333333333333,,22,300,217.8677237033844
seed,42,lowrank_svd,power,300,0.1,0.1,0.1,0.07,,21,300,216.16198205947876
seed,42,lowrank_svd,power,300,0.15,0.15,0.15,0.07666666666666666,,23,300,217.23368215560913
seed,42,lowrank_svd,power,300,0.2,0.2,0.2,0.08,,24,300,216.02851963043213
seed,42,lowrank_svd,power,300,0.3,0.3,0.3,0.15,,45,300,213.6705391407013
seed,42,lowrank_svd,power,300,0.5,0.5,0.5,0.69,,207,300,217.36206150054932
seed,42,lowrank_svd,power,300,0.8,0.8,0.8,1.0,,300,300,221.8388216495514
seed,42,lowrank_svd,power,300,1.0,1.0,0.9,1.0,,300,300,218.02327847480774
