seed,scenario,model,M,change_scale,delta_mean_abs,delta_max_abs,delta_fro,power,M_effective
42,baseline,baseline_chow_asym_f,1,0.04,0.03999999999999999,0.04000000000000001,0.13856406460551018,0.0,1
42,baseline,baseline_chow_asym_chi2,1,0.04,0.03999999999999999,0.04000000000000001,0.13856406460551018,0.0,1
42,baseline,baseline_chow_bootstrap_f,1,0.04,0.03999999999999999,0.04000000000000001,0.13856406460551018,1.0,1
42,baseline,baseline_chow_bootstrap_lr,1,0.04,0.03999999999999999,0.04000000000000001,0.13856406460551018,1.0,1
42,baseline,baseline_chow_asym_f,1,0.08,0.08,0.08000000000000002,0.2771281292110204,0.0,1
42,baseline,baseline_chow_asym_chi2,1,0.08,0.08,0.08000000000000002,0.2771281292110204,1.0,1
42,baseline,baseline_chow_bootstrap_f,1,0.08,0.08,0.08000000000000002,0.2771281292110204,1.0,1
42,baseline,baseline_chow_bootstrap_lr,1,0.08,0.08,0.08000000000000002,0.2771281292110204,1.0,1
42,baseline,baseline_chow_asym_f,1,0.12,0.10208089388232526,0.11738948771869903,0.3570479573217798,1.0,1
42,baseline,baseline_chow_asym_chi2,1,0.12,0.10208089388232526,0.11738948771869903,0.3570479573217798,1.0,1
42,baseline,baseline_chow_bootstrap_f,1,0.12,0.10208089388232526,0.11738948771869903,0.3570479573217798,1.0,1
42,baseline,baseline_chow_bootstrap_lr,1,0.12,0.10208089388232526,0.11738948771869903,0.3570479573217798,1.0,1
42,baseline,baseline_chow_asym_f,1,0.16,0.10059922242110148,0.14208551171767442,0.3732841023060425,1.0,1
42,baseline,baseline_chow_asym_chi2,1,0.16,0.10059922242110148,0.14208551171767442,0.3732841023060425,1.0,1
42,baseline,baseline_chow_bootstrap_f,1,0.16,0.10059922242110148,0.14208551171767442,0.3732841023060425,1.0,1
42,baseline,baseline_chow_bootstrap_lr,1,0.16,0.10059922242110148,0.14208551171767442,0.3732841023060425,1.0,1
42,baseline,baseline_chow_asym_f,1,0.2,0.09683931509004627,0.15654889115684445,0.3828626444858002,1.0,1
42,baseline,baseline_chow_asym_chi2,1,0.2,0.09683931509004627,0.15654889115684445,0.3828626444858002,1.0,1
42,baseline,baseline_chow_bootstrap_f,1,0.2,0.09683931509004627,0.15654889115684445,0.3828626444858002,1.0,1
42,baseline,baseline_chow_bootstrap_lr,1,0.2,0.09683931509004627,0.15654889115684445,0.3828626444858002,1.0,1
42,sparse,sparse_lasso,1,0.04,0.04,0.04000000000000001,0.20784609690826522,0.0,1
42,sparse,sparse_lasso,1,0.08,0.08,0.08,0.41569219381653044,1.0,1
42,sparse,sparse_lasso,1,0.12,0.0825258200615946,0.09578151730205005,0.43510414114391127,1.0,1
42,sparse,sparse_lasso,1,0.16,0.0869921039609727,0.10702288099764765,0.4655417906094029,1.0,1
42,sparse,sparse_lasso,1,0.2,0.08786587986544668,0.11164066159108171,0.4694568578333814,1.0,1
42,lowrank,lowrank_svd,1,0.04,0.04,0.04000000000000001,0.27712812921102037,0.0,1
42,lowrank,lowrank_svd,1,0.08,0.08000000000000002,0.08000000000000002,0.5542562584220407,0.0,1
42,lowrank,lowrank_svd,1,0.12,0.07806594023176464,0.10387964059768226,0.5466576363418205,0.0,1
42,lowrank,lowrank_svd,1,0.16,0.0755170781614607,0.11467697203575658,0.536892998504498,0.0,1
42,lowrank,lowrank_svd,1,0.2,0.07629766404855369,0.12227889099608012,0.5472118120786589,0.0,1
