scenario,model,change_scale,M,n_seed,power_mean,power_ci95_low,power_ci95_high,power_sd,power_n,delta_fro_mean,delta_max_abs_mean,M_effective_avg
baseline,baseline_chow_asym_chi2,0.04,10,3,0.0,0.0,0.0,0.0,3,0.13856406460551018,0.04000000000000001,10.0
baseline,baseline_chow_asym_chi2,0.08,10,3,0.6666666666666666,0.05,1.0,0.5773502691896258,3,0.2771281292110204,0.08000000000000002,10.0
baseline,baseline_chow_asym_chi2,0.12,10,3,0.6666666666666666,0.05,1.0,0.5773502691896258,3,0.39614411498494695,0.11912982923956635,10.0
baseline,baseline_chow_asym_chi2,0.16,10,3,0.6666666666666666,0.05,1.0,0.5773502691896258,3,0.4767313860735663,0.16039333261486097,10.0
baseline,baseline_chow_asym_chi2,0.2,10,3,1.0,1.0,1.0,0.0,3,0.5322651069053969,0.19905052843420026,10.0
baseline,baseline_chow_asym_f,0.04,10,3,0.0,0.0,0.0,0.0,3,0.13856406460551018,0.04000000000000001,10.0
baseline,baseline_chow_asym_f,0.08,10,3,0.6666666666666666,0.05,1.0,0.5773502691896258,3,0.2771281292110204,0.08000000000000002,10.0
baseline,baseline_chow_asym_f,0.12,10,3,0.6666666666666666,0.05,1.0,0.5773502691896258,3,0.39614411498494695,0.11912982923956635,10.0
baseline,baseline_chow_asym_f,0.16,10,3,0.6666666666666666,0.05,1.0,0.5773502691896258,3,0.4767313860735663,0.16039333261486097,10.0
baseline,baseline_chow_asym_f,0.2,10,3,1.0,1.0,1.0,0.0,3,0.5322651069053969,0.19905052843420026,10.0
baseline,baseline_chow_bootstrap_f,0.04,10,3,0.3,0.0,0.855,0.5196152422706632,3,0.13856406460551018,0.04000000000000001,10.0
baseline,baseline_chow_bootstrap_f,0.08,10,3,0.6666666666666666,0.05,1.0,0.5773502691896258,3,0.2771281292110204,0.08000000000000002,10.0
baseline,baseline_chow_bootstrap_f,0.12,10,3,0.6666666666666666,0.05,1.0,0.5773502691896258,3,0.39614411498494695,0.11912982923956635,10.0
baseline,baseline_chow_bootstrap_f,0.16,10,3,1.0,1.0,1.0,0.0,3,0.4767313860735663,0.16039333261486097,10.0
baseline,baseline_chow_bootstrap_f,0.2,10,3,0.6666666666666666,0.05,1.0,0.5773502691896258,3,0.5322651069053969,0.19905052843420026,10.0
baseline,baseline_chow_bootstrap_lr,0.04,10,3,0.3,0.0,0.855,0.5196152422706632,3,0.13856406460551018,0.04000000000000001,10.0
baseline,baseline_chow_bootstrap_lr,0.08,10,3,0.6666666666666666,0.05,1.0,0.5773502691896258,3,0.2771281292110204,0.08000000000000002,10.0
baseline,baseline_chow_bootstrap_lr,0.12,10,3,0.6666666666666666,0.05,1.0,0.5773502691896258,3,0.39614411498494695,0.11912982923956635,10.0
baseline,baseline_chow_bootstrap_lr,0.16,10,3,0.6666666666666666,0.05,1.0,0.5773502691896258,3,0.4767313860735663,0.16039333261486097,10.0
baseline,baseline_chow_bootstrap_lr,0.2,10,3,0.6666666666666666,0.05,1.0,0.5773502691896258,3,0.5322651069053969,0.19905052843420026,10.0
lowrank,lowrank_svd,0.04,10,3,0.6666666666666666,0.05,1.0,0.5773502691896258,3,0.27712812921102037,0.04000000000000001,10.0
lowrank,lowrank_svd,0.08,10,3,1.0,1.0,1.0,0.0,3,0.5542562584220407,0.08000000000000002,10.0
lowrank,lowrank_svd,0.12,10,3,1.0,1.0,1.0,0.0,3,0.5465425147163998,0.09564522565729755,10.0
lowrank,lowrank_svd,0.16,10,3,0.6666666666666666,0.05,1.0,0.5773502691896258,3,0.5345374813906503,0.10218520175054281,10.0
lowrank,lowrank_svd,0.2,10,3,1.0,1.0,1.0,0.0,3,0.543324915767928,0.1076111565455074,10.0
sparse,sparse_lasso,0.04,10,3,0.6,0.045000000000000005,0.9,0.5196152422706632,3,0.20784609690826525,0.04000000000000001,10.0
sparse,sparse_lasso,0.08,10,3,1.0,1.0,1.0,0.0,3,0.39827750738116635,0.08244950673169549,10.0
sparse,sparse_lasso,0.12,10,3,0.6666666666666666,0.05,1.0,0.5773502691896258,3,0.5402200972644238,0.1201813277557963,10.0
sparse,sparse_lasso,0.16,10,3,0.6666666666666666,0.05,1.0,0.5773502691896258,3,0.5387954559584425,0.15113869240369626,10.0
sparse,sparse_lasso,0.2,10,3,0.6666666666666666,0.05,1.0,0.5773502691896258,3,0.5669847729957929,0.17048545301514853,10.0
