scenario,model,M,n_seed,size_mean,size_ci95_low,size_ci95_high,size_sd,size_n,M_effective_avg
baseline,baseline_chow_asym_chi2,5,3,0.0,0.0,0.0,0.0,3,5.0
baseline,baseline_chow_asym_chi2,10,3,0.0,0.0,0.0,0.0,3,10.0
baseline,baseline_chow_asym_f,5,3,0.0,0.0,0.0,0.0,3,5.0
baseline,baseline_chow_asym_f,10,3,0.0,0.0,0.0,0.0,3,10.0
baseline,baseline_chow_bootstrap_f,5,3,0.26666666666666666,0.0,0.76,0.4618802153517007,3,5.0
baseline,baseline_chow_bootstrap_f,10,3,0.3333333333333333,0.0,0.95,0.5773502691896258,3,10.0
baseline,baseline_chow_bootstrap_lr,5,3,0.26666666666666666,0.0,0.76,0.4618802153517007,3,5.0
baseline,baseline_chow_bootstrap_lr,10,3,0.3333333333333333,0.0,0.95,0.5773502691896258,3,10.0
lowrank,lowrank_svd,5,3,0.5333333333333333,0.04000000000000001,0.8,0.46188021535170065,3,5.0
lowrank,lowrank_svd,10,3,0.6666666666666666,0.05,1.0,0.5773502691896258,3,10.0
sparse,sparse_lasso,5,3,0.3333333333333333,0.010000000000000002,0.77,0.4163331998932266,3,5.0
sparse,sparse_lasso,10,3,0.3333333333333333,0.0,0.95,0.5773502691896258,3,10.0
