seed,scenario,model,M,size,M_effective
7,baseline,baseline_chow_asym_f,10,0.0,10
7,baseline,baseline_chow_asym_chi2,10,0.0,10
7,baseline,baseline_chow_bootstrap_f,10,0.9,10
7,baseline,baseline_chow_bootstrap_lr,10,0.9,10
7,baseline,baseline_chow_asym_f,20,0.0,20
7,baseline,baseline_chow_asym_chi2,20,0.0,20
7,baseline,baseline_chow_bootstrap_f,20,1.0,20
7,baseline,baseline_chow_bootstrap_lr,20,1.0,20
7,baseline,baseline_chow_asym_f,50,0.0,50
7,baseline,baseline_chow_asym_chi2,50,0.0,50
7,baseline,baseline_chow_bootstrap_f,50,1.0,50
7,baseline,baseline_chow_bootstrap_lr,50,1.0,50
7,sparse,sparse_lasso,10,0.9,10
7,sparse,sparse_lasso,20,1.0,20
7,sparse,sparse_lasso,50,1.0,50
7,lowrank,lowrank_svd,10,0.0,10
7,lowrank,lowrank_svd,20,0.0,20
7,lowrank,lowrank_svd,50,0.0,50
42,baseline,baseline_chow_asym_f,10,0.0,10
42,baseline,baseline_chow_asym_chi2,10,0.0,10
42,baseline,baseline_chow_bootstrap_f,10,0.0,10
42,baseline,baseline_chow_bootstrap_lr,10,0.0,10
42,baseline,baseline_chow_asym_f,20,0.0,20
42,baseline,baseline_chow_asym_chi2,20,0.0,20
42,baseline,baseline_chow_bootstrap_f,20,0.0,20
42,baseline,baseline_chow_bootstrap_lr,20,0.0,20
42,baseline,baseline_chow_asym_f,50,0.0,50
42,baseline,baseline_chow_asym_chi2,50,0.0,50
42,baseline,baseline_chow_bootstrap_f,50,0.0,50
42,baseline,baseline_chow_bootstrap_lr,50,0.0,50
42,sparse,sparse_lasso,10,0.0,10
42,sparse,sparse_lasso,20,0.0,20
42,sparse,sparse_lasso,50,0.0,50
42,lowrank,lowrank_svd,10,0.9,10
42,lowrank,lowrank_svd,20,1.0,20
42,lowrank,lowrank_svd,50,1.0,50
2026,baseline,baseline_chow_asym_f,10,0.0,10
2026,baseline,baseline_chow_asym_chi2,10,0.0,10
2026,baseline,baseline_chow_bootstrap_f,10,0.0,10
2026,baseline,baseline_chow_bootstrap_lr,10,0.0,10
2026,baseline,baseline_chow_asym_f,20,0.0,20
2026,baseline,baseline_chow_asym_chi2,20,0.0,20
2026,baseline,baseline_chow_bootstrap_f,20,0.0,20
2026,baseline,baseline_chow_bootstrap_lr,20,0.0,20
2026,baseline,baseline_chow_asym_f,50,0.0,50
2026,baseline,baseline_chow_asym_chi2,50,0.0,50
2026,baseline,baseline_chow_bootstrap_f,50,0.0,50
2026,baseline,baseline_chow_bootstrap_lr,50,0.0,50
2026,sparse,sparse_lasso,10,0.1,10
2026,sparse,sparse_lasso,20,0.0,20
2026,sparse,sparse_lasso,50,0.0,50
2026,lowrank,lowrank_svd,10,0.9,10
2026,lowrank,lowrank_svd,20,1.0,20
2026,lowrank,lowrank_svd,50,1.0,50
