scope,seed,model,metric,M,delta,target_fro,actual_fro,value_mean,value_std,size_distortion_mean,rejections_mean,effective_iterations_mean,runtime_sec_mean,mc_se,ci95_low,ci95_high,seed_count,perturbation_type,target_fro_mean,actual_fro_mean
aggregate,,baseline_ols,type1_error,50,,,,0.04,0.0,-0.010000000000000002,2.0,50.0,2.9576802253723145,0.027712812921102035,-0.014317113325359988,0.09431711332536,1,,,
aggregate,,baseline_ols,type1_error,300,,,,0.06,0.0,0.009999999999999995,18.0,300.0,12.517293930053711,0.013711309200802086,0.03312583396642791,0.08687416603357209,1,,,
aggregate,,baseline_ols,power,200,0.1,,,0.075,0.0,,15.0,200.0,8.386990308761597,,,,1,uniform,0.1,0.10000000000000006
aggregate,,baseline_ols,power,200,0.3,,,0.215,0.0,,43.0,200.0,8.365625143051147,,,,1,uniform,0.3,0.3
aggregate,,baseline_ols,power,200,0.5,,,0.79,0.0,,158.0,200.0,8.373318910598755,,,,1,uniform,0.5,0.49999999999999994
aggregate,,baseline_ols_f,type1_error,50,,,,0.02,0.0,-0.030000000000000002,1.0,50.0,0.05835914611816406,0.01979898987322333,-0.018806020151517725,0.05880602015151773,1,,,
aggregate,,baseline_ols_f,type1_error,300,,,,0.06666666666666667,0.0,0.016666666666666663,20.0,300.0,0.1734941005706787,0.01440164599646191,0.03843944051360132,0.09489389281973201,1,,,
aggregate,,baseline_ols_f,power,200,0.1,,,0.05,0.0,,10.0,200.0,0.1085667610168457,,,,1,uniform,0.1,0.10000000000000006
aggregate,,baseline_ols_f,power,200,0.3,,,0.3,0.0,,60.0,200.0,0.10810089111328125,,,,1,uniform,0.3,0.3
aggregate,,baseline_ols_f,power,200,0.5,,,0.895,0.0,,179.0,200.0,0.1087949275970459,,,,1,uniform,0.5,0.49999999999999994
aggregate,,sparse_lasso,type1_error,50,,,,0.04,0.0,-0.010000000000000002,2.0,50.0,25.466278791427612,0.027712812921102035,-0.014317113325359988,0.09431711332536,1,,,
aggregate,,sparse_lasso,type1_error,300,,,,0.06666666666666667,0.0,0.016666666666666663,20.0,300.0,146.37480902671814,0.01440164599646191,0.03843944051360132,0.09489389281973201,1,,,
aggregate,,sparse_lasso,power,200,0.1,,,0.06,0.0,,12.0,200.0,97.06720900535583,,,,1,sparse,0.1,0.09999999999999996
aggregate,,sparse_lasso,power,200,0.3,,,0.105,0.0,,21.0,200.0,99.9383156299591,,,,1,sparse,0.3,0.30000000000000004
aggregate,,sparse_lasso,power,200,0.5,,,0.265,0.0,,53.0,200.0,78.92185306549072,,,,1,sparse,0.5,0.5
aggregate,,sparse_ols_f,type1_error,50,,,,0.08,0.0,0.03,4.0,50.0,0.05110502243041992,0.03836665218650176,0.0048013617144565535,0.15519863828554345,1,,,
aggregate,,sparse_ols_f,type1_error,300,,,,0.056666666666666664,0.0,0.006666666666666661,17.0,300.0,0.15406107902526855,0.013348602368232609,0.030503406024930752,0.08282992730840258,1,,,
aggregate,,sparse_ols_f,power,200,0.1,,,0.05,0.0,,10.0,200.0,0.10240507125854492,,,,1,sparse,0.1,0.09999999999999996
aggregate,,sparse_ols_f,power,200,0.3,,,0.105,0.0,,21.0,200.0,0.10405397415161133,,,,1,sparse,0.3,0.30000000000000004
aggregate,,sparse_ols_f,power,200,0.5,,,0.285,0.0,,57.0,200.0,0.10423898696899414,,,,1,sparse,0.5,0.5
aggregate,,lowrank_svd,type1_error,50,,,,0.1,0.0,0.05,5.0,50.0,2.3719217777252197,0.042426406871192854,0.016844242532462014,0.18315575746753798,1,,,
aggregate,,lowrank_svd,type1_error,300,,,,0.09333333333333334,0.0,0.043333333333333335,28.0,300.0,14.181656122207642,0.016795061002392163,0.0604150137686447,0.12625165289802198,1,,,
aggregate,,lowrank_svd,power,200,0.1,,,0.12,0.0,,24.0,200.0,9.407289981842041,,,,1,lowrank,0.1,0.09999999999999999
aggregate,,lowrank_svd,power,200,0.3,,,0.225,0.0,,45.0,200.0,9.363769769668579,,,,1,lowrank,0.3,0.3
aggregate,,lowrank_svd,power,200,0.5,,,0.46,0.0,,92.0,200.0,9.398986101150513,,,,1,lowrank,0.5,0.5
aggregate,,lowrank_ols_f,type1_error,50,,,,0.06,0.0,0.009999999999999995,3.0,50.0,0.05158877372741699,0.03358571124749333,-0.005827994045086923,0.12582799404508693,1,,,
aggregate,,lowrank_ols_f,type1_error,300,,,,0.05,0.0,0.0,15.0,300.0,0.15256023406982422,0.012583057392117916,0.025337207511448887,0.07466279248855112,1,,,
aggregate,,lowrank_ols_f,power,200,0.1,,,0.06,0.0,,12.0,200.0,0.10441398620605469,,,,1,lowrank,0.1,0.09999999999999999
aggregate,,lowrank_ols_f,power,200,0.3,,,0.125,0.0,,25.0,200.0,0.10193204879760742,,,,1,lowrank,0.3,0.3
aggregate,,lowrank_ols_f,power,200,0.5,,,0.26,0.0,,52.0,200.0,0.10354828834533691,,,,1,lowrank,0.5,0.5
