scope,seed,model,metric,M,delta,target_fro,actual_fro,value,size_distortion,rejections,effective_iterations,runtime_sec,perturbation_type
seed,42,baseline_ols,type1_error,50,,,,0.04,-0.010000000000000002,2,50,2.9576802253723145,
seed,42,baseline_ols,type1_error,300,,,,0.06,0.009999999999999995,18,300,12.517293930053711,
seed,42,baseline_ols,power,200,0.1,0.1,0.10000000000000006,0.075,,15,200,8.386990308761597,uniform
seed,42,baseline_ols,power,200,0.3,0.3,0.3,0.215,,43,200,8.365625143051147,uniform
seed,42,baseline_ols,power,200,0.5,0.5,0.49999999999999994,0.79,,158,200,8.373318910598755,uniform
seed,42,baseline_ols_f,type1_error,50,,,,0.02,-0.030000000000000002,1,50,0.05835914611816406,
seed,42,baseline_ols_f,type1_error,300,,,,0.06666666666666667,0.016666666666666663,20,300,0.1734941005706787,
seed,42,baseline_ols_f,power,200,0.1,0.1,0.10000000000000006,0.05,,10,200,0.1085667610168457,uniform
seed,42,baseline_ols_f,power,200,0.3,0.3,0.3,0.3,,60,200,0.10810089111328125,uniform
seed,42,baseline_ols_f,power,200,0.5,0.5,0.49999999999999994,0.895,,179,200,0.1087949275970459,uniform
seed,42,sparse_lasso,type1_error,50,,,,0.04,-0.010000000000000002,2,50,25.466278791427612,
seed,42,sparse_lasso,type1_error,300,,,,0.06666666666666667,0.016666666666666663,20,300,146.37480902671814,
seed,42,sparse_lasso,power,200,0.1,0.1,0.09999999999999996,0.06,,12,200,97.06720900535583,sparse
seed,42,sparse_lasso,power,200,0.3,0.3,0.30000000000000004,0.105,,21,200,99.9383156299591,sparse
seed,42,sparse_lasso,power,200,0.5,0.5,0.5,0.265,,53,200,78.92185306549072,sparse
seed,42,sparse_ols_f,type1_error,50,,,,0.08,0.03,4,50,0.05110502243041992,
seed,42,sparse_ols_f,type1_error,300,,,,0.056666666666666664,0.006666666666666661,17,300,0.15406107902526855,
seed,42,sparse_ols_f,power,200,0.1,0.1,0.09999999999999996,0.05,,10,200,0.10240507125854492,sparse
seed,42,sparse_ols_f,power,200,0.3,0.3,0.30000000000000004,0.105,,21,200,0.10405397415161133,sparse
seed,42,sparse_ols_f,power,200,0.5,0.5,0.5,0.285,,57,200,0.10423898696899414,sparse
seed,42,lowrank_svd,type1_error,50,,,,0.1,0.05,5,50,2.3719217777252197,
seed,42,lowrank_svd,type1_error,300,,,,0.09333333333333334,0.043333333333333335,28,300,14.181656122207642,
seed,42,lowrank_svd,power,200,0.1,0.1,0.09999999999999999,0.12,,24,200,9.407289981842041,lowrank
seed,42,lowrank_svd,power,200,0.3,0.3,0.3,0.225,,45,200,9.363769769668579,lowrank
seed,42,lowrank_svd,power,200,0.5,0.5,0.5,0.46,,92,200,9.398986101150513,lowrank
seed,42,lowrank_ols_f,type1_error,50,,,,0.06,0.009999999999999995,3,50,0.05158877372741699,
seed,42,lowrank_ols_f,type1_error,300,,,,0.05,0.0,15,300,0.15256023406982422,
seed,42,lowrank_ols_f,power,200,0.1,0.1,0.09999999999999999,0.06,,12,200,0.10441398620605469,lowrank
seed,42,lowrank_ols_f,power,200,0.3,0.3,0.3,0.125,,25,200,0.10193204879760742,lowrank
seed,42,lowrank_ols_f,power,200,0.5,0.5,0.5,0.26,,52,200,0.10354828834533691,lowrank
