scope,seed,model,metric,M,delta,target_fro,actual_fro,value_mean,value_std,size_distortion_mean,rejections_mean,effective_iterations_mean,runtime_sec_mean,mc_se,ci95_low,ci95_high,seed_count,perturbation_type,target_fro_mean,actual_fro_mean
aggregate,,baseline_ols_f,type1_error,50,,,,0.06,0.0,0.009999999999999995,3.0,50.0,2.4660580158233643,0.023748684174075833,0.013452579018811368,0.10654742098118863,2,,,
aggregate,,baseline_ols_f,type1_error,100,,,,0.05,0.009999999999999998,-3.469446951953614e-18,5.0,100.0,2.4822155237197876,0.015411035007422441,0.01979437138545202,0.08020562861454798,2,,,
aggregate,,baseline_ols_f,type1_error,300,,,,0.03666666666666667,0.006666666666666668,-0.013333333333333336,11.0,300.0,2.500848174095154,0.007672702937711741,0.021628168908751653,0.05170516442458168,2,,,
aggregate,,baseline_ols_f,type1_error,500,,,,0.055,0.006999999999999999,0.0049999999999999975,27.5,500.0,2.426103949546814,0.00720936890441875,0.04086963694733925,0.06913036305266075,2,,,
aggregate,,baseline_ols_f,type1_error,1000,,,,0.0505,0.000499999999999997,0.000499999999999997,50.5,1000.0,2.6311044692993164,0.00489641450451246,0.04090302757115558,0.060096972428844424,2,,,
aggregate,,baseline_ols_f,type1_error,2000,,,,0.042749999999999996,0.0022499999999999985,-0.007250000000000003,85.5,2000.0,3.0722744464874268,0.0031985323782947705,0.03648087653854225,0.049019123461457745,2,,,
aggregate,,baseline_ols_f,power,500,0.05,,,0.062,0.0020000000000000018,,31.0,500.0,2.679445505142212,,,,2,uniform,0.05,0.05000000000000004
aggregate,,baseline_ols_f,power,500,0.1,,,0.07,0.014000000000000002,,35.0,500.0,2.8144270181655884,,,,2,uniform,0.1,0.10000000000000006
aggregate,,baseline_ols_f,power,500,0.15,,,0.08499999999999999,0.006999999999999999,,42.5,500.0,2.571990489959717,,,,2,uniform,0.15,0.15000000000000005
aggregate,,baseline_ols_f,power,500,0.2,,,0.14400000000000002,0.022000000000000006,,72.0,500.0,2.6583343744277954,,,,2,uniform,0.2,0.2000000000000001
aggregate,,baseline_ols_f,power,500,0.3,,,0.347,0.05700000000000002,,173.5,500.0,2.512773036956787,,,,2,uniform,0.3,0.3
aggregate,,baseline_ols_f,power,500,0.5,,,0.925,0.03899999999999998,,462.5,500.0,2.4647430181503296,,,,2,uniform,0.5,0.49999999999999994
aggregate,,baseline_ols,type1_error,50,,,,0.03,0.01,-0.020000000000000004,1.5,50.0,8.315327882766724,0.01705872210923198,-0.0034350953340946816,0.06343509533409468,2,,,
aggregate,,baseline_ols,type1_error,100,,,,0.04,0.010000000000000002,-0.010000000000000002,4.0,100.0,14.798864006996155,0.013856406460551017,0.012841443337320006,0.06715855666268,2,,,
aggregate,,baseline_ols,type1_error,300,,,,0.045,0.008333333333333335,-0.005000000000000001,13.5,300.0,40.93456149101257,0.008463155439905378,0.028412215337785457,0.06158778466221454,2,,,
aggregate,,baseline_ols,type1_error,500,,,,0.031,0.0010000000000000009,-0.019000000000000003,15.5,500.0,66.2083226442337,0.0054807846153630225,0.020257662153888474,0.041742337846111525,2,,,
aggregate,,baseline_ols,type1_error,1000,,,,0.0445,0.0015000000000000013,-0.005500000000000005,44.5,1000.0,86.45391845703125,0.004610843198374892,0.03546274733118521,0.05353725266881479,2,,,
aggregate,,baseline_ols,type1_error,2000,,,,0.0435,0.005500000000000001,-0.006500000000000002,87.0,2000.0,159.42518055438995,0.003225203481952728,0.03717860117537265,0.04982139882462734,2,,,
aggregate,,baseline_ols,power,500,0.05,,,0.047,0.009000000000000001,,23.5,500.0,45.12929689884186,,,,2,uniform,0.05,0.05000000000000004
aggregate,,baseline_ols,power,500,0.1,,,0.066,0.0,,33.0,500.0,45.023266077041626,,,,2,uniform,0.1,0.10000000000000006
aggregate,,baseline_ols,power,500,0.15,,,0.089,0.006999999999999999,,44.5,500.0,45.29252743721008,,,,2,uniform,0.15,0.15000000000000005
aggregate,,baseline_ols,power,500,0.2,,,0.10500000000000001,0.011000000000000003,,52.5,500.0,45.16755402088165,,,,2,uniform,0.2,0.2000000000000001
aggregate,,baseline_ols,power,500,0.3,,,0.237,0.046999999999999986,,118.5,500.0,45.32178795337677,,,,2,uniform,0.3,0.3
aggregate,,baseline_ols,power,500,0.5,,,0.8180000000000001,0.08600000000000002,,409.0,500.0,45.11732351779938,,,,2,uniform,0.5,0.49999999999999994
aggregate,,sparse_lasso,type1_error,50,,,,0.07,0.010000000000000002,0.019999999999999997,3.5,50.0,65.9200210571289,0.02551470164434615,0.019991184777081554,0.12000881522291845,2,,,
aggregate,,sparse_lasso,type1_error,100,,,,0.045,0.015,-0.0050000000000000044,4.5,100.0,130.39239251613617,0.014658615214269049,0.016269114180032664,0.07373088581996734,2,,,
aggregate,,sparse_lasso,type1_error,300,,,,0.04666666666666666,0.013333333333333332,-0.0033333333333333375,14.0,300.0,418.62688660621643,0.008610931897776694,0.029789240147024342,0.06354409318630898,2,,,
aggregate,,sparse_lasso,type1_error,500,,,,0.046,0.016,-0.0040000000000000036,23.0,500.0,718.2040125131607,0.006624499981130651,0.03301598003698392,0.058984019963016075,2,,,
aggregate,,sparse_lasso,type1_error,1000,,,,0.039,0.0030000000000000027,-0.011000000000000003,39.0,1000.0,1280.7617455720901,0.004328914413568372,0.03051532774940599,0.04748467225059401,2,,,
aggregate,,sparse_lasso,type1_error,2000,,,,0.053000000000000005,0.004,0.002999999999999999,106.0,2000.0,2702.381858944893,0.00354228033899069,0.04605713053557825,0.05994286946442176,2,,,
aggregate,,sparse_lasso,power,500,0.05,,,0.045,0.0010000000000000009,,22.5,500.0,709.8616735935211,,,,2,sparse,0.05,0.05
aggregate,,sparse_lasso,power,500,0.1,,,0.054000000000000006,0.004,,27.0,500.0,719.3302979469299,,,,2,sparse,0.1,0.09999999999999998
aggregate,,sparse_lasso,power,500,0.15,,,0.064,0.0020000000000000018,,32.0,500.0,709.688191652298,,,,2,sparse,0.15,0.15000000000000002
aggregate,,sparse_lasso,power,500,0.2,,,0.07300000000000001,0.0029999999999999957,,36.5,500.0,708.8950643539429,,,,2,sparse,0.2,0.2
aggregate,,sparse_lasso,power,500,0.3,,,0.112,0.016,,56.0,500.0,738.7756298780441,,,,2,sparse,0.3,0.30000000000000004
aggregate,,sparse_lasso,power,500,0.5,,,0.228,0.05000000000000002,,114.0,500.0,709.3792809247971,,,,2,sparse,0.5,0.5
aggregate,,lowrank_svd,type1_error,50,,,,0.05,0.009999999999999998,-3.469446951953614e-18,2.5,50.0,7.668295502662659,0.021794494717703367,0.007282790353301406,0.0927172096466986,2,,,
aggregate,,lowrank_svd,type1_error,100,,,,0.07,0.030000000000000002,0.02,7.0,100.0,13.427230954170227,0.01804161855266872,0.03463842763676932,0.1053615723632307,2,,,
aggregate,,lowrank_svd,type1_error,300,,,,0.08,0.02666666666666667,0.030000000000000002,24.0,300.0,39.65190100669861,0.011075498483890767,0.0582920229715741,0.1017079770284259,2,,,
aggregate,,lowrank_svd,type1_error,500,,,,0.068,0.022,0.017999999999999995,34.0,500.0,66.54573464393616,0.007960904471226871,0.052396627236395335,0.08360337276360467,2,,,
aggregate,,lowrank_svd,type1_error,1000,,,,0.0795,0.0275,0.029499999999999995,79.5,1000.0,119.165456533432,0.006048956521582875,0.06764404521769757,0.09135595478230243,2,,,
aggregate,,lowrank_svd,type1_error,2000,,,,0.08700000000000001,0.030000000000000002,0.037000000000000005,174.0,2000.0,236.8362330198288,0.004456203541132295,0.07826584105938071,0.0957341589406193,2,,,
