scope,seed,model,metric,M,delta,target_fro,actual_fro,value,size_distortion,rejections,effective_iterations,runtime_sec,perturbation_type
seed,42,baseline_ols_f,type1_error,50,,,,0.06,0.009999999999999995,3,50,3.2222981452941895,
seed,42,baseline_ols_f,type1_error,100,,,,0.06,0.009999999999999995,6,100,3.350215196609497,
seed,42,baseline_ols_f,type1_error,300,,,,0.03,-0.020000000000000004,9,300,3.3707051277160645,
seed,42,baseline_ols_f,type1_error,500,,,,0.062,0.011999999999999997,31,500,3.2030978202819824,
seed,42,baseline_ols_f,type1_error,1000,,,,0.05,0.0,50,1000,3.4930901527404785,
seed,42,baseline_ols_f,type1_error,2000,,,,0.0405,-0.009500000000000001,81,2000,4.161534070968628,
seed,42,baseline_ols_f,power,500,0.05,0.05,0.05000000000000004,0.06,,30,500,3.5831139087677,uniform
seed,42,baseline_ols_f,power,500,0.1,0.1,0.10000000000000006,0.056,,28,500,3.9525020122528076,uniform
seed,42,baseline_ols_f,power,500,0.15,0.15,0.15000000000000002,0.092,,46,500,3.496170997619629,uniform
seed,42,baseline_ols_f,power,500,0.2,0.2,0.2000000000000001,0.122,,61,500,3.5226948261260986,uniform
seed,42,baseline_ols_f,power,500,0.3,0.3,0.3,0.29,,145,500,3.3924500942230225,uniform
seed,42,baseline_ols_f,power,500,0.5,0.5,0.49999999999999994,0.886,,443,500,3.2606871128082275,uniform
seed,42,baseline_ols,type1_error,50,,,,0.02,-0.030000000000000002,1,50,11.117607831954956,
seed,42,baseline_ols,type1_error,100,,,,0.03,-0.020000000000000004,3,100,20.04117512702942,
seed,42,baseline_ols,type1_error,300,,,,0.05333333333333334,0.003333333333333334,16,300,54.62147903442383,
seed,42,baseline_ols,type1_error,500,,,,0.032,-0.018000000000000002,16,500,87.28991913795471,
seed,42,baseline_ols,type1_error,1000,,,,0.043,-0.007000000000000006,43,1000,92.85839700698853,
seed,42,baseline_ols,type1_error,2000,,,,0.049,-0.0010000000000000009,98,2000,159.80332374572754,
seed,42,baseline_ols,power,500,0.05,0.05,0.05000000000000004,0.056,,28,500,45.11016488075256,uniform
seed,42,baseline_ols,power,500,0.1,0.1,0.10000000000000006,0.066,,33,500,45.014002084732056,uniform
seed,42,baseline_ols,power,500,0.15,0.15,0.15000000000000002,0.096,,48,500,45.296971797943115,uniform
seed,42,baseline_ols,power,500,0.2,0.2,0.2000000000000001,0.094,,47,500,45.166927099227905,uniform
seed,42,baseline_ols,power,500,0.3,0.3,0.3,0.19,,95,500,45.21291399002075,uniform
seed,42,baseline_ols,power,500,0.5,0.5,0.49999999999999994,0.732,,366,500,45.155224084854126,uniform
seed,42,sparse_lasso,type1_error,50,,,,0.08,0.03,4,50,66.26267600059509,
seed,42,sparse_lasso,type1_error,100,,,,0.03,-0.020000000000000004,3,100,131.17069292068481,
seed,42,sparse_lasso,type1_error,300,,,,0.03333333333333333,-0.01666666666666667,10,300,422.05870819091797,
seed,42,sparse_lasso,type1_error,500,,,,0.03,-0.020000000000000004,15,500,711.8198509216309,
seed,42,sparse_lasso,type1_error,1000,,,,0.042,-0.008,42,1000,1288.0324201583862,
seed,42,sparse_lasso,type1_error,2000,,,,0.057,0.006999999999999999,114,2000,2702.7910578250885,
seed,42,sparse_lasso,power,500,0.05,0.05,0.050000000000000024,0.044,,22,500,714.8258531093597,sparse
seed,42,sparse_lasso,power,500,0.1,0.1,0.09999999999999996,0.058,,29,500,715.6787819862366,sparse
seed,42,sparse_lasso,power,500,0.15,0.15,0.15000000000000002,0.066,,33,500,713.6518340110779,sparse
seed,42,sparse_lasso,power,500,0.2,0.2,0.19999999999999998,0.076,,38,500,711.8486728668213,sparse
seed,42,sparse_lasso,power,500,0.3,0.3,0.30000000000000004,0.128,,64,500,735.2474308013916,sparse
seed,42,sparse_lasso,power,500,0.5,0.5,0.5,0.278,,139,500,713.246857881546,sparse
seed,42,lowrank_svd,type1_error,50,,,,0.06,0.009999999999999995,3,50,7.721197128295898,
seed,42,lowrank_svd,type1_error,100,,,,0.1,0.05,10,100,13.47476315498352,
seed,42,lowrank_svd,type1_error,300,,,,0.10666666666666667,0.05666666666666667,32,300,39.716331005096436,
seed,42,lowrank_svd,type1_error,500,,,,0.09,0.039999999999999994,45,500,66.67294430732727,
seed,42,lowrank_svd,type1_error,1000,,,,0.107,0.056999999999999995,107,1000,118.80624890327454,
seed,42,lowrank_svd,type1_error,2000,,,,0.117,0.067,234,2000,237.89983797073364,
seed,42,lowrank_svd,power,500,0.05,0.05,0.05,0.11,,55,500,66.33423209190369,lowrank
seed,42,lowrank_svd,power,500,0.1,0.1,0.09999999999999999,0.11,,55,500,67.06509804725647,lowrank
