scope,seed,model,metric,M,delta,target_fro,actual_fro,value,size_distortion,rejections,effective_iterations,runtime_sec,perturbation_type
seed,42,lowrank_rrr,type1_error,50,,,,0.02,-0.030000000000000002,1,50,9.1315279006958,
seed,42,lowrank_rrr,type1_error,100,,,,0.03,-0.020000000000000004,3,100,16.181673049926758,
seed,42,lowrank_rrr,type1_error,300,,,,0.03,-0.020000000000000004,9,300,50.208826303482056,
seed,42,lowrank_rrr,type1_error,500,,,,0.04,-0.010000000000000002,20,500,83.67289209365845,
seed,42,lowrank_rrr,type1_error,1000,,,,0.029,-0.021,29,1000,154.4393072128296,
seed,42,lowrank_rrr,type1_error,2000,,,,0.039,-0.011000000000000003,78,2000,296.9939811229706,
seed,42,lowrank_rrr,power,500,0.05,0.05,0.05,0.044,,22,500,82.0544102191925,lowrank
seed,42,lowrank_rrr,power,500,0.1,0.1,0.1,0.058,,29,500,81.44103384017944,lowrank
seed,42,lowrank_rrr,power,500,0.15,0.15,0.15,0.032,,16,500,83.61108803749084,lowrank
seed,42,lowrank_rrr,power,500,0.2,0.2,0.2,0.06,,30,500,81.36162304878235,lowrank
seed,42,lowrank_rrr,power,500,0.3,0.3,0.3,0.092,,46,500,81.06099891662598,lowrank
seed,42,lowrank_rrr,power,500,0.5,0.5,0.5,0.344,,172,500,81.24281597137451,lowrank
seed,2026,lowrank_rrr,type1_error,50,,,,0.04,-0.010000000000000002,2,50,9.039684772491455,
seed,2026,lowrank_rrr,type1_error,100,,,,0.05,0.0,5,100,16.77310276031494,
seed,2026,lowrank_rrr,type1_error,300,,,,0.03666666666666667,-0.013333333333333336,11,300,49.267361879348755,
seed,2026,lowrank_rrr,type1_error,500,,,,0.044,-0.006000000000000005,22,500,83.29983592033386,
seed,2026,lowrank_rrr,type1_error,1000,,,,0.04,-0.010000000000000002,40,1000,152.6649260520935,
seed,2026,lowrank_rrr,type1_error,2000,,,,0.0325,-0.0175,65,2000,339.9992718696594,
seed,2026,lowrank_rrr,power,500,0.05,0.05,0.050000000000000024,0.036,,18,500,85.65960884094238,lowrank
seed,2026,lowrank_rrr,power,500,0.1,0.1,0.1,0.052,,26,500,90.00896787643433,lowrank
seed,2026,lowrank_rrr,power,500,0.15,0.15,0.15000000000000002,0.046,,23,500,88.04731607437134,lowrank
seed,2026,lowrank_rrr,power,500,0.2,0.2,0.2,0.046,,23,500,89.41297817230225,lowrank
seed,2026,lowrank_rrr,power,500,0.3,0.3,0.3,0.1,,50,500,87.32016897201538,lowrank
seed,2026,lowrank_rrr,power,500,0.5,0.5,0.5,0.308,,154,500,87.72328305244446,lowrank
