scope,seed,model,metric,M,delta,target_fro_mean,actual_fro_mean,value_mean,value_std,size_distortion_mean,rejections_mean,effective_iterations_mean,runtime_sec_mean,seed_count,perturbation_type
aggregate,,baseline_ols_f,power,500,0.2,0.2,0.2000000000000001,0.15100000000000002,0.010999999999999996,,75.5,500.0,1.786450982093811,2,uniform
aggregate,,baseline_ols_f,power,500,0.4,0.4,0.40000000000000013,0.6639999999999999,0.07800000000000001,,332.0,500.0,1.6701174974441528,2,uniform
aggregate,,baseline_ols_f,power,500,0.6,0.6,0.6,0.994,0.006000000000000005,,497.0,500.0,1.665277361869812,2,uniform
aggregate,,baseline_ols,power,500,0.2,0.2,0.2000000000000001,0.117,0.017,,58.5,500.0,46.438905000686646,2,uniform
aggregate,,baseline_ols,power,500,0.4,0.4,0.40000000000000013,0.5,0.09399999999999997,,250.0,500.0,48.804136872291565,2,uniform
aggregate,,baseline_ols,power,500,0.6,0.6,0.6,0.958,0.02799999999999997,,479.0,500.0,47.91338753700256,2,uniform
aggregate,,sparse_lasso,power,500,0.2,0.2,0.2,0.073,0.0010000000000000009,,36.5,500.0,561.393319606781,2,sparse
aggregate,,sparse_lasso,power,500,0.4,0.4,0.4,0.16699999999999998,0.0049999999999999906,,83.5,500.0,566.658122420311,2,sparse
aggregate,,sparse_lasso,power,500,0.6,0.6,0.6,0.404,0.00799999999999998,,202.0,500.0,561.7813429832458,2,sparse
aggregate,,lowrank_rrr,power,500,0.2,0.2,0.2,0.055,0.006999999999999999,,27.5,500.0,81.49695301055908,2,lowrank
aggregate,,lowrank_rrr,power,500,0.4,0.4,0.4,0.196,0.032,,98.0,500.0,79.56011259555817,2,lowrank
aggregate,,lowrank_rrr,power,500,0.6,0.6,0.6000000000000001,0.55,0.008000000000000007,,275.0,500.0,79.12538492679596,2,lowrank
