scope,seed,model,metric,M,delta,target_fro,actual_fro,value,size_distortion,rejections,effective_iterations,runtime_sec,perturbation_type
seed,42,baseline_ols_f,power,500,0.2,0.2,0.2000000000000001,0.14,,70,500,1.917952060699463,uniform
seed,42,baseline_ols_f,power,500,0.4,0.4,0.4000000000000001,0.586,,293,500,1.7001850605010986,uniform
seed,42,baseline_ols_f,power,500,0.6,0.6,0.6,0.988,,494,500,1.6552519798278809,uniform
seed,42,baseline_ols,power,500,0.2,0.2,0.2000000000000001,0.1,,50,500,47.00990104675293,uniform
seed,42,baseline_ols,power,500,0.4,0.4,0.4000000000000001,0.406,,203,500,51.60223197937012,uniform
seed,42,baseline_ols,power,500,0.6,0.6,0.6,0.93,,465,500,49.9648220539093,uniform
seed,42,sparse_lasso,power,500,0.2,0.2,0.19999999999999998,0.074,,37,500,559.8431611061096,sparse
seed,42,sparse_lasso,power,500,0.4,0.4,0.4,0.172,,86,500,575.3117990493774,sparse
seed,42,sparse_lasso,power,500,0.6,0.6,0.6,0.412,,206,500,554.8084568977356,sparse
seed,42,lowrank_rrr,power,500,0.2,0.2,0.2,0.062,,31,500,79.56736516952515,lowrank
seed,42,lowrank_rrr,power,500,0.4,0.4,0.4,0.228,,114,500,79.89005494117737,lowrank
seed,42,lowrank_rrr,power,500,0.6,0.6,0.6,0.558,,279,500,79.24813175201416,lowrank
seed,2026,baseline_ols_f,power,500,0.2,0.2,0.2000000000000001,0.162,,81,500,1.6549499034881592,uniform
seed,2026,baseline_ols_f,power,500,0.4,0.4,0.40000000000000013,0.742,,371,500,1.640049934387207,uniform
seed,2026,baseline_ols_f,power,500,0.6,0.6,0.6,1.0,,500,500,1.6753027439117432,uniform
seed,2026,baseline_ols,power,500,0.2,0.2,0.2000000000000001,0.134,,67,500,45.86790895462036,uniform
seed,2026,baseline_ols,power,500,0.4,0.4,0.40000000000000013,0.594,,297,500,46.00604176521301,uniform
seed,2026,baseline_ols,power,500,0.6,0.6,0.6,0.986,,493,500,45.861953020095825,uniform
seed,2026,sparse_lasso,power,500,0.2,0.2,0.2,0.072,,36,500,562.9434781074524,sparse
seed,2026,sparse_lasso,power,500,0.4,0.4,0.4,0.162,,81,500,558.0044457912445,sparse
seed,2026,sparse_lasso,power,500,0.6,0.6,0.6,0.396,,198,500,568.7542290687561,sparse
seed,2026,lowrank_rrr,power,500,0.2,0.2,0.2,0.048,,24,500,83.42654085159302,lowrank
seed,2026,lowrank_rrr,power,500,0.4,0.4,0.4000000000000001,0.164,,82,500,79.23017024993896,lowrank
seed,2026,lowrank_rrr,power,500,0.6,0.6,0.6000000000000001,0.542,,271,500,79.00263810157776,lowrank
