scope,seed,model,metric,M,delta,target_fro,actual_fro,value_mean,value_std,size_distortion_mean,rejections_mean,effective_iterations_mean,runtime_sec_mean,mc_se,ci95_low,ci95_high,seed_count,perturbation_type,target_fro_mean,actual_fro_mean
aggregate,,sparse_lasso,type1_error,50,,,,0.06,0.02,0.009999999999999998,3.0,50.0,71.6788843870163,0.023748684174075833,0.013452579018811368,0.10654742098118863,2,,,
aggregate,,sparse_lasso,type1_error,100,,,,0.055,0.0049999999999999975,0.0049999999999999975,5.5,100.0,143.80135142803192,0.016120638945153507,0.02340354766749913,0.08659645233250088,2,,,
aggregate,,sparse_lasso,type1_error,300,,,,0.06166666666666667,0.0016666666666666705,0.011666666666666665,18.5,300.0,449.61097288131714,0.009820377529138826,0.04241872670955457,0.08091460662377876,2,,,
aggregate,,sparse_lasso,type1_error,500,,,,0.048,0.005999999999999998,-0.0020000000000000018,24.0,500.0,756.0926938056946,0.006759881655768835,0.034750631954693086,0.061249368045306916,2,,,
aggregate,,sparse_lasso,type1_error,1000,,,,0.042499999999999996,0.009499999999999998,-0.007500000000000003,42.5,1000.0,1355.2496517896652,0.0045107510461119445,0.03365892794962058,0.05134107205037941,2,,,
aggregate,,sparse_lasso,type1_error,2000,,,,0.05075,0.0007499999999999972,0.0007499999999999972,101.5,2000.0,2791.7790083885193,0.0034703903778969883,0.04394803485932191,0.0575519651406781,2,,,
aggregate,,sparse_lasso,power,500,0.1,,,0.041,0.006999999999999999,,20.5,500.0,753.7405121326447,,,,2,sparse,0.1,0.1
aggregate,,sparse_lasso,power,500,0.2,,,0.058,0.010000000000000002,,29.0,500.0,746.2379095554352,,,,2,sparse,0.2,0.2
aggregate,,sparse_lasso,power,500,0.3,,,0.066,0.0020000000000000018,,33.0,500.0,745.7408338785172,,,,2,sparse,0.3,0.30000000000000004
aggregate,,sparse_lasso,power,500,0.4,,,0.09,0.016,,45.0,500.0,741.3507578372955,,,,2,sparse,0.4,0.4
aggregate,,sparse_lasso,power,500,0.5,,,0.11299999999999999,0.009000000000000001,,56.5,500.0,758.8970398902893,,,,2,sparse,0.5,0.5
