scope,seed,model,metric,M,delta,target_fro,actual_fro,value,size_distortion,rejections,effective_iterations,runtime_sec,perturbation_type
seed,42,sparse_lasso,type1_error,50,,,,0.08,0.03,4,50,74.5014898777008,
seed,42,sparse_lasso,type1_error,100,,,,0.05,0.0,5,100,151.53645396232605,
seed,42,sparse_lasso,type1_error,300,,,,0.06,0.009999999999999995,18,300,462.9319407939911,
seed,42,sparse_lasso,type1_error,500,,,,0.054,0.003999999999999997,27,500,740.3632419109344,
seed,42,sparse_lasso,type1_error,1000,,,,0.033,-0.017,33,1000,1370.2954587936401,
seed,42,sparse_lasso,type1_error,2000,,,,0.05,0.0,100,2000,2766.1770980358124,
seed,42,sparse_lasso,power,500,0.1,0.1,0.1,0.048,,24,500,763.3725860118866,sparse
seed,42,sparse_lasso,power,500,0.2,0.2,0.2,0.068,,34,500,740.7893981933594,sparse
seed,42,sparse_lasso,power,500,0.3,0.3,0.30000000000000004,0.068,,34,500,744.5437958240509,sparse
seed,42,sparse_lasso,power,500,0.4,0.4,0.4,0.074,,37,500,741.1352310180664,sparse
seed,42,sparse_lasso,power,500,0.5,0.5,0.5,0.122,,61,500,742.0308828353882,sparse
seed,42,sparse_lasso,power,500,0.6,0.6,0.6000000000000001,0.168,,84,500,770.9451761245728,sparse
seed,42,sparse_lasso,power,500,0.75,0.75,0.75,0.262,,131,500,741.5477659702301,sparse
seed,42,sparse_lasso,power,500,1.0,1.0,1.0,0.506,,253,500,756.2078621387482,sparse
seed,42,lowrank_rrr,type1_error,50,,,,0.08,0.03,4,50,16.541226148605347,
seed,42,lowrank_rrr,type1_error,100,,,,0.08,0.03,8,100,31.073419094085693,
seed,42,lowrank_rrr,type1_error,300,,,,0.09,0.039999999999999994,27,300,98.33949899673462,
seed,42,lowrank_rrr,type1_error,500,,,,0.066,0.016,33,500,166.35429501533508,
seed,42,lowrank_rrr,type1_error,1000,,,,0.06,0.009999999999999995,60,1000,295.4611701965332,
seed,42,lowrank_rrr,type1_error,2000,,,,0.064,0.013999999999999999,128,2000,590.1651298999786,
seed,42,lowrank_rrr,power,500,0.1,0.1,0.1,0.072,,36,500,166.32124280929565,lowrank
seed,42,lowrank_rrr,power,500,0.2,0.2,0.2,0.116,,58,500,166.86549997329712,lowrank
seed,42,lowrank_rrr,power,500,0.3,0.3,0.3,0.12,,60,500,177.87345504760742,lowrank
seed,42,lowrank_rrr,power,500,0.4,0.4,0.4000000000000001,0.226,,113,500,166.2782597541809,lowrank
seed,42,lowrank_rrr,power,500,0.5,0.5,0.5,0.326,,163,500,165.85102105140686,lowrank
seed,42,lowrank_rrr,power,500,0.6,0.6,0.6,0.466,,233,500,166.27153420448303,lowrank
seed,42,lowrank_rrr,power,500,0.75,0.75,0.7500000000000001,0.746,,373,500,166.19716882705688,lowrank
seed,42,lowrank_rrr,power,500,1.0,1.0,1.0,0.96,,480,500,165.95732712745667,lowrank
seed,42,baseline_ols_f,type1_error,50,,,,0.06,0.009999999999999995,3,50,1.70697021484375,
seed,42,baseline_ols_f,type1_error,100,,,,0.01,-0.04,1,100,1.614675760269165,
seed,42,baseline_ols_f,type1_error,300,,,,0.07,0.020000000000000004,21,300,1.6661748886108398,
seed,42,baseline_ols_f,type1_error,500,,,,0.038,-0.012000000000000004,19,500,1.723639726638794,
