scope,seed,model,metric,M,delta,target_fro,actual_fro,value_mean,value_std,size_distortion_mean,rejections_mean,effective_iterations_mean,runtime_sec_mean,mc_se,ci95_low,ci95_high,seed_count,perturbation_type,target_fro_mean,actual_fro_mean
aggregate,,sparse_lasso,type1_error,50,,,,0.08,0.04,0.029999999999999995,4.0,50.0,9.281280517578125,0.027129319932501072,0.0268265329322979,0.1331734670677021,2,,,
aggregate,,sparse_lasso,type1_error,100,,,,0.07,0.019999999999999997,0.019999999999999997,7.0,100.0,16.208906412124634,0.01804161855266872,0.03463842763676932,0.1053615723632307,2,,,
aggregate,,sparse_lasso,type1_error,300,,,,0.04833333333333333,0.008333333333333331,-0.0016666666666666705,14.5,300.0,46.31988084316254,0.008755685983236096,0.031172188806190583,0.06549447786047607,2,,,
aggregate,,sparse_lasso,type1_error,500,,,,0.067,0.011,0.016999999999999998,33.5,500.0,79.10766863822937,0.007906389820898032,0.051503475951039865,0.08249652404896014,2,,,
aggregate,,sparse_lasso,type1_error,1000,,,,0.0465,0.0025000000000000022,-0.003500000000000003,46.5,1000.0,139.2889964580536,0.004708383480558906,0.037271568378104546,0.055728431621895454,2,,,
aggregate,,sparse_lasso,power,300,0.1,,,0.06333333333333334,0.009999999999999998,,19.0,300.0,46.19120991230011,,,,2,sparse_random,0.1,0.1
aggregate,,sparse_lasso,power,300,0.3,,,0.07333333333333333,0.003333333333333327,,22.0,300.0,46.194966197013855,,,,2,sparse_random,0.3,0.29999999999999993
aggregate,,sparse_lasso,power,300,0.5,,,0.14166666666666666,0.0050000000000000044,,42.5,300.0,46.200740814208984,,,,2,sparse_random,0.5,0.49999999999999994
aggregate,,sparse_lasso,power,300,0.75,,,0.36,0.03,,108.0,300.0,46.96880233287811,,,,2,sparse_random,0.75,0.75
aggregate,,sparse_lasso,power,300,1.0,,,0.7233333333333334,0.013333333333333364,,217.0,300.0,46.63022291660309,,,,2,sparse_random,1.0,1.0
aggregate,,lowrank_rrr_fv,type1_error,50,,,,0.04,0.02,-0.010000000000000004,2.0,50.0,4.605937838554382,0.019595917942265423,0.0015920008331597735,0.07840799916684023,2,,,
aggregate,,lowrank_rrr_fv,type1_error,100,,,,0.09,0.010000000000000002,0.04,9.0,100.0,7.261878848075867,0.02023610634484806,0.0503372315640978,0.1296627684359022,2,,,
aggregate,,lowrank_rrr_fv,type1_error,300,,,,0.08333333333333334,0.01666666666666667,0.03333333333333333,25.0,300.0,20.056002140045166,0.011283386673105501,0.06121789545404656,0.10544877121262013,2,,,
aggregate,,lowrank_rrr_fv,type1_error,500,,,,0.058,0.0,0.008,29.0,500.0,32.46147167682648,0.007391616873188166,0.0435124309285512,0.0724875690714488,2,,,
aggregate,,lowrank_rrr_fv,type1_error,1000,,,,0.0545,0.0015000000000000013,0.004499999999999997,54.5,1000.0,58.22191941738129,0.005075911248239078,0.04455121395345141,0.06444878604654859,2,,,
aggregate,,lowrank_rrr_fv,power,300,0.1,,,0.065,0.0050000000000000044,,19.5,300.0,20.516897559165955,,,,2,lowrank_fixedV,0.1,0.09999999999999999
aggregate,,lowrank_rrr_fv,power,300,0.3,,,0.07,0.0,,21.0,300.0,19.768430352211,,,,2,lowrank_fixedV,0.3,0.29999999999999993
aggregate,,lowrank_rrr_fv,power,300,0.5,,,0.07333333333333333,0.003333333333333327,,22.0,300.0,19.660532593727112,,,,2,lowrank_fixedV,0.5,0.49999999999999994
aggregate,,lowrank_rrr_fv,power,300,0.75,,,0.058333333333333334,0.001666666666666667,,17.5,300.0,19.547773599624634,,,,2,lowrank_fixedV,0.75,0.7499999999999999
aggregate,,lowrank_rrr_fv,power,300,1.0,,,0.15333333333333332,0.05333333333333333,,46.0,300.0,19.58283805847168,,,,2,lowrank_fixedV,1.0,0.9999999999999998
