scope,seed,model,metric,M,delta,target_fro,actual_fro,value,size_distortion,rejections,effective_iterations,runtime_sec,perturbation_type
seed,42,sparse_lasso,type1_error,50,,,,0.12,0.06999999999999999,6,50,9.815605878829956,
seed,42,sparse_lasso,type1_error,100,,,,0.09,0.039999999999999994,9,100,16.616910934448242,
seed,42,sparse_lasso,type1_error,300,,,,0.056666666666666664,0.006666666666666661,17,300,46.27360987663269,
seed,42,sparse_lasso,type1_error,500,,,,0.078,0.027999999999999997,39,500,76.21641707420349,
seed,42,sparse_lasso,type1_error,1000,,,,0.044,-0.006000000000000005,44,1000,137.4233169555664,
seed,42,sparse_lasso,power,300,0.1,0.1,0.1,0.05333333333333334,,16,300,45.56353688240051,sparse_random
seed,42,sparse_lasso,power,300,0.3,0.3,0.29999999999999993,0.07666666666666666,,23,300,45.82115817070007,sparse_random
seed,42,sparse_lasso,power,300,0.5,0.5,0.49999999999999994,0.14666666666666667,,44,300,45.58220195770264,sparse_random
seed,42,sparse_lasso,power,300,0.75,0.75,0.7499999999999999,0.39,,117,300,47.10912728309631,sparse_random
seed,42,sparse_lasso,power,300,1.0,1.0,1.0,0.7366666666666667,,221,300,47.423205852508545,sparse_random
seed,42,lowrank_rrr_fv,type1_error,50,,,,0.02,-0.030000000000000002,1,50,4.727919816970825,
seed,42,lowrank_rrr_fv,type1_error,100,,,,0.08,0.03,8,100,7.5074238777160645,
seed,42,lowrank_rrr_fv,type1_error,300,,,,0.1,0.05,30,300,20.374974012374878,
seed,42,lowrank_rrr_fv,type1_error,500,,,,0.058,0.008,29,500,32.59192228317261,
seed,42,lowrank_rrr_fv,type1_error,1000,,,,0.053,0.0029999999999999957,53,1000,57.92674803733826,
seed,42,lowrank_rrr_fv,power,300,0.1,0.1,0.1,0.06,,18,300,20.20395517349243,lowrank_fixedV
seed,42,lowrank_rrr_fv,power,300,0.3,0.3,0.3,0.07,,21,300,19.662980794906616,lowrank_fixedV
seed,42,lowrank_rrr_fv,power,300,0.5,0.5,0.5,0.07666666666666666,,23,300,19.61791729927063,lowrank_fixedV
seed,42,lowrank_rrr_fv,power,300,0.75,0.75,0.7500000000000001,0.06,,18,300,19.434672117233276,lowrank_fixedV
seed,42,lowrank_rrr_fv,power,300,1.0,1.0,0.9999999999999999,0.20666666666666667,,62,300,19.539710998535156,lowrank_fixedV
seed,2026,sparse_lasso,type1_error,50,,,,0.04,-0.010000000000000002,2,50,8.746955156326294,
seed,2026,sparse_lasso,type1_error,100,,,,0.05,0.0,5,100,15.800901889801025,
seed,2026,sparse_lasso,type1_error,300,,,,0.04,-0.010000000000000002,12,300,46.36615180969238,
seed,2026,sparse_lasso,type1_error,500,,,,0.056,0.005999999999999998,28,500,81.99892020225525,
seed,2026,sparse_lasso,type1_error,1000,,,,0.049,-0.0010000000000000009,49,1000,141.15467596054077,
seed,2026,sparse_lasso,power,300,0.1,0.1,0.1,0.07333333333333333,,22,300,46.81888294219971,sparse_random
seed,2026,sparse_lasso,power,300,0.3,0.3,0.3,0.07,,21,300,46.56877422332764,sparse_random
seed,2026,sparse_lasso,power,300,0.5,0.5,0.49999999999999994,0.13666666666666666,,41,300,46.81927967071533,sparse_random
seed,2026,sparse_lasso,power,300,0.75,0.75,0.75,0.33,,99,300,46.82847738265991,sparse_random
seed,2026,sparse_lasso,power,300,1.0,1.0,1.0,0.71,,213,300,45.83723998069763,sparse_random
seed,2026,lowrank_rrr_fv,type1_error,50,,,,0.06,0.009999999999999995,3,50,4.4839558601379395,
seed,2026,lowrank_rrr_fv,type1_error,100,,,,0.1,0.05,10,100,7.016333818435669,
seed,2026,lowrank_rrr_fv,type1_error,300,,,,0.06666666666666667,0.016666666666666663,20,300,19.737030267715454,
seed,2026,lowrank_rrr_fv,type1_error,500,,,,0.058,0.008,29,500,32.33102107048035,
seed,2026,lowrank_rrr_fv,type1_error,1000,,,,0.056,0.005999999999999998,56,1000,58.517090797424316,
seed,2026,lowrank_rrr_fv,power,300,0.1,0.1,0.09999999999999998,0.07,,21,300,20.829839944839478,lowrank_fixedV
seed,2026,lowrank_rrr_fv,power,300,0.3,0.3,0.29999999999999993,0.07,,21,300,19.87387990951538,lowrank_fixedV
seed,2026,lowrank_rrr_fv,power,300,0.5,0.5,0.4999999999999999,0.07,,21,300,19.703147888183594,lowrank_fixedV
seed,2026,lowrank_rrr_fv,power,300,0.75,0.75,0.7499999999999997,0.056666666666666664,,17,300,19.66087508201599,lowrank_fixedV
seed,2026,lowrank_rrr_fv,power,300,1.0,1.0,0.9999999999999998,0.1,,30,300,19.625965118408203,lowrank_fixedV
