scope,seed,model,metric,M,delta,target_fro,actual_fro,value_mean,value_std,size_distortion_mean,rejections_mean,effective_iterations_mean,runtime_sec_mean,mc_se,ci95_low,ci95_high,seed_count,perturbation_type,target_fro_mean,actual_fro_mean
aggregate,,lowrank_rrr_fv,type1_error,50,,,,0.04,0.02,-0.010000000000000004,2.0,50.0,3.071802496910095,0.019595917942265423,0.0015920008331597735,0.07840799916684023,2,,,
aggregate,,lowrank_rrr_fv,type1_error,100,,,,0.03,0.01,-0.020000000000000004,3.0,100.0,4.152927398681641,0.012062338081814818,0.006357817359642956,0.05364218264035704,2,,,
aggregate,,lowrank_rrr_fv,type1_error,300,,,,0.025,0.001666666666666667,-0.025,7.5,300.0,9.831840991973877,0.006373774391990981,0.01250740219169768,0.03749259780830232,2,,,
aggregate,,lowrank_rrr_fv,type1_error,500,,,,0.026000000000000002,0.006,-0.024,13.0,500.0,15.217433452606201,0.0050322956987840055,0.01613670043038335,0.035863299569616654,2,,,
aggregate,,lowrank_rrr_fv,type1_error,1000,,,,0.026500000000000003,0.0025000000000000005,-0.0235,26.5,1000.0,25.874072909355164,0.003591500382848372,0.019460659249617193,0.03353934075038281,2,,,
aggregate,,lowrank_rrr_fv,power,300,0.1,,,0.03666666666666667,0.003333333333333334,,11.0,300.0,9.692952990531921,,,,2,lowrank_fixedV,0.1,0.09999999999999999
aggregate,,lowrank_rrr_fv,power,300,0.3,,,0.08666666666666667,0.020000000000000004,,26.0,300.0,10.005332946777344,,,,2,lowrank_fixedV,0.3,0.29999999999999993
aggregate,,lowrank_rrr_fv,power,300,0.5,,,0.2783333333333333,0.03833333333333333,,83.5,300.0,9.675653576850891,,,,2,lowrank_fixedV,0.5,0.49999999999999994
aggregate,,lowrank_rrr_fv,power,300,0.75,,,0.755,0.0050000000000000044,,226.5,300.0,9.625187039375305,,,,2,lowrank_fixedV,0.75,0.7499999999999999
aggregate,,lowrank_rrr_fv,power,300,1.0,,,0.995,0.0050000000000000044,,298.5,300.0,9.612089037895203,,,,2,lowrank_fixedV,1.0,0.9999999999999998
