scope,seed,model,metric,M,delta,target_fro,actual_fro,value_mean,value_std,size_distortion_mean,rejections_mean,effective_iterations_mean,runtime_sec_mean,mc_se,ci95_low,ci95_high,seed_count,perturbation_type,target_fro_mean,actual_fro_mean
aggregate,,sparse_lasso,type1_error,50,,,,0.03,0.01,-0.020000000000000004,1.5,50.0,27.703129649162292,0.01705872210923198,-0.0034350953340946816,0.06343509533409468,2,,,
aggregate,,sparse_lasso,type1_error,100,,,,0.02,0.0,-0.030000000000000002,2.0,100.0,52.90771150588989,0.009899494936611665,0.0005969899242411376,0.03940301007575886,2,,,
aggregate,,sparse_lasso,type1_error,300,,,,0.06333333333333334,0.006666666666666671,0.013333333333333332,19.0,300.0,159.35177850723267,0.009943358103295405,0.04384435145087434,0.08282231521579234,2,,,
aggregate,,sparse_lasso,type1_error,500,,,,0.054000000000000006,0.012,0.004,27.0,500.0,276.8062934875488,0.007147307185227175,0.03999127791695474,0.06800872208304527,2,,,
aggregate,,sparse_lasso,type1_error,1000,,,,0.0485,0.0034999999999999996,-0.0015000000000000048,48.5,1000.0,521.1432960033417,0.004803527349771208,0.03908508639444844,0.057914913605551566,2,,,
aggregate,,sparse_lasso,type1_error,2000,,,,0.04925,0.004750000000000001,-0.0007500000000000041,98.5,2000.0,993.4017783403397,0.003421419204803761,0.04254401835858463,0.055955981641415374,2,,,
aggregate,,sparse_lasso,power,500,0.1,,,0.062,0.004,,31.0,500.0,276.27061796188354,,,,2,sparse_random,0.1,0.1
aggregate,,sparse_lasso,power,500,0.2,,,0.051000000000000004,0.005000000000000001,,25.5,500.0,280.6001341342926,,,,2,sparse_random,0.2,0.19999999999999998
aggregate,,sparse_lasso,power,500,0.3,,,0.07500000000000001,0.0049999999999999975,,37.5,500.0,273.52097141742706,,,,2,sparse_random,0.3,0.3
aggregate,,sparse_lasso,power,500,0.4,,,0.107,0.0050000000000000044,,53.5,500.0,266.76974606513977,,,,2,sparse_random,0.4,0.4
aggregate,,sparse_lasso,power,500,0.5,,,0.152,0.006000000000000005,,76.0,500.0,268.74136567115784,,,,2,sparse_random,0.5,0.5
aggregate,,sparse_lasso,power,500,0.6,,,0.2,0.00399999999999999,,100.0,500.0,268.8217570781708,,,,2,sparse_random,0.6,0.5999999999999999
aggregate,,sparse_lasso,power,500,0.75,,,0.364,0.016000000000000014,,182.0,500.0,269.9874118566513,,,,2,sparse_random,0.75,0.75
aggregate,,sparse_lasso,power,500,1.0,,,0.756,0.020000000000000018,,378.0,500.0,294.284924864769,,,,2,sparse_random,1.0,1.0
aggregate,,lowrank_rrr_fv,type1_error,50,,,,0.04,0.0,-0.010000000000000002,2.0,50.0,7.551355004310608,0.019595917942265423,0.0015920008331597735,0.07840799916684023,2,,,
aggregate,,lowrank_rrr_fv,type1_error,100,,,,0.035,0.005000000000000001,-0.015000000000000003,3.5,100.0,13.030824303627014,0.012995191418367026,0.009529424820000632,0.060470575179999375,2,,,
aggregate,,lowrank_rrr_fv,type1_error,300,,,,0.028333333333333335,0.004999999999999999,-0.021666666666666667,8.5,300.0,38.14108717441559,0.006773792088576329,0.01505670083972373,0.04160996582694294,2,,,
aggregate,,lowrank_rrr_fv,type1_error,500,,,,0.033,0.011,-0.017000000000000005,16.5,500.0,63.16100549697876,0.005648982209212559,0.021927994869943387,0.044072005130056616,2,,,
aggregate,,lowrank_rrr_fv,type1_error,1000,,,,0.0375,0.0015000000000000013,-0.012500000000000004,37.5,1000.0,113.37087690830231,0.004248161366991607,0.02917360372069645,0.045826396279303544,2,,,
aggregate,,lowrank_rrr_fv,type1_error,2000,,,,0.0225,0.0025000000000000005,-0.027500000000000004,45.0,2000.0,225.44659662246704,0.002344874730129522,0.017904045528946137,0.02709595447105386,2,,,
aggregate,,lowrank_rrr_fv,power,500,0.1,,,0.025,0.004999999999999999,,12.5,500.0,63.58784317970276,,,,2,lowrank_fixedV,0.1,0.09999999999999999
aggregate,,lowrank_rrr_fv,power,500,0.2,,,0.045,0.002999999999999999,,22.5,500.0,64.24692118167877,,,,2,lowrank_fixedV,0.2,0.19999999999999998
aggregate,,lowrank_rrr_fv,power,500,0.3,,,0.077,0.0030000000000000027,,38.5,500.0,63.32016408443451,,,,2,lowrank_fixedV,0.3,0.29999999999999993
aggregate,,lowrank_rrr_fv,power,500,0.4,,,0.132,0.008000000000000007,,66.0,500.0,63.529324650764465,,,,2,lowrank_fixedV,0.4,0.3999999999999999
aggregate,,lowrank_rrr_fv,power,500,0.5,,,0.27,0.013999999999999985,,135.0,500.0,63.53369688987732,,,,2,lowrank_fixedV,0.5,0.49999999999999994
aggregate,,lowrank_rrr_fv,power,500,0.6,,,0.423,0.0010000000000000009,,211.5,500.0,63.40369749069214,,,,2,lowrank_fixedV,0.6,0.6
aggregate,,lowrank_rrr_fv,power,500,0.75,,,0.74,0.03200000000000003,,370.0,500.0,63.80575501918793,,,,2,lowrank_fixedV,0.75,0.7499999999999999
aggregate,,lowrank_rrr_fv,power,500,1.0,,,0.987,0.0050000000000000044,,493.5,500.0,63.590099811553955,,,,2,lowrank_fixedV,1.0,0.9999999999999998
