scope,seed,model,metric,M,delta,target_fro,actual_fro,value,size_distortion,rejections,effective_iterations,runtime_sec,perturbation_type
seed,42,sparse_lasso,type1_error,50,,,,0.04,-0.010000000000000002,2,50,28.043416023254395,
seed,42,sparse_lasso,type1_error,100,,,,0.02,-0.030000000000000002,2,100,53.40788292884827,
seed,42,sparse_lasso,type1_error,300,,,,0.056666666666666664,0.006666666666666661,17,300,157.50188994407654,
seed,42,sparse_lasso,type1_error,500,,,,0.042,-0.008,21,500,282.3916940689087,
seed,42,sparse_lasso,type1_error,1000,,,,0.052,0.001999999999999995,52,1000,500.4235529899597,
seed,42,sparse_lasso,type1_error,2000,,,,0.054,0.003999999999999997,108,2000,991.6982073783875,
seed,42,sparse_lasso,power,500,0.1,0.1,0.1,0.066,,33,500,279.1521940231323,sparse_random
seed,42,sparse_lasso,power,500,0.2,0.2,0.19999999999999998,0.056,,28,500,265.04386591911316,sparse_random
seed,42,sparse_lasso,power,500,0.3,0.3,0.3,0.08,,40,500,266.68407702445984,sparse_random
seed,42,sparse_lasso,power,500,0.4,0.4,0.4,0.102,,51,500,260.22238421440125,sparse_random
seed,42,sparse_lasso,power,500,0.5,0.5,0.5,0.146,,73,500,270.0507791042328,sparse_random
seed,42,sparse_lasso,power,500,0.6,0.6,0.5999999999999999,0.196,,98,500,266.2997901439667,sparse_random
seed,42,sparse_lasso,power,500,0.75,0.75,0.75,0.348,,174,500,260.2097177505493,sparse_random
seed,42,sparse_lasso,power,500,1.0,1.0,1.0,0.736,,368,500,300.14249181747437,sparse_random
seed,42,lowrank_rrr_fv,type1_error,50,,,,0.04,-0.010000000000000002,2,50,7.812197923660278,
seed,42,lowrank_rrr_fv,type1_error,100,,,,0.03,-0.020000000000000004,3,100,13.178520917892456,
seed,42,lowrank_rrr_fv,type1_error,300,,,,0.023333333333333334,-0.02666666666666667,7,300,38.07379508018494,
seed,42,lowrank_rrr_fv,type1_error,500,,,,0.044,-0.006000000000000005,22,500,63.441827058792114,
seed,42,lowrank_rrr_fv,type1_error,1000,,,,0.039,-0.011000000000000003,39,1000,113.94272994995117,
seed,42,lowrank_rrr_fv,type1_error,2000,,,,0.025,-0.025,50,2000,225.70613813400269,
seed,42,lowrank_rrr_fv,power,500,0.1,0.1,0.1,0.02,,10,500,63.701088190078735,lowrank_fixedV
seed,42,lowrank_rrr_fv,power,500,0.2,0.2,0.2,0.048,,24,500,63.79783606529236,lowrank_fixedV
seed,42,lowrank_rrr_fv,power,500,0.3,0.3,0.30000000000000004,0.08,,40,500,63.65659308433533,lowrank_fixedV
seed,42,lowrank_rrr_fv,power,500,0.4,0.4,0.4,0.124,,62,500,63.772653102874756,lowrank_fixedV
seed,42,lowrank_rrr_fv,power,500,0.5,0.5,0.5,0.256,,128,500,63.77440786361694,lowrank_fixedV
seed,42,lowrank_rrr_fv,power,500,0.6,0.6,0.6000000000000001,0.422,,211,500,63.477535009384155,lowrank_fixedV
seed,42,lowrank_rrr_fv,power,500,0.75,0.75,0.75,0.708,,354,500,64.28696203231812,lowrank_fixedV
seed,42,lowrank_rrr_fv,power,500,1.0,1.0,1.0,0.982,,491,500,64.06246280670166,lowrank_fixedV
seed,2026,sparse_lasso,type1_error,50,,,,0.02,-0.030000000000000002,1,50,27.36284327507019,
seed,2026,sparse_lasso,type1_error,100,,,,0.02,-0.030000000000000002,2,100,52.40754008293152,
seed,2026,sparse_lasso,type1_error,300,,,,0.07,0.020000000000000004,21,300,161.2016670703888,
seed,2026,sparse_lasso,type1_error,500,,,,0.066,0.016,33,500,271.22089290618896,
seed,2026,sparse_lasso,type1_error,1000,,,,0.045,-0.0050000000000000044,45,1000,541.8630390167236,
seed,2026,sparse_lasso,type1_error,2000,,,,0.0445,-0.005500000000000005,89,2000,995.1053493022919,
seed,2026,sparse_lasso,power,500,0.1,0.1,0.1,0.058,,29,500,273.38904190063477,sparse_random
seed,2026,sparse_lasso,power,500,0.2,0.2,0.19999999999999998,0.046,,23,500,296.15640234947205,sparse_random
seed,2026,sparse_lasso,power,500,0.3,0.3,0.3,0.07,,35,500,280.3578658103943,sparse_random
seed,2026,sparse_lasso,power,500,0.4,0.4,0.4,0.112,,56,500,273.3171079158783,sparse_random
seed,2026,sparse_lasso,power,500,0.5,0.5,0.5,0.158,,79,500,267.4319522380829,sparse_random
seed,2026,sparse_lasso,power,500,0.6,0.6,0.6,0.204,,102,500,271.3437240123749,sparse_random
seed,2026,sparse_lasso,power,500,0.75,0.75,0.75,0.38,,190,500,279.7651059627533,sparse_random
seed,2026,sparse_lasso,power,500,1.0,1.0,1.0,0.776,,388,500,288.4273579120636,sparse_random
seed,2026,lowrank_rrr_fv,type1_error,50,,,,0.04,-0.010000000000000002,2,50,7.2905120849609375,
seed,2026,lowrank_rrr_fv,type1_error,100,,,,0.04,-0.010000000000000002,4,100,12.883127689361572,
seed,2026,lowrank_rrr_fv,type1_error,300,,,,0.03333333333333333,-0.01666666666666667,10,300,38.20837926864624,
seed,2026,lowrank_rrr_fv,type1_error,500,,,,0.022,-0.028000000000000004,11,500,62.880183935165405,
seed,2026,lowrank_rrr_fv,type1_error,1000,,,,0.036,-0.014000000000000005,36,1000,112.79902386665344,
seed,2026,lowrank_rrr_fv,type1_error,2000,,,,0.02,-0.030000000000000002,40,2000,225.1870551109314,
seed,2026,lowrank_rrr_fv,power,500,0.1,0.1,0.09999999999999998,0.03,,15,500,63.47459816932678,lowrank_fixedV
seed,2026,lowrank_rrr_fv,power,500,0.2,0.2,0.19999999999999996,0.042,,21,500,64.69600629806519,lowrank_fixedV
seed,2026,lowrank_rrr_fv,power,500,0.3,0.3,0.2999999999999999,0.074,,37,500,62.98373508453369,lowrank_fixedV
seed,2026,lowrank_rrr_fv,power,500,0.4,0.4,0.39999999999999986,0.14,,70,500,63.285996198654175,lowrank_fixedV
seed,2026,lowrank_rrr_fv,power,500,0.5,0.5,0.4999999999999999,0.284,,142,500,63.292985916137695,lowrank_fixedV
seed,2026,lowrank_rrr_fv,power,500,0.6,0.6,0.5999999999999999,0.424,,212,500,63.32985997200012,lowrank_fixedV
seed,2026,lowrank_rrr_fv,power,500,0.75,0.75,0.7499999999999998,0.772,,386,500,63.32454800605774,lowrank_fixedV
seed,2026,lowrank_rrr_fv,power,500,1.0,1.0,0.9999999999999997,0.992,,496,500,63.11773681640625,lowrank_fixedV
